 ,Length
1,146.753
2,141.954
3,140.204
4,151.640
5,106.074
6,107.503
7,117.880
8,116.725
9,115.262
10,108.882
11,70.904
12,74.742
13,82.256
14,87.057
15,93.715
16,92.259
17,133.462
18,123.867
19,132.572
20,129.206
21,143.360
22,143.360
23,126.930
24,134.473
25,121.491
26,122.964
27,128.153
28,116.483
29,122.628
30,129.285
31,131.063
32,128.967
33,109.682
34,105.100
35,112.461
36,117.121
37,143.061
38,151.309
39,149.920
40,148.160
41,111.880
42,104.264
43,118.316
44,131.364
45,138.790
46,143.276
47,79.522
48,76.129
49,115.974
50,108.929
51,113.704
52,119.928
53,87.116
54,90.741
55,141.142
56,140.020
57,93.697
58,87.802
