date/time: ,28/09/2022,05:47 p.m.
Run 1

time	(V)
0,000000	4,508591E+0
0,000667	4,513622E+0
0,001333	4,513622E+0
0,002000	4,511106E+0
0,002667	4,508591E+0
0,003333	4,518653E+0
0,004000	4,516137E+0
0,004667	4,521168E+0
0,005333	4,518653E+0
0,006000	4,508591E+0
0,006667	4,513622E+0
0,007333	4,511106E+0
0,008000	4,513622E+0
0,008667	4,503560E+0
0,009333	4,503560E+0
0,010000	4,506076E+0
0,010667	4,508591E+0
0,011333	4,513622E+0
0,012000	4,508591E+0
0,012667	4,513622E+0
0,013333	4,516137E+0
0,014000	4,516137E+0
0,014667	4,521168E+0
0,015333	4,511106E+0
0,016000	4,513622E+0
0,016667	4,513622E+0
0,017333	4,503560E+0
0,018000	4,506076E+0
0,018667	4,508591E+0
0,019333	4,513622E+0
0,020000	4,508591E+0
0,020667	4,511106E+0
0,021333	4,508591E+0
0,022000	4,521168E+0
0,022667	4,516137E+0
0,023333	4,516137E+0
0,024000	4,513622E+0
0,024667	4,511106E+0
0,025333	4,511106E+0
0,026000	4,511106E+0
0,026667	4,506076E+0
0,027333	4,508591E+0
0,028000	4,506076E+0
0,028667	4,508591E+0
0,029333	4,511106E+0
0,030000	4,511106E+0
0,030667	4,511106E+0
0,031333	4,513622E+0
0,032000	4,506076E+0
0,032667	4,521168E+0
0,033333	4,521168E+0
0,034000	4,521168E+0
0,034667	4,523684E+0
0,035333	4,513622E+0
0,036000	4,516137E+0
0,036667	4,511106E+0
0,037333	4,508591E+0
0,038000	4,508591E+0
0,038667	4,506076E+0
0,039333	4,508591E+0
0,040000	4,511106E+0
0,040667	4,513622E+0
0,041333	4,516137E+0
0,042000	4,518653E+0
0,042667	4,518653E+0
0,043333	4,511106E+0
0,044000	4,518653E+0
0,044667	4,513622E+0
0,045333	4,508591E+0
0,046000	4,508591E+0
0,046667	4,511106E+0
0,047333	4,511106E+0
0,048000	4,508591E+0
0,048667	4,506076E+0
0,049333	4,506076E+0
0,050000	4,498529E+0
0,050667	4,508591E+0
0,051333	4,508591E+0
0,052000	4,501045E+0
0,052667	4,511106E+0
0,053333	4,511106E+0
0,054000	4,511106E+0
0,054667	4,518653E+0
0,055333	4,521168E+0
0,056000	4,518653E+0
0,056667	4,516137E+0
0,057333	4,516137E+0
0,058000	4,513622E+0
0,058667	4,513622E+0
0,059333	4,511106E+0
0,060000	4,516137E+0
0,060667	4,508591E+0
0,061333	4,506076E+0
0,062000	4,511106E+0
0,062667	4,508591E+0
0,063333	4,508591E+0
0,064000	4,506076E+0
0,064667	4,511106E+0
0,065333	4,511106E+0
0,066000	4,511106E+0
0,066667	4,513622E+0
0,067333	4,508591E+0
0,068000	4,513622E+0
0,068667	4,511106E+0
0,069333	4,508591E+0
0,070000	4,518653E+0
0,070667	4,513622E+0
0,071333	4,521168E+0
0,072000	4,523684E+0
0,072667	4,518653E+0
0,073333	4,518653E+0
0,074000	4,516137E+0
0,074667	4,513622E+0
0,075333	4,508591E+0
0,076000	4,511106E+0
0,076667	4,513622E+0
0,077333	4,508591E+0
0,078000	4,508591E+0
0,078667	4,506076E+0
0,079333	4,508591E+0
0,080000	4,513622E+0
0,080667	4,513622E+0
0,081333	4,513622E+0
0,082000	4,503560E+0
0,082667	4,511106E+0
0,083333	4,526199E+0
0,084000	4,518653E+0
0,084667	4,516137E+0
0,085333	4,508591E+0
0,086000	4,513622E+0
0,086667	4,511106E+0
0,087333	4,516137E+0
0,088000	4,511106E+0
0,088667	4,506076E+0
0,089333	4,506076E+0
0,090000	4,503560E+0
0,090667	4,506076E+0
0,091333	4,508591E+0
0,092000	4,511106E+0
0,092667	4,511106E+0
0,093333	4,511106E+0
0,094000	4,511106E+0
0,094667	4,518653E+0
0,095333	4,521168E+0
0,096000	4,518653E+0
0,096667	4,516137E+0
0,097333	4,513622E+0
0,098000	4,513622E+0
0,098667	4,511106E+0
0,099333	4,513622E+0
0,100000	4,513622E+0
0,100667	4,513622E+0
0,101333	4,506076E+0
0,102000	4,503560E+0
0,102667	4,501045E+0
0,103333	4,508591E+0
0,104000	4,508591E+0
0,104667	4,508591E+0
0,105333	4,511106E+0
0,106000	4,516137E+0
0,106667	4,513622E+0
0,107333	4,516137E+0
0,108000	4,516137E+0
0,108667	4,511106E+0
0,109333	4,511106E+0
0,110000	4,513622E+0
0,110667	4,511106E+0
0,111333	4,508591E+0
0,112000	4,503560E+0
0,112667	4,516137E+0
0,113333	4,508591E+0
0,114000	4,513622E+0
0,114667	4,513622E+0
0,115333	4,513622E+0
0,116000	4,513622E+0
0,116667	4,513622E+0
0,117333	4,521168E+0
0,118000	4,518653E+0
0,118667	4,518653E+0
0,119333	4,518653E+0
0,120000	4,513622E+0
0,120667	4,513622E+0
0,121333	4,508591E+0
0,122000	4,508591E+0
0,122667	4,508591E+0
0,123333	4,511106E+0
0,124000	4,508591E+0
0,124667	4,506076E+0
0,125333	4,511106E+0
0,126000	4,508591E+0
0,126667	4,511106E+0
0,127333	4,513622E+0
0,128000	4,511106E+0
0,128667	4,518653E+0
0,129333	4,516137E+0
0,130000	4,523684E+0
0,130667	4,518653E+0
0,131333	4,511106E+0
0,132000	4,513622E+0
0,132667	4,513622E+0
0,133333	4,511106E+0
0,134000	4,508591E+0
0,134667	4,508591E+0
0,135333	4,506076E+0
0,136000	4,508591E+0
0,136667	4,506076E+0
0,137333	4,513622E+0
0,138000	4,511106E+0
0,138667	4,513622E+0
0,139333	4,513622E+0
0,140000	4,516137E+0
0,140667	4,521168E+0
0,141333	4,518653E+0
0,142000	4,516137E+0
0,142667	4,518653E+0
0,143333	4,516137E+0
0,144000	4,513622E+0
0,144667	4,513622E+0
0,145333	4,508591E+0
0,146000	4,503560E+0
0,146667	4,506076E+0
0,147333	4,508591E+0
0,148000	4,506076E+0
0,148667	4,506076E+0
0,149333	4,508591E+0
0,150000	4,511106E+0
0,150667	4,511106E+0
0,151333	4,516137E+0
0,152000	4,516137E+0
0,152667	4,521168E+0
0,153333	4,521168E+0
0,154000	4,516137E+0
0,154667	4,513622E+0
0,155333	4,516137E+0
0,156000	4,516137E+0
0,156667	4,511106E+0
0,157333	4,511106E+0
0,158000	4,508591E+0
0,158667	4,506076E+0
0,159333	4,511106E+0
0,160000	4,508591E+0
0,160667	4,503560E+0
0,161333	4,508591E+0
0,162000	4,508591E+0
0,162667	4,516137E+0
0,163333	4,503560E+0
0,164000	4,513622E+0
0,164667	4,516137E+0
0,165333	4,516137E+0
0,166000	4,516137E+0
0,166667	4,518653E+0
0,167333	4,511106E+0
0,168000	4,511106E+0
0,168667	4,508591E+0
0,169333	4,508591E+0
0,170000	4,506076E+0
0,170667	4,508591E+0
0,171333	4,506076E+0
0,172000	4,513622E+0
0,172667	4,511106E+0
0,173333	4,508591E+0
0,174000	4,508591E+0
0,174667	4,518653E+0
0,175333	4,518653E+0
0,176000	4,518653E+0
0,176667	4,518653E+0
0,177333	4,518653E+0
0,178000	4,513622E+0
0,178667	4,516137E+0
0,179333	4,513622E+0
0,180000	4,513622E+0
0,180667	4,503560E+0
0,181333	4,506076E+0
0,182000	4,508591E+0
0,182667	4,506076E+0
0,183333	4,503560E+0
0,184000	4,513622E+0
0,184667	4,513622E+0
0,185333	4,513622E+0
0,186000	4,511106E+0
0,186667	4,518653E+0
0,187333	4,518653E+0
0,188000	4,516137E+0
0,188667	4,516137E+0
0,189333	4,511106E+0
0,190000	4,511106E+0
0,190667	4,508591E+0
0,191333	4,508591E+0
0,192000	4,506076E+0
0,192667	4,506076E+0
0,193333	4,513622E+0
0,194000	4,513622E+0
0,194667	4,513622E+0
0,195333	4,518653E+0
0,196000	4,518653E+0
0,196667	4,516137E+0
0,197333	4,518653E+0
0,198000	4,511106E+0
0,198667	4,516137E+0
0,199333	4,513622E+0
0,200000	4,508591E+0
0,200667	4,508591E+0
0,201333	4,506076E+0
0,202000	4,508591E+0
0,202667	4,508591E+0
0,203333	4,516137E+0
0,204000	4,508591E+0
0,204667	4,508591E+0
0,205333	4,511106E+0
0,206000	4,513622E+0
0,206667	4,516137E+0
0,207333	4,513622E+0
0,208000	4,516137E+0
0,208667	4,513622E+0
0,209333	4,511106E+0
0,210000	4,511106E+0
0,210667	4,516137E+0
0,211333	4,511106E+0
0,212000	4,516137E+0
0,212667	4,498529E+0
0,213333	4,508591E+0
0,214000	4,506076E+0
0,214667	4,506076E+0
0,215333	4,508591E+0
0,216000	4,508591E+0
0,216667	4,508591E+0
0,217333	4,506076E+0
0,218000	4,508591E+0
0,218667	4,508591E+0
0,219333	4,513622E+0
0,220000	4,516137E+0
0,220667	4,513622E+0
0,221333	4,508591E+0
0,222000	4,511106E+0
0,222667	4,508591E+0
0,223333	4,511106E+0
0,224000	4,508591E+0
0,224667	4,518653E+0
0,225333	4,518653E+0
0,226000	4,513622E+0
0,226667	4,516137E+0
0,227333	4,516137E+0
0,228000	4,518653E+0
0,228667	4,518653E+0
0,229333	4,513622E+0
0,230000	4,511106E+0
0,230667	4,511106E+0
0,231333	4,511106E+0
0,232000	4,513622E+0
0,232667	4,511106E+0
0,233333	4,506076E+0
0,234000	4,506076E+0
0,234667	4,506076E+0
0,235333	4,508591E+0
0,236000	4,506076E+0
0,236667	4,508591E+0
0,237333	4,511106E+0
0,238000	4,511106E+0
0,238667	4,513622E+0
0,239333	4,513622E+0
0,240000	4,513622E+0
0,240667	4,516137E+0
0,241333	4,523684E+0
0,242000	4,518653E+0
0,242667	4,516137E+0
0,243333	4,513622E+0
0,244000	4,501045E+0
0,244667	4,511106E+0
0,245333	4,511106E+0
0,246000	4,506076E+0
0,246667	4,506076E+0
0,247333	4,506076E+0
0,248000	4,506076E+0
0,248667	4,503560E+0
0,249333	4,511106E+0
0,250000	4,508591E+0
0,250667	4,508591E+0
0,251333	4,506076E+0
0,252000	4,513622E+0
0,252667	4,511106E+0
0,253333	4,511106E+0
0,254000	4,508591E+0
0,254667	4,508591E+0
0,255333	4,511106E+0
0,256000	4,516137E+0
0,256667	4,513622E+0
0,257333	4,511106E+0
0,258000	4,513622E+0
0,258667	4,518653E+0
0,259333	4,513622E+0
0,260000	4,518653E+0
0,260667	4,523684E+0
0,261333	4,516137E+0
0,262000	4,513622E+0
0,262667	4,521168E+0
0,263333	4,516137E+0
0,264000	4,511106E+0
0,264667	4,511106E+0
0,265333	4,508591E+0
0,266000	4,503560E+0
0,266667	4,508591E+0
0,267333	4,508591E+0
0,268000	4,513622E+0
0,268667	4,513622E+0
0,269333	4,511106E+0
0,270000	4,513622E+0
0,270667	4,511106E+0
0,271333	4,518653E+0
0,272000	4,516137E+0
0,272667	4,523684E+0
0,273333	4,521168E+0
0,274000	4,508591E+0
0,274667	4,513622E+0
0,275333	4,513622E+0
0,276000	4,511106E+0
0,276667	4,508591E+0
0,277333	4,506076E+0
0,278000	4,506076E+0
0,278667	4,506076E+0
0,279333	4,506076E+0
0,280000	4,511106E+0
0,280667	4,513622E+0
0,281333	4,508591E+0
0,282000	4,508591E+0
0,282667	4,516137E+0
0,283333	4,511106E+0
0,284000	4,518653E+0
0,284667	4,518653E+0
0,285333	4,513622E+0
0,286000	4,518653E+0
0,286667	4,516137E+0
0,287333	4,516137E+0
0,288000	4,511106E+0
0,288667	4,516137E+0
0,289333	4,511106E+0
0,290000	4,511106E+0
0,290667	4,506076E+0
0,291333	4,503560E+0
0,292000	4,506076E+0
0,292667	4,503560E+0
0,293333	4,516137E+0
0,294000	4,513622E+0
0,294667	4,513622E+0
0,295333	4,511106E+0
0,296000	4,511106E+0
0,296667	4,516137E+0
0,297333	4,518653E+0
0,298000	4,521168E+0
0,298667	4,518653E+0
0,299333	4,518653E+0
0,300000	4,523684E+0
0,300667	4,516137E+0
0,301333	4,511106E+0
0,302000	4,513622E+0
0,302667	4,511106E+0
0,303333	4,511106E+0
0,304000	4,501045E+0
0,304667	4,508591E+0
0,305333	4,506076E+0
0,306000	4,503560E+0
0,306667	4,508591E+0
0,307333	4,503560E+0
0,308000	4,511106E+0
0,308667	4,511106E+0
