date/time: ,19/10/2022,06:09 p.m.
Run 1

time	Velocity 2
0,000000	5,626924E-1
0,016667	5,640175E-1
0,033333	5,647349E-1
0,050000	5,658257E-1
0,066667	5,663089E-1
0,083333	5,669312E-1
0,100000	5,672094E-1
0,116667	5,669385E-1
0,133333	5,670556E-1
0,150000	5,667628E-1
0,166667	5,659355E-1
0,183333	5,652400E-1
0,200000	5,638564E-1
0,216667	5,627875E-1
0,233333	5,615357E-1
0,250000	5,596322E-1
0,266667	5,581973E-1
0,283333	5,563671E-1
0,300000	5,546101E-1
0,316667	5,525676E-1
0,333333	5,509057E-1
0,350000	5,487680E-1
0,366667	5,468207E-1
0,383333	5,449904E-1
0,400000	5,431236E-1
0,416667	5,414544E-1
0,433333	5,401879E-1
0,450000	5,388628E-1
0,466667	5,376769E-1
0,483333	5,366959E-1
0,500000	5,360516E-1
0,516667	5,352390E-1
0,533333	5,348730E-1
0,550000	5,348144E-1
0,566667	5,350340E-1
0,583333	5,355392E-1
0,600000	5,358100E-1
0,616667	5,368642E-1
0,633333	5,378233E-1
0,650000	5,389580E-1
0,666667	5,402538E-1
0,683333	5,417473E-1
0,700000	5,431456E-1
0,716667	5,452467E-1
0,733333	5,470915E-1
0,750000	5,488852E-1
0,766667	5,507300E-1
0,783333	5,524065E-1
0,800000	5,544637E-1
0,816667	5,564916E-1
0,833333	5,582413E-1
0,850000	5,596981E-1
0,866667	5,614405E-1
0,883333	5,625460E-1
0,900000	5,638271E-1
0,916667	5,651449E-1
0,933333	5,657305E-1
0,950000	5,666237E-1
0,966667	5,671581E-1
0,983333	5,670849E-1
1,000000	5,672460E-1
1,016667	5,671435E-1
1,033333	5,663675E-1
1,050000	5,658257E-1
1,066667	5,651668E-1
1,083333	5,638857E-1
1,100000	5,627217E-1
1,116667	5,613380E-1
1,133333	5,595663E-1
1,150000	5,580216E-1
1,166667	5,565282E-1
1,183333	5,545222E-1
1,200000	5,525602E-1
1,216667	5,505836E-1
1,233333	5,490243E-1
1,250000	5,470549E-1
1,266667	5,451661E-1
1,283333	5,433359E-1
1,300000	5,419083E-1
1,316667	5,403636E-1
1,333333	5,389873E-1
1,350000	5,378599E-1
1,366667	5,368569E-1
1,383333	5,360150E-1
1,400000	5,354586E-1
1,416667	5,352317E-1
1,433333	5,351878E-1
1,450000	5,352463E-1
1,466667	5,355831E-1
1,483333	5,358466E-1
1,500000	5,366007E-1
1,516667	5,375158E-1
1,533333	5,389873E-1
1,550000	5,403563E-1
1,566667	5,414691E-1
1,583333	5,434530E-1
1,600000	5,451149E-1
1,616667	5,467621E-1
1,633333	5,484020E-1
1,650000	5,506275E-1
1,666667	5,523772E-1
1,683333	5,543099E-1
1,700000	5,559645E-1
1,716667	5,580143E-1
1,733333	5,595151E-1
1,750000	5,612868E-1
1,766667	5,624581E-1
1,783333	5,637319E-1
1,800000	5,649618E-1
1,816667	5,655475E-1
1,833333	5,663601E-1
1,850000	5,665798E-1
1,866667	5,669897E-1
1,883333	5,670263E-1
1,900000	5,669824E-1
1,916667	5,662284E-1
1,933333	5,657305E-1
1,950000	5,649838E-1
1,966667	5,636075E-1
1,983333	5,625826E-1
2,000000	5,609500E-1
2,016667	5,595956E-1
2,033333	5,577727E-1
2,050000	5,562500E-1
2,066667	5,542953E-1
2,083333	5,524138E-1
2,100000	5,504152E-1
2,116667	5,487973E-1
2,133333	5,468499E-1
2,150000	5,449904E-1
2,166667	5,432334E-1
2,183333	5,415496E-1
2,200000	5,401001E-1
2,216667	5,387457E-1
2,233333	5,379770E-1
2,250000	5,366593E-1
2,266667	5,362054E-1
2,283333	5,354879E-1
2,300000	5,352536E-1
2,316667	5,351804E-1
2,333333	5,352756E-1
2,350000	5,357002E-1
2,366667	5,363445E-1
2,383333	5,371644E-1
2,400000	5,380722E-1
2,416667	5,392948E-1
2,433333	5,406272E-1
2,450000	5,420401E-1
2,466667	5,435702E-1
2,483333	5,455102E-1
2,500000	5,473112E-1
2,516667	5,490975E-1
2,533333	5,508691E-1
2,550000	5,530947E-1
2,566667	5,548444E-1
2,583333	5,565428E-1
2,600000	5,581900E-1
2,616667	5,599836E-1
2,633333	5,616967E-1
2,650000	5,629632E-1
2,666667	5,642810E-1
2,683333	5,653133E-1
2,700000	5,659136E-1
2,716667	5,666530E-1
2,733333	5,672533E-1
2,750000	5,671874E-1
2,766667	5,672386E-1
2,783333	5,671654E-1
2,800000	5,666164E-1
2,816667	5,656500E-1
2,833333	5,648228E-1
2,850000	5,639223E-1
2,866667	5,623776E-1
2,883333	5,608329E-1
2,900000	5,594565E-1
2,916667	5,575677E-1
2,933333	5,558986E-1
2,950000	5,538121E-1
2,966667	5,520917E-1
2,983333	5,500272E-1
3,000000	5,480725E-1
3,016667	5,461471E-1
3,033333	5,446317E-1
3,050000	5,427868E-1
3,066667	5,411616E-1
3,083333	5,394412E-1
3,100000	5,381161E-1
3,116667	5,369887E-1
3,133333	5,364909E-1
3,150000	5,357588E-1
3,166667	5,353269E-1
3,183333	5,350194E-1
3,200000	5,345289E-1
3,216667	5,346753E-1
3,233333	5,351292E-1
3,250000	5,358027E-1
3,266667	5,367691E-1
3,283333	5,380283E-1
3,300000	5,393021E-1
3,316667	5,406638E-1
3,333333	5,421426E-1
3,350000	5,437605E-1
3,366667	5,453931E-1
3,383333	5,472306E-1
3,400000	5,490243E-1
3,416667	5,513230E-1
3,433333	5,531313E-1
3,450000	5,548517E-1
3,466667	5,569162E-1
3,483333	5,587391E-1
3,500000	5,601154E-1
3,516667	5,618431E-1
3,533333	5,629706E-1
3,550000	5,643396E-1
3,566667	5,651668E-1
3,583333	5,660819E-1
3,600000	5,668726E-1
3,616667	5,669019E-1
3,633333	5,672094E-1
3,650000	5,672679E-1
3,666667	5,668799E-1
3,683333	5,661259E-1
3,700000	5,655329E-1
3,716667	5,644201E-1
3,733333	5,635196E-1
3,750000	5,619237E-1
3,766667	5,605840E-1
3,783333	5,591637E-1
3,800000	5,571651E-1
3,816667	5,556570E-1
3,833333	5,536657E-1
3,850000	5,519965E-1
3,866667	5,498515E-1
3,883333	5,479554E-1
3,900000	5,463814E-1
3,916667	5,446390E-1
3,933333	5,429699E-1
3,950000	5,414252E-1
3,966667	5,400195E-1
3,983333	5,388189E-1
4,000000	5,377427E-1
4,016667	5,368350E-1
4,033333	5,365787E-1
4,050000	5,358247E-1
4,066667	5,358027E-1
4,083333	5,358979E-1
4,100000	5,361175E-1
4,116667	5,364616E-1
4,133333	5,371717E-1
4,150000	5,380429E-1
4,166667	5,390678E-1
4,183333	5,402392E-1
4,200000	5,416082E-1
4,216667	5,431016E-1
4,233333	5,446683E-1
4,250000	5,465059E-1
4,266667	5,484898E-1
4,283333	5,502176E-1
4,300000	5,520405E-1
4,316667	5,541416E-1
4,333333	5,557522E-1
4,350000	5,573701E-1
4,366667	5,592955E-1
4,383333	5,610671E-1
4,400000	5,624288E-1
4,416667	5,635782E-1
4,433333	5,649179E-1
4,450000	5,660161E-1
4,466667	5,666603E-1
4,483333	5,672899E-1
4,500000	5,672972E-1
4,516667	5,675901E-1
4,533333	5,675901E-1
4,550000	5,670410E-1
4,566667	5,667481E-1
4,583333	5,658330E-1
4,600000	5,650204E-1
4,616667	5,639955E-1
4,633333	5,627583E-1
4,650000	5,610159E-1
4,666667	5,594053E-1
4,683333	5,579997E-1
4,700000	5,560962E-1
4,716667	5,540976E-1
4,733333	5,525749E-1
4,750000	5,505470E-1
4,766667	5,485118E-1
4,783333	5,468939E-1
4,800000	5,450344E-1
4,816667	5,432993E-1
4,833333	5,417326E-1
4,850000	5,403343E-1
4,866667	5,392875E-1
4,883333	5,380356E-1
4,900000	5,371717E-1
4,916667	5,365641E-1
4,933333	5,360150E-1
4,950000	5,358027E-1
4,966667	5,358320E-1
4,983333	5,360150E-1
5,000000	5,365128E-1
5,016667	5,371424E-1
5,033333	5,380868E-1
5,050000	5,390752E-1
5,066667	5,406052E-1
5,083333	5,419962E-1
5,100000	5,434823E-1
5,116667	5,451515E-1
5,133333	5,469305E-1
5,150000	5,490609E-1
5,166667	5,508179E-1
5,183333	5,526335E-1
5,200000	5,548956E-1
5,216667	5,565867E-1
5,233333	5,584902E-1
5,250000	5,599470E-1
5,266667	5,615650E-1
5,283333	5,632048E-1
5,300000	5,642956E-1
5,316667	5,654743E-1
5,333333	5,661405E-1
5,350000	5,671215E-1
5,366667	5,677291E-1
5,383333	5,677804E-1
5,400000	5,680293E-1
5,416667	5,677950E-1
5,433333	5,673485E-1
5,450000	5,669165E-1
5,466667	5,660893E-1
5,483333	5,652913E-1
5,500000	5,639076E-1
5,516667	5,627436E-1
5,533333	5,614259E-1
5,550000	5,596396E-1
5,566667	5,580436E-1
5,583333	5,559132E-1
5,600000	5,543392E-1
5,616667	5,522454E-1
5,633333	5,501151E-1
5,650000	5,483434E-1
5,666667	5,464693E-1
5,683333	5,446537E-1
5,700000	5,433579E-1
5,716667	5,418571E-1
5,733333	5,404149E-1
5,750000	5,391191E-1
5,766667	5,380209E-1
5,783333	5,372596E-1
5,800000	5,365421E-1
5,816667	5,361395E-1
5,833333	5,360004E-1
