date/time: ,19/10/2022,06:15 p.m.
Run 1

time	Velocity 2
0,000000	5,524944E-1
0,016667	5,506934E-1
0,033333	5,496978E-1
0,050000	5,487241E-1
0,066667	5,480945E-1
0,083333	5,476186E-1
0,100000	5,475528E-1
0,116667	5,481457E-1
0,133333	5,486948E-1
0,150000	5,495880E-1
0,166667	5,505543E-1
0,183333	5,517916E-1
0,200000	5,536291E-1
0,216667	5,551372E-1
0,233333	5,573554E-1
0,250000	5,592662E-1
0,266667	5,614112E-1
0,283333	5,638784E-1
0,300000	5,664700E-1
0,316667	5,684173E-1
0,333333	5,708771E-1
0,350000	5,732125E-1
0,366667	5,754015E-1
0,383333	5,775538E-1
0,400000	5,796256E-1
0,416667	5,813753E-1
0,433333	5,829347E-1
0,450000	5,842378E-1
0,466667	5,851968E-1
0,483333	5,859289E-1
0,500000	5,863755E-1
0,516667	5,867781E-1
0,533333	5,863901E-1
0,550000	5,862803E-1
0,566667	5,856507E-1
0,583333	5,846770E-1
0,600000	5,834764E-1
0,616667	5,820195E-1
0,633333	5,804309E-1
0,650000	5,784909E-1
0,666667	5,764557E-1
0,683333	5,743253E-1
0,700000	5,721729E-1
0,716667	5,699767E-1
0,733333	5,677218E-1
0,750000	5,653791E-1
0,766667	5,627217E-1
0,783333	5,606279E-1
0,800000	5,581534E-1
0,816667	5,562427E-1
0,833333	5,541635E-1
0,850000	5,527579E-1
0,866667	5,511546E-1
0,883333	5,501883E-1
0,900000	5,490462E-1
0,916667	5,481677E-1
0,933333	5,475820E-1
0,950000	5,475454E-1
0,966667	5,475747E-1
0,983333	5,482629E-1
1,000000	5,488119E-1
1,016667	5,495953E-1
1,033333	5,511254E-1
1,050000	5,524944E-1
1,066667	5,539659E-1
1,083333	5,561841E-1
1,100000	5,581095E-1
1,116667	5,602984E-1
1,133333	5,624435E-1
1,150000	5,648520E-1
1,166667	5,673777E-1
1,183333	5,694130E-1
1,200000	5,719021E-1
1,216667	5,742960E-1
1,233333	5,765582E-1
1,250000	5,786519E-1
1,266667	5,806359E-1
1,283333	5,822904E-1
1,300000	5,837253E-1
1,316667	5,847868E-1
1,333333	5,859143E-1
1,350000	5,865585E-1
1,366667	5,869904E-1
1,383333	5,869904E-1
1,400000	5,868221E-1
1,416667	5,863169E-1
1,433333	5,855189E-1
1,450000	5,844794E-1
1,466667	5,830957E-1
1,483333	5,819317E-1
1,500000	5,802259E-1
1,516667	5,783518E-1
1,533333	5,761189E-1
1,550000	5,739812E-1
1,566667	5,717044E-1
1,583333	5,695008E-1
1,600000	5,667481E-1
1,616667	5,645738E-1
1,633333	5,623776E-1
1,650000	5,598519E-1
1,666667	5,575458E-1
1,683333	5,556716E-1
1,700000	5,540684E-1
1,716667	5,522162E-1
1,733333	5,509130E-1
1,750000	5,496319E-1
1,766667	5,486070E-1
1,783333	5,478822E-1
1,800000	5,478309E-1
1,816667	5,475308E-1
1,833333	5,479920E-1
1,850000	5,484020E-1
1,866667	5,491121E-1
1,883333	5,500345E-1
1,900000	5,512791E-1
1,916667	5,530947E-1
1,933333	5,549615E-1
1,950000	5,567039E-1
1,966667	5,585927E-1
1,983333	5,609134E-1
2,000000	5,630657E-1
2,016667	5,655914E-1
2,033333	5,681172E-1
2,050000	5,702475E-1
2,066667	5,726561E-1
2,083333	5,749110E-1
2,100000	5,770926E-1
2,116667	5,791131E-1
2,133333	5,806579E-1
2,150000	5,821806E-1
2,166667	5,836667E-1
2,183333	5,851529E-1
2,200000	5,859655E-1
2,216667	5,865365E-1
2,233333	5,868074E-1
2,250000	5,867049E-1
2,266667	5,864048E-1
2,283333	5,857898E-1
2,300000	5,848674E-1
2,316667	5,837473E-1
2,333333	5,826345E-1
2,350000	5,809653E-1
2,366667	5,791058E-1
2,383333	5,771511E-1
2,400000	5,751525E-1
2,416667	5,729416E-1
2,433333	5,707161E-1
2,450000	5,680586E-1
2,466667	5,657671E-1
2,483333	5,635928E-1
2,500000	5,609646E-1
2,516667	5,589221E-1
2,533333	5,569015E-1
2,550000	5,547419E-1
2,566667	5,532411E-1
2,583333	5,516305E-1
2,600000	5,501297E-1
2,616667	5,494196E-1
2,633333	5,484679E-1
2,650000	5,478749E-1
2,666667	5,475454E-1
2,683333	5,478456E-1
2,700000	5,481165E-1
2,716667	5,491707E-1
2,733333	5,497271E-1
2,750000	5,508545E-1
2,766667	5,526701E-1
2,783333	5,541562E-1
2,800000	5,558400E-1
2,816667	5,581681E-1
2,833333	5,601447E-1
2,850000	5,626192E-1
2,866667	5,647129E-1
2,883333	5,672972E-1
2,900000	5,697131E-1
2,916667	5,717776E-1
2,933333	5,740983E-1
2,950000	5,763019E-1
2,966667	5,784177E-1
2,983333	5,802772E-1
3,000000	5,819537E-1
3,016667	5,837912E-1
3,033333	5,846185E-1
3,050000	5,858850E-1
3,066667	5,865658E-1
3,083333	5,869172E-1
3,100000	5,871149E-1
3,116667	5,865805E-1
3,133333	5,861632E-1
3,150000	5,857459E-1
3,166667	5,846331E-1
3,183333	5,833007E-1
3,200000	5,817121E-1
3,216667	5,800356E-1
3,233333	5,780809E-1
3,250000	5,760310E-1
3,266667	5,738421E-1
3,283333	5,716165E-1
