date/time: ,26/10/2022,05:17 p.m.
Run 1

time	(N)
0,000000	3,796156E+0
0,006667	3,834063E+0
0,013333	3,875415E+0
0,020000	3,951227E+0
0,026667	3,996026E+0
0,033333	4,037378E+0
0,040000	4,099406E+0
0,046667	4,109744E+0
0,053333	4,116636E+0
0,060000	4,109744E+0
0,066667	4,106298E+0
0,073333	4,078730E+0
0,080000	4,044270E+0
0,086667	3,999472E+0
0,093333	3,978795E+0
0,100000	3,951227E+0
0,106667	3,913321E+0
0,113333	3,875415E+0
0,120000	3,834063E+0
0,126667	3,816833E+0
0,133333	3,799602E+0
0,140000	3,710006E+0
0,146667	3,634194E+0
0,153333	3,544597E+0
0,160000	3,458447E+0
0,166667	3,355066E+0
0,173333	3,265470E+0
0,180000	3,168981E+0
0,186667	3,065600E+0
0,193333	2,972558E+0
0,200000	2,900192E+0
0,206667	2,817487E+0
0,213333	2,738229E+0
0,220000	2,676200E+0
0,226667	2,610726E+0
0,233333	2,528022E+0
0,240000	2,424641E+0
0,246667	2,331598E+0
0,253333	2,242002E+0
0,260000	2,148959E+0
0,266667	2,055917E+0
0,273333	1,986997E+0
0,280000	1,914630E+0
0,286667	1,869832E+0
0,293333	1,831926E+0
0,300000	1,776789E+0
0,306667	1,759559E+0
0,313333	1,738883E+0
0,320000	1,718207E+0
0,326667	1,704423E+0
0,333333	1,666517E+0
0,340000	1,607934E+0
0,346667	1,590704E+0
0,353333	1,552798E+0
0,360000	1,559690E+0
0,366667	1,573474E+0
0,373333	1,556244E+0
0,380000	1,611380E+0
0,386667	1,645841E+0
0,393333	1,690639E+0
0,400000	1,749221E+0
0,406667	1,825034E+0
0,413333	1,907738E+0
0,420000	1,955982E+0
0,426667	1,990443E+0
0,433333	2,035241E+0
0,440000	2,086931E+0
0,446667	2,145513E+0
0,453333	2,224772E+0
0,460000	2,286800E+0
0,466667	2,379843E+0
0,473333	2,462547E+0
0,480000	2,572820E+0
0,486667	2,676200E+0
0,493333	2,779581E+0
0,500000	2,889853E+0
0,506667	3,000126E+0
0,513333	3,086277E+0
0,520000	3,131075E+0
0,526667	3,199995E+0
0,533333	3,265470E+0
0,540000	3,337836E+0
0,546667	3,420540E+0
0,553333	3,482569E+0
0,560000	3,575611E+0
0,566667	3,651424E+0
0,573333	3,730682E+0
0,580000	3,820279E+0
0,586667	3,871969E+0
0,593333	3,930551E+0
0,600000	3,985688E+0
0,606667	4,020148E+0
0,613333	4,027040E+0
0,620000	4,033932E+0
0,626667	4,016702E+0
0,633333	4,023594E+0
0,640000	4,051162E+0
0,646667	4,033932E+0
0,653333	4,040824E+0
0,660000	4,054608E+0
0,666667	4,044270E+0
0,673333	4,054608E+0
0,680000	4,020148E+0
0,686667	4,002918E+0
0,693333	3,971903E+0
0,700000	3,902983E+0
0,706667	3,823725E+0
0,713333	3,737574E+0
0,720000	3,668654E+0
0,726667	3,585949E+0
0,733333	3,517029E+0
0,740000	3,437771E+0
0,746667	3,389526E+0
0,753333	3,282700E+0
0,760000	3,248239E+0
0,766667	3,172427E+0
0,773333	3,072492E+0
0,780000	3,024248E+0
0,786667	2,927760E+0
0,793333	2,824379E+0
0,800000	2,724445E+0
0,806667	2,596942E+0
0,813333	2,503899E+0
0,820000	2,400519E+0
0,826667	2,331598E+0
0,833333	2,231664E+0
0,840000	2,204096E+0
0,846667	2,138621E+0
0,853333	2,052471E+0
0,860000	2,021457E+0
