n,v,v2,V,fase,fase2,,err fase,err n,err v\
208,87,92,89.5,-110,-113,-111.5,1.5,0.5,2.5
210,92,94,93,-116,-119,-117.5,1.5,0.5,1
212,92,96,94,-122,-127,-124.5,2.5,0.5,2
214,97,100,98.5,-128,-132,-130,2,0.5,1.5
216,103,99,101,-139,-142,-140.5,1.5,0.5,2
218,100,102,101,-149,-151,-150,1,0.5,1
220,104,107,105.5,-164,-154,-159,5,0.5,1.5
222,104,100,102,-163,-157,-160,3,0.5,2
224,100,93,96.5,-174,-170,-172,2,0.5,3.5
226,95,89,92,177,174,175.5,1.5,0.5,3
228,96,90,93,168,169,168.5,0.5,0.5,3
230,95,91,93,164,168,166,2,0.5,2
232,93,88,90.5,156,161,158.5,2.5,0.5,2.5
