#timebase=-294967296(ns)
,#voltbase=20000000(mv/100)
#size=4096
0,52.000
0,51.200
0,51.200
0,52.800
0,52.800
0,51.200
0,51.200
0,52.000
0,51.200
0,50.400
0,51.200
0,50.400
0,50.400
0,50.400
0,50.400
0,50.400
0,49.600
0,50.400
0,49.600
0,50.400
0,50.400
0,49.600
0,48.800
0,49.600
0,50.400
0,48.800
0,49.600
0,49.600
0,48.800
0,48.800
0,49.600
0,49.600
0,48.800
0,48.800
0,48.000
0,48.800
0,49.600
0,48.000
0,47.200
0,47.200
0,47.200
0,46.400
0,47.200
0,47.200
0,47.200
0,47.200
0,47.200
0,46.400
0,47.200
0,45.600
0,46.400
0,46.400
0,46.400
0,46.400
0,45.600
0,46.400
0,45.600
0,45.600
0,44.800
0,45.600
0,45.600
0,44.800
0,44.800
0,44.800
0,44.000
0,43.200
0,44.000
0,43.200
0,43.200
0,43.200
0,43.200
0,42.400
0,43.200
0,43.200
0,42.400
0,42.400
0,41.600
0,41.600
0,41.600
0,41.600
0,41.600
0,41.600
0,42.400
0,41.600
0,40.800
0,41.600
0,40.000
0,39.200
0,39.200
0,40.000
0,38.400
0,39.200
0,38.400
0,38.400
0,39.200
0,38.400
0,38.400
0,38.400
0,38.400
0,38.400
0,38.400
0,39.200
0,36.800
0,36.800
0,36.000
0,36.000
0,36.800
0,36.000
0,36.800
0,35.200
0,35.200
0,36.000
0,36.000
0,34.400
0,35.200
0,35.200
0,34.400
0,34.400
0,35.200
0,33.600
0,32.800
0,32.800
0,32.000
0,32.800
0,33.600
0,32.000
0,31.200
0,32.000
0,30.400
0,31.200
0,32.000
0,32.000
0,30.400
0,30.400
0,29.600
0,30.400
0,29.600
0,28.800
0,28.800
0,28.800
0,28.000
0,28.800
0,28.800
0,28.000
0,27.200
0,27.200
0,28.000
0,28.000
0,26.400
0,25.600
0,25.600
0,25.600
0,25.600
0,24.800
0,24.800
0,24.800
0,24.000
0,24.000
0,24.800
0,24.800
0,23.200
0,23.200
0,22.400
0,23.200
0,22.400
0,22.400
0,20.800
0,21.600
0,21.600
0,20.000
0,20.000
0,20.800
0,20.800
0,20.800
0,20.000
0,19.200
0,19.200
0,18.400
0,18.400
0,17.600
0,18.400
0,17.600
0,17.600
0,16.000
0,16.000
0,16.800
0,16.800
0,15.200
0,15.200
0,14.400
0,15.200
0,14.400
0,14.400
0,14.400
0,13.600
0,13.600
0,13.600
0,12.800
0,12.800
0,12.800
0,12.000
0,11.200
0,12.000
0,12.000
0,10.400
0,11.200
0,10.400
0,10.400
0,9.600
0,9.600
0,8.800
0,8.000
0,8.800
0,8.000
0,9.600
0,8.000
0,7.200
0,6.400
0,6.400
0,7.200
0,6.400
0,6.400
0,6.400
0,5.600
0,5.600
0,5.600
0,4.800
0,4.000
0,4.800
0,4.000
0,3.200
0,2.400
0,2.400
0,3.200
0,2.400
0,0.800
0,0.800
0,0.800
0,1.600
0,0.000
0,0.000
0,0.000
0,0.000
0,0.000
0,-0.800
0,-0.800
0,-0.800
0,-1.600
0,0.000
0,-0.800
0,-1.600
0,-1.600
0,-3.200
0,-2.400
0,-4.000
0,-4.800
0,-3.200
0,-4.000
0,-4.800
0,-4.800
0,-4.800
0,-6.400
0,-5.600
0,-6.400
0,-7.200
0,-7.200
0,-7.200
0,-7.200
0,-8.000
0,-7.200
0,-8.000
0,-8.800
0,-8.000
0,-9.600
0,-9.600
0,-9.600
0,-9.600
0,-11.200
0,-11.200
0,-11.200
0,-11.200
0,-11.200
0,-12.000
0,-12.000
0,-11.200
0,-12.000
0,-12.000
0,-12.800
0,-14.400
0,-13.600
0,-14.400
0,-14.400
0,-15.200
0,-15.200
0,-15.200
0,-15.200
0,-15.200
0,-16.800
0,-16.000
0,-16.800
0,-18.400
0,-16.800
0,-17.600
0,-18.400
0,-17.600
0,-18.400
0,-18.400
0,-19.200
0,-18.400
0,-20.000
0,-20.000
0,-20.800
0,-20.000
0,-21.600
0,-20.800
0,-21.600
0,-21.600
0,-21.600
0,-22.400
0,-23.200
0,-22.400
0,-22.400
0,-23.200
0,-23.200
0,-23.200
0,-23.200
0,-24.000
0,-23.200
0,-24.800
0,-26.400
0,-24.800
0,-25.600
0,-26.400
0,-25.600
0,-27.200
0,-26.400
0,-27.200
0,-27.200
0,-27.200
0,-28.000
0,-28.000
0,-27.200
0,-28.800
0,-28.000
0,-28.000
0,-29.600
0,-28.800
0,-29.600
0,-28.800
0,-30.400
0,-29.600
0,-29.600
0,-31.200
0,-31.200
0,-31.200
0,-32.800
0,-32.000
0,-31.200
0,-32.000
0,-32.000
0,-32.800
0,-33.600
0,-32.800
