Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.005
Label,,
TIME,CH1,CH2
-3.5104e-04,-9.8,0.0006
-3.5088e-04,-9.8,0.0002
-3.5072e-04,-10,0.0006
-3.5056e-04,-9.8,0.0004
-3.5040e-04,-10,0.0004
-3.5024e-04,-9.8,0.0004
-3.5008e-04,-9.8,0.0002
-3.4992e-04,-9.8,0.0002
-3.4976e-04,-9.8,0.0006
-3.4960e-04,-9.8,0.0004
-3.4944e-04,-9.8,0.0006
-3.4928e-04,-9.8,0.0002
-3.4912e-04,-10,0.0004
-3.4896e-04,-10,0.0004
-3.4880e-04,-9.8,0.0004
-3.4864e-04,-9.8,0.0004
-3.4848e-04,-9.8,0.0004
-3.4832e-04,-9.8,0.0006
-3.4816e-04,-9.8,0.0006
-3.4800e-04,-9.8,0.0004
-3.4784e-04,-9.8,0.0004
-3.4768e-04,-9.8,0.0004
-3.4752e-04,-9.8,0.0004
-3.4736e-04,-9.8,0.0006
-3.4720e-04,-9.8,0.0006
-3.4704e-04,-9.8,0.0004
-3.4688e-04,-9.8,0.0002
-3.4672e-04,-9.8,0.0002
-3.4656e-04,-9.8,0.0004
-3.4640e-04,-9.8,0.0004
-3.4624e-04,-9.8,0.0004
-3.4608e-04,-9.8,0.0004
-3.4592e-04,-9.8,0.0006
-3.4576e-04,-9.8,0.0004
-3.4560e-04,-9.8,0.0006
-3.4544e-04,-9.8,0.0002
-3.4528e-04,-9.8,0.0004
-3.4512e-04,-9.8,0.0004
-3.4496e-04,-9.8,0.0002
-3.4480e-04,-10,0.0004
-3.4464e-04,-9.8,0.0006
-3.4448e-04,-9.8,0.0006
-3.4432e-04,-9.8,0.0006
-3.4416e-04,-10,0.0006
-3.4400e-04,-9.8,0.0004
-3.4384e-04,-9.8,0.0004
-3.4368e-04,-9.8,0.0006
-3.4352e-04,-9.8,0.0006
-3.4336e-04,-9.8,0.0004
-3.4320e-04,-9.8,0.0006
-3.4304e-04,-9.8,0.0006
-3.4288e-04,-10,0.0006
-3.4272e-04,-9.8,0.0006
-3.4256e-04,-9.8,0.0004
-3.4240e-04,-10,0
-3.4224e-04,-9.8,0.0006
-3.4208e-04,-10,0.0006
-3.4192e-04,-9.8,0.0004
-3.4176e-04,-9.8,0.0004
-3.4160e-04,-9.8,0.0006
-3.4144e-04,-9.8,0.0004
-3.4128e-04,-9.8,0.0006
-3.4112e-04,-9.8,0.0004
-3.4096e-04,-9.8,0.0004
-3.4080e-04,-9.8,0.0006
-3.4064e-04,-10,0.0008
-3.4048e-04,-9.8,0.0008
-3.4032e-04,-9.8,0.0008
-3.4016e-04,-9.8,0.0004
-3.4000e-04,-9.8,0.0004
-3.3984e-04,-9.8,0.0008
-3.3968e-04,-10,0.0006
-3.3952e-04,-9.8,0.0006
-3.3936e-04,-9.8,0.0006
-3.3920e-04,-10,0.0006
-3.3904e-04,-9.8,0.0006
-3.3888e-04,-9.8,0.0006
-3.3872e-04,-9.8,0.0004
-3.3856e-04,-9.8,0.0004
-3.3840e-04,-9.8,0.0006
-3.3824e-04,-9.8,0.0008
-3.3808e-04,-9.8,0.0004
-3.3792e-04,-10,0.0002
-3.3776e-04,-9.8,0.0006
-3.3760e-04,-9.8,0.0008
-3.3744e-04,-9.8,0.0006
-3.3728e-04,-9.8,0.0006
-3.3712e-04,-9.8,0.0004
-3.3696e-04,-9.8,0.0006
-3.3680e-04,-9.8,0.0008
-3.3664e-04,-9.8,0.0002
-3.3648e-04,-9.8,0.0004
-3.3632e-04,-9.8,0.0006
-3.3616e-04,-9.8,0.0004
-3.3600e-04,-9.8,0.0008
-3.3584e-04,-9.8,0.0006
-3.3568e-04,-9.8,0.0004
-3.3552e-04,-9.8,0.0004
-3.3536e-04,-10,0.0006
-3.3520e-04,-9.8,0.0004
-3.3504e-04,-9.8,0.0004
-3.3488e-04,-9.8,0.0006
-3.3472e-04,-9.8,0.0004
-3.3456e-04,-9.8,0.0004
-3.3440e-04,-9.8,0.0006
-3.3424e-04,-9.8,0.0004
-3.3408e-04,-9.8,0.0006
-3.3392e-04,-9.8,0.0008
-3.3376e-04,-9.8,0.0008
-3.3360e-04,-9.8,0.0004
-3.3344e-04,-9.8,0.0004
-3.3328e-04,-9.8,0.0004
-3.3312e-04,-9.8,0.0006
-3.3296e-04,-9.8,0.0006
-3.3280e-04,-9.8,0.0006
-3.3264e-04,-9.8,0.0008
-3.3248e-04,-9.8,0.0004
-3.3232e-04,-9.8,0.0004
-3.3216e-04,-9.8,0.0002
-3.3200e-04,-9.8,0.0002
-3.3184e-04,-9.8,0.0006
-3.3168e-04,-9.8,0.0006
-3.3152e-04,-9.8,0.0004
