Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.05
Label,,
TIME,CH1,CH2
-2.72640e-04,-9.8,0.00288281
-2.72560e-04,-9.8,0.00372656
-2.72480e-04,-9.82969,0.00272656
-2.72400e-04,-9.79766,0.00267969
-2.72320e-04,-9.79688,0.00265625
-2.72240e-04,-9.8,0.00251563
-2.72160e-04,-9.81172,0.00275
-2.72080e-04,-9.83125,0.00226563
-2.72000e-04,-9.8,0.00249219
-2.71920e-04,-9.8,0.00228906
-2.71840e-04,-9.80781,0.00273438
-2.71760e-04,-9.81563,0.00253125
-2.71680e-04,-9.80859,0.00272656
-2.71600e-04,-9.8,0.00202344
-2.71520e-04,-9.85,0.00207031
-2.71440e-04,-9.8,0.00209375
-2.71360e-04,-9.81094,0.00257813
-2.71280e-04,-9.80625,0.00291406
-2.71200e-04,-9.80313,0.00267969
-2.71120e-04,-9.81406,0.00223438
-2.71040e-04,-9.85234,0.00239844
-2.70960e-04,-9.8,0.00236719
-2.70880e-04,-9.8,0.00203906
-2.70800e-04,-9.81563,0.00224219
-2.70720e-04,-9.8125,0.00239844
-2.70640e-04,-9.8,0.00202344
-2.70560e-04,-9.8,0.00211719
-2.70480e-04,-9.82344,0.00264063
-2.70400e-04,-9.8,0.00203125
-2.70320e-04,-9.8,0.00267188
-2.70240e-04,-9.8,0.0025625
-2.70160e-04,-9.8,0.00238281
-2.70080e-04,-9.86563,0.00225
-2.70000e-04,-9.82109,0.00267969
-2.69920e-04,-9.81016,0.00204688
-2.69840e-04,-9.80859,0.00209375
-2.69760e-04,-9.80703,0.00220313
-2.69680e-04,-9.8,0.00257031
-2.69600e-04,-9.8,0.0031875
-2.69520e-04,-9.8,0.0028125
-2.69440e-04,-9.8,0.00248438
-2.69360e-04,-9.8,0.00217188
-2.69280e-04,-9.80234,0.00202344
-2.69200e-04,-9.83516,0.00221094
-2.69120e-04,-9.80156,0.00271094
-2.69040e-04,-9.8,0.00219531
-2.68960e-04,-9.79609,0.00230469
-2.68880e-04,-9.8,0.00207813
-2.68800e-04,-9.80859,0.00247656
-2.68720e-04,-9.80859,0.00213281
-2.68640e-04,-9.81172,0.002125
-2.68560e-04,-9.8,0.00235156
-2.68480e-04,-9.83672,0.00263281
-2.68400e-04,-9.80156,0.00226563
-2.68320e-04,-9.8,0.00208594
-2.68240e-04,-9.79766,0.00229688
-2.68160e-04,-9.80703,0.00263281
-2.68080e-04,-9.8,0.00226563
-2.68000e-04,-9.8,0.00230469
-2.67920e-04,-9.80078,0.00205469
-2.67840e-04,-9.81875,0.00270313
-2.67760e-04,-9.82812,0.00257031
-2.67680e-04,-9.80469,0.00255469
-2.67600e-04,-9.80703,0.00207813
-2.67520e-04,-9.79297,0.00227344
-2.67440e-04,-9.8,0.002375
-2.67360e-04,-9.80078,0.00202344
-2.67280e-04,-9.8,0.00236719
-2.67200e-04,-9.8,0.0023125
-2.67120e-04,-9.8,0.00202344
-2.67040e-04,-9.8,0.00296875
-2.66960e-04,-9.81484,0.00240625
-2.66880e-04,-9.80625,0.00209375
-2.66800e-04,-9.82188,0.00282031
-2.66720e-04,-9.80078,0.00263281
-2.66640e-04,-9.8375,0.00214063
-2.66560e-04,-9.83203,0.00257031
-2.66480e-04,-9.8,0.00232031
-2.66400e-04,-9.84063,0.00210938
