Distance_(pixels),Gray_Value
0,5.6667
1,4.6667
2,4.6667
3,4.6667
4,3.3333
5,4.6667
6,4.6667
7,4.6667
8,4.6667
9,4.6667
10,3.6667
11,4.6667
12,4.6667
13,4.6667
14,4.6667
15,4.6667
16,3.3333
17,5.6667
18,5.6667
19,5.6667
20,3.6667
21,6.3333
22,4.3333
23,7.0000
24,7.0000
25,7.6667
26,7.6667
27,9.3333
28,10.3333
29,12.6667
30,13.6667
31,17.0000
32,17.0000
33,20.3333
34,20.3333
35,22.0000
36,23.3333
37,26.3333
38,26.3333
39,30.3333
40,32.3333
41,36.0000
42,36.0000
43,39.0000
44,39.6667
45,42.3333
46,43.3333
47,44.6667
48,45.3333
49,48.6667
50,50.0000
51,51.0000
52,52.0000
53,54.3333
54,55.6667
55,57.3333
56,58.0000
57,59.0000
58,60.0000
59,61.0000
60,62.0000
61,62.3333
62,62.3333
63,63.3333
64,64.3333
65,66.6667
66,65.6667
67,65.3333
68,66.3333
69,66.6667
70,66.6667
71,66.3333
72,67.3333
73,67.3333
74,67.3333
75,67.6667
76,66.6667
77,66.3333
78,66.3333
79,64.0000
80,64.0000
81,63.3333
82,63.3333
83,62.0000
84,62.0000
85,61.3333
86,61.3333
87,60.3333
88,60.3333
89,58.6667
90,57.3333
91,55.0000
92,55.0000
93,52.6667
94,52.6667
95,50.0000
96,48.6667
97,47.6667
98,47.6667
99,47.0000
100,45.6667
101,43.0000
102,44.0000
103,42.6667
104,41.3333
105,40.0000
106,40.0000
107,39.3333
108,39.3333
109,36.3333
110,36.3333
111,35.0000
112,34.0000
113,31.0000
114,31.0000
115,28.3333
116,28.3333
117,28.3333
118,29.3333
119,29.0000
120,29.0000
121,28.6667
122,28.6667
123,28.0000
124,27.0000
125,26.0000
126,26.0000
127,25.6667
128,25.6667
129,24.3333
130,24.3333
131,23.0000
132,23.0000
133,21.3333
134,22.0000
135,24.0000
136,25.0000
137,25.0000
138,26.3333
139,25.6667
140,25.6667
141,25.6667
142,24.3333
143,24.0000
144,24.0000
145,24.0000
146,24.0000
147,23.3333
148,23.3333
149,24.0000
150,24.0000
151,24.6667
152,25.6667
153,26.0000
154,27.0000
155,25.3333
156,26.3333
157,26.3333
158,26.3333
159,26.0000
160,26.0000
161,27.6667
162,29.0000
163,28.6667
164,29.6667
165,31.0000
166,31.0000
167,30.3333
168,31.3333
169,31.0000
170,33.0000
171,32.3333
172,32.3333
173,31.0000
174,31.0000
175,31.0000
176,31.0000
177,31.3333
178,32.6667
179,33.0000
180,34.6667
181,34.0000
182,34.0000
183,32.3333
184,33.3333
185,34.6667
186,34.6667
187,34.6667
188,34.6667
189,34.0000
190,34.0000
191,33.3333
192,32.3333
193,32.6667
194,31.6667
195,31.3333
196,31.3333
197,30.3333
198,30.3333
199,31.0000
200,31.0000
201,31.3333
202,30.0000
203,31.3333
204,31.3333
205,30.6667
206,29.6667
207,28.3333
208,26.0000
209,26.3333
210,23.6667
211,23.0000
212,22.0000
213,21.3333
214,20.3333
215,21.6667
216,20.3333
217,18.6667
218,17.3333
219,18.3333
220,17.3333
221,18.6667
222,17.3333
223,14.3333
224,13.3333
225,12.3333
226,12.3333
227,13.0000
228,13.0000
229,12.6667
230,10.6667
231,11.0000
232,10.0000
233,10.0000
234,10.0000
235,8.6667
236,8.6667
237,7.6667
238,7.6667
239,8.0000
240,7.0000
241,8.0000
242,7.0000
243,7.3333
244,6.0000
245,6.0000
246,6.0000
247,5.0000
248,3.6667
249,5.0000
250,5.0000
251,6.0000
252,3.6667
253,3.0000
254,3.0000
255,3.0000
256,3.0000
257,4.0000
258,3.0000
259,4.0000
260,4.0000
261,3.0000
262,3.0000
