Distance_(pixels),Gray_Value
0,23.333
1,23.667
2,23.667
3,23.667
4,23.667
5,26.000
6,26.000
7,24.667
8,27.000
9,28.667
10,28.667
11,28.333
12,28.333
13,30.000
14,30.000
15,30.333
16,30.333
17,31.667
18,33.000
19,34.333
20,35.333
21,37.333
22,37.333
23,38.000
24,38.000
25,40.000
26,40.000
27,42.667
28,43.667
29,46.667
30,47.667
31,49.333
32,49.333
33,48.000
34,50.333
35,52.667
36,52.667
37,54.333
38,54.333
39,56.333
40,57.333
41,58.667
42,58.667
43,60.000
44,60.000
45,63.667
46,62.333
47,63.000
48,64.000
49,67.333
50,68.333
51,69.000
52,69.000
53,69.667
54,70.667
55,71.667
56,71.667
57,72.333
58,73.333
59,74.667
60,74.667
61,74.333
62,73.333
63,73.000
64,73.667
65,75.000
66,76.000
67,76.667
68,76.667
69,76.000
70,76.000
71,74.667
72,74.667
73,75.333
74,75.333
75,75.667
76,75.667
77,74.333
78,74.333
79,74.000
80,73.000
81,69.667
82,70.667
83,69.667
84,68.667
85,67.667
86,67.667
87,66.333
88,66.333
89,64.000
90,63.000
91,60.333
92,60.333
93,59.000
94,60.000
95,58.667
96,57.667
97,58.333
98,59.333
99,58.000
100,58.000
101,56.667
102,57.667
103,56.000
104,57.333
105,55.667
106,55.667
107,56.333
108,57.667
109,55.667
110,55.667
111,54.000
112,54.000
113,52.667
114,52.667
115,49.667
116,49.667
117,49.333
118,49.333
119,49.667
120,50.667
121,49.667
122,49.667
123,49.667
124,48.333
125,48.000
126,50.333
127,50.333
128,52.000
129,53.000
130,53.000
131,51.667
132,52.667
133,53.333
134,54.667
135,55.333
136,56.333
137,55.667
138,59.333
139,62.333
140,62.333
141,62.667
142,62.667
143,62.667
144,62.667
145,64.333
146,66.667
147,70.000
148,72.667
149,72.667
150,72.667
151,73.333
152,75.333
153,76.667
154,76.667
155,77.333
156,81.000
157,81.000
158,83.333
159,85.333
160,88.000
161,88.000
162,90.667
163,92.333
164,92.333
165,95.000
166,96.000
167,98.000
168,98.000
169,97.667
170,100.000
171,100.667
172,103.000
173,103.667
174,106.000
175,108.333
176,109.333
177,109.000
178,110.333
179,111.000
180,112.333
181,112.000
182,113.667
183,113.667
184,114.667
185,113.667
186,114.667
187,116.667
188,118.667
189,118.333
190,118.333
191,119.000
192,119.000
193,120.333
194,120.333
195,120.000
196,121.333
197,122.667
198,123.667
199,123.667
200,124.667
201,123.333
202,123.333
203,125.667
204,126.667
205,128.000
206,126.667
207,125.667
208,125.667
209,125.667
210,126.667
211,127.333
212,128.333
213,128.333
214,128.333
215,125.667
216,125.667
217,125.667
218,125.667
219,124.667
220,124.667
221,124.667
222,124.667
223,124.667
224,123.333
225,123.667
226,125.000
227,125.667
228,125.667
229,125.667
230,124.667
231,124.000
232,124.000
233,123.000
234,122.000
235,122.000
236,122.000
237,122.000
238,121.000
239,122.000
240,121.000
241,121.333
242,121.333
243,121.333
244,121.333
245,123.333
246,123.333
247,123.667
248,124.667
249,123.333
250,123.333
251,122.000
252,122.000
253,123.000
254,123.000
255,123.667
256,124.667
257,124.333
258,125.333
259,125.333
260,125.333
261,126.000
262,126.000
263,127.333
264,127.333
265,128.333
266,129.333
267,130.667
268,130.667
269,131.000
270,131.000
271,134.000
272,134.000
273,135.333
274,135.333
275,135.667
276,135.667
277,136.000
278,136.000
279,136.667
280,136.667
281,136.333
282,136.333
283,137.000
284,137.000
285,136.333
286,136.333
287,135.667
288,136.667
289,138.000
290,138.000
291,140.000
292,138.667
293,138.000
294,137.000
295,135.667
296,134.667
297,133.667
298,133.667
299,133.000
300,132.000
301,131.333
302,130.333
303,129.333
304,128.333
305,126.667
306,125.333
307,126.333
308,125.333
309,125.333
310,124.000
311,123.333
312,121.000
313,118.333
314,115.667
315,117.333
316,115.000
317,115.667
318,113.000
319,114.000
320,110.333
321,108.333
322,107.333
323,106.667
324,105.667
325,105.000
326,104.000
327,103.333
328,102.333
329,101.000
330,98.667
331,98.000
332,97.000
333,97.000
334,95.000
335,93.000
336,90.333
337,89.333
338,89.333
339,89.000
340,88.000
341,89.000
342,89.000
343,89.667
344,89.667
345,88.333
346,86.000
347,84.333
348,82.000
349,80.000
350,79.000
351,76.333
352,76.333
353,78.000
354,78.000
355,77.333
356,75.000
357,75.333
358,74.333
359,73.000
360,74.333
361,73.000
362,72.000
363,71.000
364,71.000
365,70.000
366,71.000
367,70.000
368,70.000
369,68.667
370,68.667
371,67.333
372,64.667
373,64.667
374,64.667
375,64.000
376,64.000
377,62.667
378,61.333
379,60.333
380,60.333
381,59.667
382,59.667
383,58.667
384,57.333
385,56.667
386,56.667
387,55.667
388,54.333
389,54.000
390,53.000
391,49.667
392,49.667
393,48.000
394,47.000
395,45.333
396,43.333
397,42.000
398,42.000
399,40.000
400,40.000
401,39.667
402,36.667
403,36.667
404,33.000
405,31.333
406,33.667
407,31.667
408,32.667
409,31.667
410,29.333
411,33.333
412,34.667
413,34.000
414,32.667
415,29.000
416,27.667
417,28.000
418,28.000
419,28.000
420,28.000
421,26.000
422,26.000
423,27.000
424,27.000
425,27.000
426,27.000
427,27.000
428,25.667
429,25.667
430,24.667
431,23.667
432,23.667
433,24.000
434,25.000
435,29.667
436,25.000
437,25.000
438,25.000
439,24.000
440,24.000
441,24.000
442,24.000
443,24.667
444,24.667
445,25.000
446,25.000
447,26.000
448,26.000
449,27.000
450,26.000
451,26.000
452,24.000
453,24.000
454,25.000
455,26.000
456,26.000
457,25.000
458,25.000
459,25.000
460,24.000
