Distance_(pixels),Gray_Value
0,2.0000
1,2.0000
2,2.0000
3,2.0000
4,2.0000
5,2.0000
6,2.0000
7,2.6667
8,1.6667
9,2.0000
10,2.0000
11,2.0000
12,2.0000
13,2.6667
14,2.6667
15,2.6667
16,2.6667
17,2.6667
18,2.6667
19,3.3333
20,4.6667
21,4.6667
22,4.6667
23,4.6667
24,3.3333
25,4.6667
26,4.6667
27,5.0000
28,6.0000
29,7.0000
30,7.0000
31,9.0000
32,9.0000
33,9.0000
34,9.0000
35,12.0000
36,11.0000
37,14.3333
38,14.3333
39,18.6667
40,20.3333
41,23.0000
42,23.0000
43,24.6667
44,24.6667
45,27.3333
46,27.3333
47,28.0000
48,28.0000
49,32.6667
50,33.6667
51,35.3333
52,35.3333
53,35.6667
54,35.6667
55,38.3333
56,38.3333
57,40.3333
58,40.3333
59,41.3333
60,41.3333
61,42.6667
62,43.3333
63,43.3333
64,43.3333
65,43.6667
66,42.6667
67,43.3333
68,43.3333
69,43.6667
70,43.6667
71,43.3333
72,43.3333
73,43.0000
74,43.6667
75,43.6667
76,43.6667
77,43.6667
78,43.6667
79,42.6667
80,42.6667
81,41.3333
82,42.0000
83,41.0000
84,41.0000
85,40.3333
86,40.3333
87,38.6667
88,38.6667
89,35.6667
90,34.3333
91,33.0000
92,33.0000
93,30.3333
94,30.3333
95,28.3333
96,27.0000
97,26.6667
98,25.6667
99,23.3333
100,22.0000
101,21.0000
102,21.0000
103,18.6667
104,18.6667
105,16.0000
106,15.0000
107,14.6667
108,13.6667
109,12.0000
110,12.0000
111,9.6667
112,8.6667
113,7.6667
114,7.6667
115,8.3333
116,8.3333
117,8.6667
118,10.6667
119,9.6667
120,8.3333
121,7.3333
122,7.3333
123,6.0000
124,6.0000
125,4.6667
126,4.6667
127,5.3333
128,6.3333
129,5.3333
130,5.3333
131,5.3333
132,5.3333
133,4.6667
134,4.6667
135,4.6667
136,4.6667
137,4.6667
138,4.6667
139,4.6667
140,4.6667
141,4.6667
142,4.6667
143,4.6667
144,4.6667
145,3.6667
146,4.6667
147,5.6667
148,4.6667
149,4.6667
150,4.6667
151,4.6667
152,4.6667
153,5.0000
154,5.0000
155,6.0000
156,6.0000
157,6.0000
158,6.0000
159,6.0000
160,6.0000
161,6.0000
162,6.0000
163,6.0000
164,6.0000
165,4.6667
166,7.0000
167,7.0000
168,7.0000
169,7.0000
170,5.6667
171,7.0000
172,8.0000
173,8.0000
174,8.0000
175,7.6667
176,7.6667
177,7.6667
178,8.6667
179,9.0000
180,9.0000
181,9.0000
182,10.0000
183,10.0000
184,10.0000
185,9.3333
186,10.3333
187,11.0000
188,11.0000
189,11.0000
190,11.0000
191,11.0000
192,12.3333
193,12.0000
194,12.0000
195,11.3333
196,13.6667
197,14.0000
198,14.0000
199,15.0000
200,13.6667
201,13.6667
202,15.0000
203,15.0000
204,15.0000
205,16.3333
206,17.3333
207,16.0000
208,16.0000
209,16.3333
210,16.3333
211,19.0000
212,19.0000
213,18.3333
214,18.3333
215,18.3333
216,19.3333
217,22.6667
218,22.6667
219,22.6667
220,23.6667
221,23.3333
222,23.3333
223,25.6667
224,23.3333
225,22.6667
