Distance_(pixels),Gray_Value
0,2.0000
1,2.0000
2,2.0000
3,2.0000
4,2.0000
5,2.0000
6,2.0000
7,2.0000
8,2.0000
9,2.0000
10,2.0000
11,2.0000
12,2.0000
13,2.0000
14,2.0000
15,2.0000
16,2.0000
17,2.0000
18,2.0000
19,2.0000
20,2.0000
21,2.0000
22,2.0000
23,2.0000
24,2.0000
25,2.0000
26,2.0000
27,2.0000
28,2.0000
29,2.0000
30,2.6667
31,2.6667
32,2.0000
33,3.0000
34,2.0000
35,2.0000
36,2.0000
37,2.0000
38,2.0000
39,2.0000
40,2.0000
41,2.0000
42,2.0000
43,2.0000
44,2.0000
45,2.0000
46,2.0000
47,2.0000
48,2.6667
49,2.6667
50,2.6667
51,2.6667
52,2.0000
53,2.0000
54,2.0000
55,2.0000
56,2.0000
57,2.0000
58,2.6667
59,2.6667
60,2.6667
61,2.6667
62,2.6667
63,2.6667
64,2.6667
65,2.6667
66,2.6667
67,2.6667
68,2.6667
69,2.6667
70,2.6667
71,2.6667
72,3.3333
73,3.3333
74,3.3333
75,3.3333
76,3.6667
77,4.6667
78,4.3333
79,4.3333
80,6.6667
81,5.6667
82,6.0000
83,6.6667
84,7.3333
85,8.0000
86,9.6667
87,10.6667
88,11.6667
89,12.6667
90,13.6667
91,14.3333
92,16.0000
93,16.0000
94,18.6667
95,19.6667
96,22.0000
97,22.0000
98,26.3333
99,26.3333
100,29.0000
101,29.0000
102,33.0000
103,34.0000
104,37.6667
105,38.6667
106,39.3333
107,38.3333
108,41.3333
109,41.3333
110,44.6667
111,45.6667
112,47.6667
113,47.6667
114,48.6667
115,48.6667
116,49.3333
117,50.3333
118,51.6667
119,51.6667
120,53.3333
121,53.3333
122,53.6667
123,53.6667
124,53.3333
125,54.3333
126,53.6667
127,53.6667
128,53.6667
129,53.6667
130,53.6667
131,53.6667
132,54.6667
133,53.6667
134,53.6667
135,53.6667
136,53.6667
137,53.6667
138,53.3333
139,53.3333
140,52.6667
141,52.6667
142,51.3333
143,50.3333
144,50.3333
145,49.3333
146,48.6667
147,48.6667
148,47.3333
149,46.0000
150,45.0000
151,45.0000
152,43.3333
153,42.3333
154,40.0000
155,39.0000
156,36.0000
157,34.6667
158,35.0000
159,35.0000
160,33.6667
161,33.6667
162,32.6667
163,31.3333
164,30.0000
165,31.0000
166,29.6667
167,29.6667
168,27.0000
169,27.0000
170,25.0000
171,23.6667
172,23.0000
173,24.3333
174,23.6667
175,23.6667
176,23.3333
177,22.3333
178,21.3333
179,20.0000
180,20.0000
181,20.0000
182,17.6667
183,19.0000
184,18.3333
185,18.3333
186,17.3333
187,16.3333
188,15.0000
189,14.0000
190,14.3333
191,14.3333
192,14.6667
193,16.0000
194,16.0000
195,17.3333
196,15.6667
197,14.6667
198,15.6667
199,17.0000
200,19.0000
201,19.0000
202,20.0000
203,20.0000
204,20.6667
205,20.6667
206,22.0000
207,22.0000
208,22.0000
209,22.0000
210,22.6667
211,22.6667
212,24.3333
213,25.3333
214,25.6667
215,27.6667
216,28.3333
217,30.3333
218,30.3333
219,30.3333
220,30.0000
221,32.3333
222,31.6667
223,34.6667
224,34.6667
225,37.0000
