Distance_(pixels),Gray_Value
0,1.0000
1,2.0000
2,2.0000
3,2.0000
4,2.0000
5,2.0000
6,2.0000
7,2.0000
8,2.0000
9,2.0000
10,2.0000
11,2.0000
12,2.0000
13,2.0000
14,2.0000
15,2.0000
16,2.0000
17,2.0000
18,2.0000
19,2.0000
20,2.0000
21,2.0000
22,2.0000
23,2.0000
24,2.0000
25,2.0000
26,2.0000
27,2.0000
28,2.0000
29,2.0000
30,2.0000
31,2.0000
32,2.0000
33,2.0000
34,2.0000
35,2.0000
36,2.0000
37,2.0000
38,2.0000
39,2.0000
40,2.0000
41,2.0000
42,2.0000
43,2.0000
44,2.0000
45,2.0000
46,2.6667
47,2.6667
48,2.0000
49,2.0000
50,2.0000
51,2.0000
52,2.0000
53,2.0000
54,2.0000
55,2.0000
56,2.6667
57,2.6667
58,2.6667
59,1.6667
60,2.0000
61,2.0000
62,2.6667
63,2.6667
64,2.6667
65,2.6667
66,3.3333
67,3.3333
68,3.6667
69,4.6667
70,5.3333
71,5.3333
72,4.6667
73,3.6667
74,5.0000
75,6.0000
76,6.0000
77,6.0000
78,7.6667
79,7.6667
80,7.3333
81,7.3333
82,10.0000
83,10.0000
84,12.6667
85,12.6667
86,14.3333
87,15.0000
88,17.6667
89,18.6667
90,22.0000
91,22.0000
92,23.6667
93,23.6667
94,27.3333
95,27.3333
96,29.0000
97,29.0000
98,31.6667
99,31.6667
100,34.0000
101,34.0000
102,35.3333
103,35.3333
104,38.3333
105,38.3333
106,39.0000
107,40.3333
108,41.3333
109,41.3333
110,43.3333
111,42.3333
112,42.3333
113,42.3333
114,42.6667
115,43.3333
116,43.3333
117,43.3333
118,43.3333
119,43.3333
120,43.6667
121,43.6667
122,43.6667
123,43.6667
124,43.6667
125,43.6667
126,43.6667
127,43.6667
128,42.6667
129,42.6667
130,42.0000
131,42.0000
132,42.0000
133,41.0000
134,40.3333
135,40.3333
136,39.3333
137,39.3333
138,36.0000
139,36.0000
140,34.0000
141,34.0000
142,31.3333
143,30.3333
144,27.0000
145,27.0000
146,25.6667
147,25.6667
148,23.3333
149,22.0000
150,19.6667
151,19.6667
152,19.6667
153,19.6667
154,16.3333
155,16.3333
156,14.6667
157,13.6667
158,10.6667
159,10.6667
160,8.0000
161,8.0000
162,7.6667
163,6.6667
164,8.3333
165,8.3333
166,8.3333
167,9.6667
168,7.3333
169,7.3333
170,7.3333
171,6.0000
172,5.3333
173,5.3333
174,5.3333
175,5.3333
176,5.6667
177,5.6667
178,6.3333
179,5.3333
180,5.3333
181,5.3333
182,6.3333
183,5.3333
184,4.6667
185,4.6667
186,4.6667
187,4.6667
188,5.6667
189,4.6667
190,4.6667
191,4.6667
192,4.6667
193,4.6667
194,3.6667
195,4.6667
196,3.6667
197,3.6667
198,5.6667
199,5.6667
200,4.6667
201,4.6667
202,4.6667
203,4.6667
204,4.0000
205,4.0000
206,6.0000
207,4.6667
208,6.0000
209,6.0000
210,6.0000
211,6.0000
212,5.0000
213,5.0000
214,4.6667
215,8.0000
216,7.3333
217,6.0000
218,7.0000
219,7.0000
220,5.6667
221,8.0000
222,8.0000
223,8.0000
224,7.6667
225,7.6667
226,7.6667
227,9.0000
228,9.0000
229,9.0000
230,9.0000
231,9.0000
232,7.6667
233,9.0000
234,7.0000
235,9.3333
236,10.3333
237,10.3333
238,10.6667
239,11.6667
240,12.3333
241,12.3333
242,11.0000
243,12.3333
244,11.6667
245,11.6667
246,12.6667
247,13.6667
248,12.6667
249,14.0000
250,15.0000
251,16.3333
252,16.3333
253,16.3333
254,17.3333
255,17.3333
256,17.0000
257,17.0000
258,17.0000
259,17.0000
260,17.6667
261,17.6667
262,18.3333
263,19.3333
264,20.0000
265,21.0000
266,21.3333
267,22.3333
268,22.3333
269,22.3333
270,22.3333
271,22.3333
272,22.3333
273,23.3333
274,22.3333
275,22.3333
276,24.3333
277,26.6667
278,28.6667
279,27.6667
280,26.6667
281,28.3333
282,28.0000
283,28.0000
284,28.0000
285,28.0000
286,29.0000
287,29.0000
288,28.0000
289,29.0000
290,30.0000
291,32.6667
292,32.3333
293,32.3333
294,32.3333
295,32.3333
296,34.6667
297,36.0000
298,36.3333
299,36.3333
300,36.6667
301,38.0000
302,38.6667
303,38.6667
304,38.3333
305,38.3333
306,38.6667
307,40.6667
308,41.3333
309,43.3333
310,43.3333
311,45.6667
312,45.6667
313,46.6667
314,47.0000
315,48.6667
316,48.6667
317,50.0000
318,51.0000
319,52.0000
320,54.3333
321,56.3333
322,57.3333
323,57.3333
324,60.3333
325,62.0000
326,63.6667
327,65.6667
328,68.3333
329,75.3333
330,76.0000
331,77.3333
332,76.6667
333,76.6667
334,78.0000
335,79.3333
336,79.6667
337,80.6667
338,81.0000
339,83.0000
340,84.0000
341,85.0000
342,88.3333
343,89.3333
344,90.3333
345,92.6667
346,92.6667
347,92.6667
348,94.0000
349,95.3333
350,96.0000
351,96.0000
352,95.0000
353,95.0000
354,96.0000
355,96.0000
356,97.0000
357,97.0000
358,97.0000
359,97.0000
360,97.0000
361,97.0000
362,96.3333
363,95.3333
364,96.0000
365,94.6667
366,95.0000
367,93.6667
368,92.6667
369,90.6667
370,92.6667
371,91.3333
372,92.6667
373,92.6667
374,90.3333
375,88.3333
376,87.3333
377,86.0000
378,85.0000
379,85.0000
380,83.6667
381,81.3333
382,79.6667
383,78.6667
384,79.3333
385,77.0000
386,79.0000
387,77.0000
388,77.0000
389,76.0000
390,73.6667
391,72.3333
392,70.3333
393,69.0000
394,68.3333
395,67.3333
396,68.0000
397,67.0000
398,64.6667
399,63.3333
400,62.6667
401,61.6667
402,60.3333
403,60.3333
404,59.0000
405,58.0000
406,58.0000
407,57.0000
408,58.0000
409,57.0000
410,57.0000
411,56.0000
412,55.0000
413,53.6667
414,52.6667
415,52.6667
416,50.3333
417,50.3333
418,51.3333
419,51.3333
420,49.6667
421,49.6667
422,47.0000
423,47.0000
424,46.0000
425,45.0000
426,44.3333
427,44.3333
428,44.3333
429,43.3333
430,42.3333
431,41.3333
432,40.0000
433,40.0000
434,40.0000
435,39.0000
436,37.0000
437,36.0000
438,36.3333
439,35.3333
440,35.0000
441,34.0000
442,33.3333
443,32.3333
444,31.3333
445,30.0000
446,28.6667
447,26.0000
448,25.3333
449,25.3333
450,23.3333
451,22.3333
452,21.3333
453,20.3333
454,19.6667
455,18.6667
456,18.6667
457,17.6667
458,17.6667
459,17.6667
460,17.3333
461,15.3333
462,13.3333
463,11.0000
464,12.0000
465,11.0000
466,10.3333
467,10.3333
468,9.0000
469,8.0000
470,8.0000
471,6.6667
472,6.0000
473,5.0000
474,6.0000
475,5.0000
476,5.0000
477,4.0000
478,5.0000
479,5.0000
480,5.0000
481,3.6667
482,4.0000
483,3.0000
484,3.0000
485,2.0000
486,2.0000
487,2.0000
488,2.0000
489,2.0000
490,2.0000
491,2.0000
492,2.0000
493,2.0000
494,2.0000
495,2.0000
496,2.0000
497,2.0000
498,2.0000
499,2.0000
500,2.0000
501,2.0000
502,2.0000
503,2.0000
504,2.0000
505,2.0000
506,2.0000
507,2.0000
