Distance_(pixels),Gray_Value
0,3.0000
1,3.0000
2,3.0000
3,3.0000
4,3.0000
5,3.0000
6,3.0000
7,2.0000
8,3.0000
9,2.0000
10,2.0000
11,2.0000
12,3.6667
13,2.6667
14,2.0000
15,2.0000
16,3.0000
17,2.0000
18,2.6667
19,3.6667
20,3.6667
21,3.6667
22,3.6667
23,3.6667
24,3.6667
25,3.6667
26,2.0000
27,2.0000
28,3.0000
29,3.0000
30,3.0000
31,3.0000
32,3.6667
33,3.6667
34,3.6667
35,3.6667
36,4.6667
37,4.6667
38,3.6667
39,3.6667
40,3.6667
41,3.6667
42,3.6667
43,2.6667
44,3.6667
45,3.6667
46,3.6667
47,3.6667
48,2.0000
49,3.0000
50,3.0000
51,2.0000
52,2.6667
53,2.6667
54,4.6667
55,4.6667
56,4.6667
57,4.6667
58,4.6667
59,4.6667
60,4.6667
61,4.6667
62,4.6667
63,4.6667
64,5.3333
65,6.3333
66,7.3333
67,7.3333
68,6.3333
69,6.3333
70,7.3333
71,7.3333
72,7.3333
73,7.3333
74,9.3333
75,10.3333
76,10.6667
77,11.6667
78,14.6667
79,14.6667
80,15.3333
81,14.3333
82,18.3333
83,19.3333
84,20.0000
85,20.0000
86,23.3333
87,22.0000
88,27.6667
89,29.0000
90,34.0000
91,33.0000
92,37.0000
93,39.0000
94,44.0000
95,44.0000
96,46.0000
97,46.6667
98,48.6667
99,49.3333
100,52.6667
101,53.3333
102,53.6667
103,54.6667
104,56.3333
105,56.3333
106,58.3333
107,58.3333
108,61.6667
109,63.0000
110,61.6667
111,61.6667
112,59.6667
113,61.6667
114,64.3333
115,65.3333
116,66.6667
117,66.6667
118,66.6667
119,66.6667
120,68.6667
121,67.3333
122,66.3333
123,67.3333
124,67.3333
125,67.3333
126,68.6667
127,67.3333
128,66.0000
129,67.0000
130,67.3333
131,66.3333
132,64.6667
133,63.6667
134,61.3333
135,60.3333
136,60.3333
137,60.3333
138,58.0000
139,55.6667
140,55.3333
141,55.3333
142,54.3333
143,54.3333
144,51.6667
145,50.3333
146,50.0000
147,47.6667
148,46.3333
149,44.6667
150,42.6667
151,41.3333
152,40.6667
153,41.3333
154,40.3333
155,40.3333
156,39.0000
157,38.0000
158,36.3333
159,35.3333
160,33.0000
161,31.6667
162,29.3333
163,31.3333
164,30.0000
165,28.0000
166,26.6667
167,24.3333
168,28.0000
169,29.0000
170,27.3333
171,26.3333
172,23.3333
173,22.3333
174,24.3333
175,25.6667
176,24.3333
177,24.3333
178,24.6667
179,24.6667
180,24.6667
181,24.6667
182,24.6667
183,24.6667
184,22.3333
185,22.3333
186,23.6667
187,24.6667
188,24.6667
189,24.6667
190,23.6667
191,24.6667
192,23.3333
193,24.3333
194,23.3333
195,23.3333
196,22.3333
197,22.3333
198,22.0000
199,23.0000
200,23.6667
201,23.6667
202,26.3333
203,27.3333
204,27.0000
205,27.0000
206,27.3333
207,27.3333
208,25.3333
209,26.3333
210,27.6667
211,27.6667
212,28.0000
213,29.3333
214,29.6667
215,31.0000
216,32.3333
217,32.3333
218,33.3333
219,33.3333
220,32.6667
221,34.0000
222,32.6667
223,32.6667
224,31.3333
225,32.6667
226,33.0000
227,34.6667
228,34.3333
229,36.6667
230,37.6667
231,36.3333
232,36.0000
233,36.0000
234,36.0000
235,36.0000
236,34.3333
237,35.6667
238,34.3333
239,34.3333
240,35.3333
241,34.3333
242,33.0000
243,33.0000
244,30.6667
245,30.6667
246,30.6667
247,29.6667
248,29.6667
249,30.6667
250,30.0000
251,30.0000
252,28.3333
253,28.3333
254,27.0000
255,26.0000
256,26.6667
257,25.3333
258,24.3333
259,24.3333
260,22.6667
261,22.6667
262,21.6667
263,21.6667
264,20.6667
265,18.0000
266,16.6667
267,12.0000
268,14.0000
269,13.0000
270,14.0000
271,14.0000
272,15.3333
273,15.3333
274,14.0000
275,13.0000
276,12.6667
277,11.6667
278,12.6667
279,10.6667
280,11.0000
281,10.0000
282,10.0000
283,8.6667
284,8.6667
285,7.6667
286,8.0000
287,8.0000
288,8.0000
289,8.0000
290,9.3333
291,7.3333
292,5.0000
293,3.6667
294,6.0000
295,5.0000
296,3.6667
297,5.0000
298,2.6667
299,5.0000
300,4.0000
301,4.0000
302,4.0000
303,4.0000
304,3.0000
305,3.0000
306,4.0000
307,4.0000
308,4.0000
309,3.0000
310,3.0000
311,2.0000
312,3.0000
313,3.0000
314,3.0000
315,3.0000
316,3.0000
317,3.0000
318,3.0000
319,3.0000
320,3.0000
321,3.0000
322,3.0000
323,3.0000
324,3.0000
325,3.0000
326,3.0000
327,4.0000
328,3.0000
329,3.0000
330,3.0000
331,3.0000
332,2.0000
333,3.0000
334,3.0000
335,3.0000
336,3.0000
337,3.0000
338,3.0000
339,3.0000
340,2.0000
341,2.0000
342,3.0000
343,3.0000
344,3.0000
345,3.0000
346,3.0000
347,3.0000
348,2.0000
349,3.0000
350,3.0000
351,3.0000
352,3.0000
353,3.0000
354,3.0000
355,2.0000
356,2.0000
357,2.0000
358,3.0000
359,3.0000
360,3.0000
361,2.0000
362,2.0000
363,2.0000
364,2.0000
365,2.0000
366,3.0000
367,3.0000
368,2.0000
369,3.0000
370,3.0000
371,3.0000
372,2.0000
373,2.0000
374,2.0000
375,2.0000
376,3.0000
377,3.0000
378,3.0000
379,3.0000
380,3.6667
381,3.6667
382,4.6667
383,3.6667
384,4.0000
385,4.0000
386,3.0000
387,3.0000
388,3.0000
389,3.0000
390,3.0000
391,3.0000
392,2.0000
393,3.0000
394,3.0000
395,2.0000
396,2.0000
397,3.0000
398,3.0000
399,2.0000
400,2.0000
401,3.0000
402,2.0000
403,3.0000
404,3.0000
405,3.0000
406,3.0000
407,3.0000
408,3.0000
409,3.0000
410,3.0000
411,3.0000
412,3.0000
413,2.0000
414,3.0000
415,3.0000
416,3.0000
417,3.0000
418,2.0000
419,2.0000
420,3.0000
421,2.0000
422,3.0000
423,3.0000
424,3.0000
425,3.0000
426,3.0000
427,2.0000
428,2.0000
429,2.0000
430,3.0000
431,3.0000
432,3.0000
433,3.0000
434,3.0000
435,3.0000
436,3.0000
437,3.0000
438,2.0000
439,3.0000
440,3.0000
441,3.0000
442,2.0000
443,3.0000
444,3.0000
445,3.0000
446,3.0000
447,3.0000
448,3.0000
449,3.0000
450,3.0000
451,3.0000
452,3.6667
453,3.6667
454,3.0000
455,3.0000
456,3.0000
457,2.0000
458,2.0000
459,2.0000
460,3.0000
461,3.0000
462,3.0000
463,2.0000
464,3.0000
465,2.0000
466,2.0000
467,2.0000
468,2.0000
469,2.0000
470,2.0000
471,2.0000
472,2.0000
473,2.0000
474,2.6667
475,2.6667
476,2.0000
477,2.0000
478,2.0000
479,2.0000
480,2.0000
481,2.0000
482,2.0000
483,3.0000
484,3.0000
485,3.0000
486,2.0000
487,3.0000
488,3.0000
489,3.0000
490,3.0000
491,3.0000
492,3.0000
493,3.0000
494,3.0000
495,2.0000
496,3.0000
497,3.0000
498,3.0000
499,3.0000
500,3.0000
501,3.0000
502,3.0000
503,3.0000
504,3.0000
505,3.0000
506,3.0000
507,3.0000
