Distance_(pixels),Gray_Value
0,22.000
1,23.000
2,23.000
3,22.000
4,22.667
5,22.667
6,22.667
7,22.667
8,21.000
9,20.000
10,20.000
11,20.000
12,22.333
13,21.333
14,20.000
15,21.000
16,21.000
17,22.667
18,20.000
19,20.000
20,19.000
21,20.000
22,20.000
23,19.000
24,17.000
25,19.000
26,20.000
27,24.000
28,23.667
29,22.333
30,21.667
31,21.667
32,22.000
33,23.000
34,23.000
35,23.000
36,22.333
37,21.333
38,20.667
39,22.000
40,24.000
41,24.000
42,24.333
43,24.333
44,25.333
45,25.333
46,27.667
47,26.333
48,26.000
49,26.000
50,25.333
51,24.000
52,24.667
53,26.000
54,26.333
55,26.333
56,26.333
57,26.333
58,26.333
59,28.000
60,29.333
61,29.333
62,31.333
63,30.333
64,31.667
65,31.667
66,32.667
67,32.667
68,34.333
69,36.667
70,37.667
71,39.333
72,42.667
73,43.667
74,45.000
75,45.000
76,46.333
77,46.333
78,47.000
79,48.000
80,50.000
81,50.000
82,52.000
83,53.000
84,55.667
85,53.333
86,57.000
87,55.667
88,57.667
89,57.667
90,58.000
91,59.000
92,60.667
93,60.667
94,62.667
95,65.333
96,65.667
97,66.667
98,68.000
99,69.000
100,69.333
101,70.333
102,71.333
103,72.000
104,72.667
105,72.667
106,72.333
107,72.333
108,73.000
109,73.667
110,73.667
111,73.667
112,74.667
113,74.667
114,76.000
115,76.000
116,75.667
117,76.667
118,75.667
119,75.667
120,75.667
121,76.667
122,75.333
123,74.333
124,72.667
125,72.667
126,73.000
127,73.000
128,71.333
129,71.333
130,68.667
131,68.667
132,68.667
133,67.667
134,66.333
135,66.333
136,65.000
137,65.000
138,62.333
139,63.667
140,62.333
141,63.333
142,62.667
143,62.667
144,60.000
145,60.000
146,59.667
147,59.667
148,57.667
149,57.667
150,55.000
151,55.000
152,54.000
153,54.000
154,54.667
155,56.000
156,54.333
157,55.667
158,53.333
159,53.333
160,53.333
161,53.333
162,53.333
163,53.333
164,52.667
165,52.667
166,51.667
167,51.667
168,52.000
169,52.000
170,53.000
171,54.000
172,53.667
173,54.667
174,54.667
175,56.333
176,55.667
177,54.333
178,53.333
179,52.333
180,52.667
181,53.667
182,54.667
183,57.333
184,56.667
185,57.667
186,59.000
187,59.000
188,58.333
189,60.667
190,60.667
191,63.000
192,63.333
193,65.000
194,64.333
195,67.667
196,70.667
197,72.667
198,72.000
199,74.333
200,76.333
201,77.333
202,77.000
203,78.000
204,78.000
205,80.000
206,81.333
207,83.333
208,86.000
209,89.333
210,89.333
211,93.333
212,94.333
213,94.333
214,95.000
215,98.000
216,99.000
217,100.333
218,99.000
219,101.333
