Distance_(pixels),Gray_Value
0,7.000
1,6.333
2,7.000
3,7.000
4,5.667
5,4.000
6,4.000
7,2.667
8,2.000
9,2.000
10,3.667
11,4.000
12,4.000
13,5.000
14,5.000
15,4.000
16,4.000
17,4.000
18,4.000
19,5.000
20,5.000
21,5.000
22,5.000
23,5.667
24,5.000
25,7.000
26,7.667
27,6.667
28,9.000
29,9.333
30,8.667
31,9.000
32,8.000
33,7.333
34,7.333
35,7.667
36,8.000
37,9.667
38,9.667
39,10.000
40,9.333
41,5.000
42,7.000
43,9.667
44,13.333
45,17.000
46,21.333
47,23.000
48,24.333
49,20.667
50,14.333
51,9.000
52,9.000
53,19.667
54,25.000
55,33.000
56,37.000
57,35.000
58,25.667
59,21.667
60,16.667
61,15.000
62,17.667
63,27.000
64,33.000
65,38.667
66,39.667
67,39.000
68,33.000
69,23.667
70,17.000
71,16.667
72,21.000
73,30.000
74,35.667
75,41.000
76,45.000
77,44.000
78,34.000
79,27.667
80,23.333
81,24.333
82,32.667
83,47.667
84,55.667
85,59.667
86,60.333
87,60.333
88,60.333
89,52.000
90,39.667
91,30.000
92,26.667
93,41.667
94,51.000
95,55.333
96,66.000
97,83.333
98,89.667
99,65.000
100,47.000
101,36.000
102,34.333
103,43.667
104,53.333
105,63.667
106,74.667
107,85.667
108,89.333
109,80.667
110,69.667
111,54.333
112,42.000
113,40.333
114,46.333
115,54.667
116,63.667
117,88.667
118,119.000
119,123.333
120,120.667
121,113.333
122,97.667
123,71.333
124,51.333
125,50.333
126,60.667
127,99.000
128,134.333
129,131.000
130,129.333
131,130.000
132,131.000
133,132.667
134,105.000
135,80.000
136,62.333
137,62.000
138,67.667
139,64.333
140,82.667
141,129.000
142,134.000
143,137.000
144,145.000
145,129.000
146,105.333
147,77.000
148,57.667
149,50.667
150,52.333
151,56.333
152,75.333
153,99.667
154,122.667
155,134.667
156,136.000
157,131.333
158,124.333
159,107.333
160,94.000
161,75.333
162,55.667
163,51.333
164,63.667
165,90.333
166,110.333
167,124.333
168,124.667
169,129.667
170,132.000
171,131.333
172,130.000
173,131.333
174,99.667
175,70.333
176,56.000
177,51.333
178,58.667
179,66.333
180,88.333
181,124.667
182,134.667
183,132.333
184,133.333
185,137.000
186,144.333
187,140.000
188,124.667
189,94.667
190,66.000
191,51.667
192,49.667
193,55.000
194,59.000
195,76.000
196,101.000
197,119.333
198,125.667
199,125.333
200,121.333
201,107.667
202,87.333
203,66.333
204,64.333
205,63.333
206,55.333
207,44.333
208,38.333
209,40.333
210,50.667
211,54.333
212,62.000
213,71.000
214,77.333
215,81.333
216,76.333
217,68.667
218,60.333
219,57.667
220,54.333
221,52.000
222,46.000
223,40.000
224,34.333
225,32.667
226,36.000
227,45.667
228,55.333
229,64.333
230,69.000
231,63.000
232,72.667
233,91.667
234,98.667
235,103.000
236,94.333
237,87.333
238,79.667
239,71.000
240,62.000
241,59.333
242,58.333
243,52.333
244,40.000
245,36.000
246,43.000
247,54.667
248,71.333
249,92.333
250,103.000
251,103.667
252,106.667
253,118.667
254,119.667
255,131.333
256,138.000
257,131.000
258,108.667
259,85.333
260,66.000
261,76.000
262,79.667
263,62.667
264,53.333
265,45.000
266,40.333
267,47.000
268,59.667
269,65.000
270,71.667
271,83.000
272,90.667
273,100.333
274,100.000
275,112.667
276,124.333
277,119.000
278,110.333
279,100.667
280,94.000
281,87.333
282,80.000
283,72.333
284,70.000
285,60.333
286,50.000
287,39.000
288,35.667
289,35.000
290,33.000
291,34.333
292,37.333
293,45.333
294,52.333
295,56.667
296,57.667
297,75.333
298,110.000
299,116.667
300,97.333
301,84.000
302,70.333
303,64.667
304,88.000
305,119.333
306,126.000
307,119.667
308,111.333
309,119.667
310,126.333
311,110.333
312,91.667
313,67.333
314,60.667
315,61.000
316,52.667
317,41.333
318,35.667
319,33.667
320,35.000
321,36.000
322,41.000
323,50.000
324,55.333
325,58.333
326,62.333
327,66.667
328,68.000
329,80.667
330,98.000
331,99.667
332,106.000
333,118.000
334,117.333
335,108.000
336,105.333
337,97.667
338,90.667
339,95.000
340,100.000
341,100.667
342,102.667
343,110.333
344,106.000
345,101.000
346,93.000
347,90.333
348,98.667
349,93.667
350,78.333
351,74.000
352,72.000
353,72.000
354,69.667
355,61.667
356,55.333
357,49.000
358,44.667
359,41.667
360,36.667
361,34.000
362,32.667
363,32.000
364,32.667
365,34.000
366,38.000
367,39.000
368,40.333
369,47.000
370,59.333
371,70.000
372,78.000
373,76.667
374,64.333
375,59.333
376,56.000
377,59.333
378,67.000
379,75.667
380,78.333
381,90.333
382,97.000
383,95.667
384,93.333
385,91.667
386,86.333
387,86.333
388,93.000
389,100.667
390,103.000
391,98.000
392,102.333
393,112.667
394,127.667
395,133.667
396,113.000
397,107.333
398,122.667
399,123.667
400,114.000
401,107.667
402,103.667
403,97.667
404,88.333
405,86.333
406,92.667
407,103.667
408,125.333
409,133.667
410,127.667
411,118.333
412,116.000
413,140.000
414,142.333
415,138.333
416,141.667
417,136.667
418,129.667
419,125.000
420,127.333
421,138.000
422,137.333
423,128.000
424,134.667
425,144.333
426,138.333
427,132.667
428,130.000
429,125.000
430,126.333
431,101.000
432,85.000
433,84.667
434,85.667
435,80.667
436,95.333
437,96.000
438,96.333
439,106.000
440,110.333
441,110.333
442,112.667
443,116.667
444,116.667
445,116.333
446,120.333
447,122.000
448,124.333
449,121.667
450,117.333
451,128.333
452,132.333
453,133.000
454,134.000
455,127.667
456,128.333
457,126.333
458,125.667
459,122.333
460,119.667
461,123.333
462,127.333
463,129.333
464,102.667
465,74.000
466,79.333
467,95.667
468,105.333
469,109.000
470,105.667
471,99.333
472,95.333
473,93.333
474,103.000
475,121.333
476,114.333
477,105.667
478,96.333
479,86.000
480,78.000
481,84.333
482,84.333
483,86.667
484,87.000
485,84.667
486,69.000
487,59.333
488,54.333
489,51.000
490,49.333
491,41.000
492,36.667
493,40.000
494,39.000
495,35.667
496,35.333
497,37.000
498,37.000
499,40.000
500,40.000
501,39.000
502,41.333
503,46.000
504,54.333
505,62.000
506,66.667
507,64.333
508,59.000
509,67.333
510,83.000
511,86.333
512,87.000
513,82.000
514,80.667
515,91.333
516,106.667
517,116.000
518,117.667
519,117.333
520,113.333
521,100.333
522,93.000
523,106.667
524,111.333
525,103.667
526,111.667
527,127.333
528,122.333
529,108.667
530,91.000
531,94.000
532,92.000
533,83.000
534,81.333
535,94.667
536,78.333
537,65.000
538,54.333
539,48.000
540,43.333
541,34.000
542,32.000
543,37.667
544,35.667
545,36.000
546,46.667
547,57.000
548,59.000
549,62.333
550,68.000
551,72.000
552,76.667
553,91.000
554,96.000
555,94.000
556,104.333
557,117.667
558,131.667
559,117.667
560,84.000
561,80.000
562,93.000
563,107.667
564,109.667
565,102.000
566,88.000
567,71.000
568,57.667
569,50.667
570,46.000
571,43.667
572,39.000
573,37.333
574,33.667
575,30.333
576,27.333
577,31.000
578,38.000
579,47.667
580,56.333
581,63.333
582,74.000
583,85.333
584,91.667
585,89.000
586,91.667
587,94.333
588,94.000
589,86.333
590,77.667
591,78.333
592,92.000
593,95.000
594,90.333
595,84.667
596,82.333
597,78.333
598,67.333
599,54.333
600,44.333
601,36.000
602,38.000
603,45.000
604,55.333
605,69.000
606,85.333
607,97.000
608,104.667
609,117.000
610,138.333
611,139.333
612,142.000
613,145.000
614,143.333
615,134.333
616,129.333
617,127.000
618,133.333
619,130.333
620,113.667
621,104.667
622,90.667
623,65.000
624,53.000
625,54.667
626,63.333
627,62.333
628,71.333
629,85.333
630,100.333
631,120.667
632,141.333
633,146.000
634,150.667
635,153.000
636,154.000
637,148.000
638,145.000
639,142.000
640,145.333
641,128.000
642,105.667
643,74.333
644,54.333
645,52.333
646,51.000
647,60.333
648,83.000
649,100.667
650,114.000
651,115.667
652,127.333
653,134.000
654,136.000
655,135.667
656,131.667
657,125.667
658,114.667
659,111.667
660,117.333
661,102.000
662,82.000
663,61.333
664,47.000
665,47.333
666,57.667
667,85.667
668,101.333
669,112.667
670,112.333
671,103.667
672,102.667
673,96.333
674,97.667
675,101.667
676,97.000
677,81.667
678,73.333
679,63.000
680,60.000
681,52.000
682,42.333
683,41.000
684,49.333
685,59.333
686,67.000
687,75.333
688,91.000
689,99.667
690,96.667
691,105.333
692,117.667
693,90.333
694,75.667
695,71.000
696,57.667
697,40.333
