 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,3600,177.132,2.600,169,183,637674.000,637674.000
2,3600,180.024,2.447,173,187,648087.000,648087.000
3,3600,182.360,2.559,176,188,656497.000,656497.000
4,3600,180.233,2.324,174,187,648838.000,648838.000
5,3600,177.779,2.439,172,185,640005.000,640005.000
6,3600,174.817,2.437,169,181,629340.000,629340.000
7,3600,169.560,2.561,164,176,610417.000,610417.000
8,3600,163.491,2.428,158,171,588566.000,588566.000
9,3600,155.904,2.411,150,162,561254.000,561254.000
10,3600,147.724,2.255,142,153,531807.000,531807.000
11,3600,138.281,2.186,132,144,497810.000,497810.000
12,3600,128.267,2.429,122,136,461762.000,461762.000
13,3600,95.176,3.320,80,105,342635.000,342635.000
14,3600,72.290,3.557,65,84,260244.000,260244.000
15,3600,53.299,3.838,43,65,191876.000,191876.000
16,3600,30.219,4.033,21,54,108787.000,108787.000
17,3600,16.601,3.365,11,49,59764.000,59764.000
18,3600,9.589,2.898,4,54,34520.000,34520.000
19,3600,5.898,3.072,3,59,21234.000,21234.000
20,3600,6.296,3.273,3,61,22667.000,22667.000
21,3600,11.035,5.580,5,100,39727.000,39727.000
22,3600,22.159,7.927,13,108,79773.000,79773.000
