obs_wl_air(nm),intens
377.0369,20
383.4679,7
394.7505,7
394.8979,35
404.4418,50
415.859,400
416.418,50
418.1884,50
419.0713,100
419.1029,50
419.8317,200
420.0674,400
425.1185,25
425.9362,200
426.6286,100
427.2169,150
430.0101,100
433.3561,100
433.5338,50
434.5168,25
451.0733,100
452.2323,20
459.6097,15
462.8441,7
470.2316,15
515.1391,5
516.2285,15
518.7746,20
522.1271,7
542.1352,5
545.1652,10
549.5874,25
550.6113,5
555.8702,25
557.2541,10
560.6733,35
565.0704,20
573.952,10
583.4263,5
586.031,10
588.2624,15
588.8584,25
591.2085,50
592.8813,15
594.2669,5
598.7302,7
599.8999,5
602.515,5
603.2127,70
604.3223,35
605.2723,10
605.9372,20
609.8803,7
610.5635,10
614.5441,10
617.0174,7
617.3096,10
621.2503,10
621.5938,5
629.6872,7
630.7657,15
636.9575,7
638.4717,20
641.6307,70
653.8112,15
660.4853,15
666.0676,5
666.4051,5
667.7282,100
675.2834,150
675.6163,5
676.6612,15
687.1289,150
687.9582,5
688.8174,10
693.7664,50
695.1478,7
696.025,7
696.5431,10000
703.0251,150
706.7218,10000
706.8736,100
710.7478,25
712.582,25
714.7042,1000
715.8839,15
720.698,70
726.5172,15
727.0664,7
727.2936,2000
731.1716,35
731.6005,25
735.0814,5
735.3293,70
737.2118,200
738.398,10000
739.298,20
741.2337,15
742.5294,10
743.5368,25
743.6297,10
