obs_wl_air(nm),unc_obs_wl,intens
370.5005,0.001,3
370.5005,0.001,3
370.5005,0.001,3
370.5005,0.001,3
370.5005,0.001,3
381.96074,0.00008,10
381.96074,0.00008,10
381.96074,0.00008,10
381.96074,0.00008,10
381.96074,0.00008,10
383.3554,0.001,0
387.1791,0.001,1
388.8648,0.001,500
388.8648,0.001,500
393.5912,0.001,0
396.47291,0.0001,20
402.3973,0.001,1
402.61914,0.0001,50
402.61914,0.0001,50
402.61914,0.0001,50
402.61914,0.0001,50
402.61914,0.0001,50
412.08154,0.00012,12
412.08154,0.00012,12
414.3761,0.001,3
416.8967,0.001,1
438.79296,0.00006,10
443.7551,0.001,3
447.14802,0.00015,200
447.14802,0.00015,200
447.14802,0.00015,200
447.14802,0.00015,200
447.14802,0.00015,200
471.31457,0.00006,30
471.31457,0.00006,3
492.19313,0.00005,20
501.56783,0.00003,100
504.7738,0.001,10
587.5621,0.001,500
587.5621,0.001,500
587.5621,0.001,500
587.5621,0.001,50
667.8151,0.001,100
706.519,0.001,200
706.519,0.001,200
706.571,0.01,30
728.1349,0.001,50
