obs_wl_air(nm),unc_obs_wl,intens
384.8,0.02,5
386.55,0.02,130
387.29,0.02,19
388.18,0.02,420
388.57,0.02,36
390.04,0.02,15
391.79,0.02,160
392.56,0.02,85
393.06,0.02,15
394.26,0.02,32
398.03,0.02,14
399.77,0.02,14
400.88,0.02,27
417.67,0.02,82
418.55,0.02,150
420.49,0.02,46
423.8987,0.0008,2
424.2082,0.0008,3
424.2082,0.0008,3
424.941,0.0008,1
425.252,0.0008,2
425.38,0.02,17
427.3642,0.0008,4
427.39,0.02,23
427.6787,0.0008,5
427.6787,0.0008,5
428.67,0.02,46
428.7838,0.0008,2
429.1006,0.0008,3
432.14,0.0008,6
432.4615,0.0008,7
432.4615,0.0008,7
434.1489,0.0008,4
434.4736,0.0008,5
439.0029,0.0008,8
439.334,0.0008,9
439.334,0.0008,9
441.9885,0.0008,6
442.3246,0.0008,7
443.23,0.02,310
449.4177,0.0009,10
449.7658,0.0009,11
449.7658,0.0009,11
454.1633,0.0009,7
454.5186,0.0009,8
466.48107,0.00005,1
466.85595,0.00005,2
466.85595,0.00005,2
474.7941,0.00005,1
475.18218,0.00005,2
497.85414,0.00005,1
498.28134,0.00005,2
507.12,0.02,270
514.88381,0.00005,1
515.34024,0.00005,2
516.25,0.02,83
525.64,0.02,7
562.1,0.02,42
568.26333,0.00005,5
568.81934,0.00005,1
568.82046,0.00005,9
574.42,0.02,12
588.995095,0.000003,80000
589.592424,0.000003,40000
615.42253,0.00005,1
616.0747,0.00005,2
737.323,0.002,2
737.349,0.002,1
