obs_wl_air(nm),unc_obs_wl,intens
370.12247,0.00005,400
375.42148,0.00005,500
376.5819,0.002,50
376.8047,0.002,50
376.9449,0.002,70
376.9654,0.002,50
388.2698,0.002,20
388.7134,0.002,10
388.9427,0.002,50
389.9723,0.002,20
394.354,0.002,20
398.4065,0.002,20
398.4253,0.002,70
399.5298,0.002,10
399.5721,0.002,10
399.8594,0.002,10
399.9263,0.002,10
401.3752,0.002,10
401.3995,0.002,20
402.0015,0.002,20
403.7262,0.002,50
403.7615,0.002,150
403.7696,0.002,50
404.2327,0.002,100
404.2642,0.002,500
404.5662,0.002,20
406.4036,0.002,500
406.4829,0.002,150
406.8835,0.002,300
406.9243,0.002,300
406.9389,0.002,50
407.9359,0.002,20
408.0148,0.002,500
411.1882,0.002,10
411.21,0.002,150
411.2694,0.002,200
411.2865,0.002,100
412.6941,0.002,20
412.8072,0.002,300
413.0512,0.002,200
413.10613,0.0002,700
416.48079,0.0002,500
416.6091,0.002,300
417.3966,0.002,20
417.43667,0.0002,700
417.52197,0.0002,600
417.5488,0.002,400
419.6415,0.002,150
419.81018,0.0002,700
420.327,0.002,20
420.327,0.002,20
420.327,0.002,20
423.2323,0.002,10
424.9538,0.002,20
425.2418,0.002,20
425.2775,0.002,20
425.6498,0.002,20
425.6498,0.002,20
425.9739,0.002,10
426.2479,0.002,20
426.7286,0.002,10
426.7724,0.002,50
426.80086,0.0002,700
426.97223,0.0002,700
427.02252,0.0002,500
427.46617,0.0002,500
427.5167,0.002,10
427.5559,0.0002,700
427.885,0.002,50
427.9279,0.002,150
428.3242,0.002,100
428.8541,0.002,50
428.9799,0.002,20
429.1976,0.002,20
429.1976,0.002,20
429.1976,0.002,20
430.3248,0.002,300
430.3695,0.002,10
430.3955,0.002,50
430.62508,0.0002,700
431.013,0.002,20
431.411,0.002,10
431.4695,0.002,300
431.6008,0.002,150
431.8834,0.002,50
431.9511,0.002,10
432.1492,0.002,20
432.7265,0.002,100
433.41267,0.00004,700
433.62268,0.0002,500
433.82,0.002,20
434.0256,0.002,20
434.042,0.002,20
434.5479,0.002,20
434.5479,0.002,20
434.5762,0.002,10
434.6036,0.002,150
435.7298,0.002,20
435.7918,0.002,50
435.8816,0.002,20
436.269,0.002,300
436.3228,0.002,20
436.3524,0.0001,700
436.5705,0.002,10
437.1796,0.002,20
437.2157,0.002,300
437.4997,0.002,20
437.4997,0.002,20
437.7754,0.002,20
437.7754,0.002,20
438.122,0.0001,300
439.437,0.002,150
439.437,0.002,150
439.437,0.002,150
439.4773,0.002,150
439.5008,0.002,10
439.5306,0.002,10
439.5556,0.0001,500
439.5969,0.002,10
439.7175,0.002,10
439.8136,0.002,50
440.2374,0.002,20
440.258,0.002,10
440.2985,0.002,10
440.5582,0.002,20
440.962,0.002,200
441.2285,0.002,200
441.3561,0.002,150
441.5141,0.002,50
441.6817,0.002,500
442.0558,0.002,10
442.15553,0.0002,500
442.25205,0.00004,3000
442.48065,0.0002,3000
442.54,0.0001,1500
