t,V_e,V_m
-2.5e-05,3.16,-0.92
-2.498e-05,3.12,-0.96
-2.496e-05,3.12,-0.88
-2.4940000000000002e-05,3.16,-0.92
-2.4920000000000002e-05,3.2,-0.84
-2.4900000000000002e-05,3.12,-0.88
-2.4880000000000002e-05,3.2,-0.88
-2.4860000000000003e-05,3.2,-0.88
-2.4840000000000003e-05,3.16,-0.88
-2.482e-05,3.16,-0.84
-2.48e-05,3.2,-0.88
-2.478e-05,3.2,-0.88
-2.476e-05,3.2,-0.84
-2.474e-05,3.2,-0.84
-2.472e-05,3.2,-0.88
-2.47e-05,3.16,-0.84
-2.468e-05,3.2,-0.88
-2.466e-05,3.24,-0.8
-2.464e-05,3.24,-0.8
-2.462e-05,3.24,-0.8
-2.46e-05,3.24,-0.76
-2.4580000000000002e-05,3.24,-0.84
-2.4560000000000002e-05,3.2800000000000002,-0.8
-2.4540000000000002e-05,3.24,-0.8
-2.4520000000000002e-05,3.24,-0.8
-2.4500000000000003e-05,3.2800000000000002,-0.8
-2.4480000000000003e-05,3.24,-0.8
-2.446e-05,3.2800000000000002,-0.76
-2.444e-05,3.24,-0.76
-2.442e-05,3.24,-0.76
-2.44e-05,3.2800000000000002,-0.76
-2.438e-05,3.2800000000000002,-0.76
-2.436e-05,3.2800000000000002,-0.76
-2.434e-05,3.24,-0.76
-2.432e-05,3.3200000000000003,-0.76
-2.43e-05,3.3200000000000003,-0.72
-2.428e-05,3.3200000000000003,-0.76
-2.426e-05,3.36,-0.72
-2.4240000000000002e-05,3.3200000000000003,-0.72
-2.4220000000000002e-05,3.3200000000000003,-0.8
-2.4200000000000002e-05,3.2800000000000002,-0.72
-2.4180000000000002e-05,3.3200000000000003,-0.72
-2.4160000000000002e-05,3.36,-0.72
-2.4140000000000003e-05,3.36,-0.72
-2.412e-05,3.36,-0.72
-2.41e-05,3.4,-0.64
-2.408e-05,3.36,-0.68
-2.406e-05,3.36,-0.72
-2.404e-05,3.36,-0.72
-2.402e-05,3.36,-0.72
-2.4e-05,3.36,-0.68
-2.398e-05,3.36,-0.72
-2.396e-05,3.4,-0.64
-2.394e-05,3.36,-0.64
-2.392e-05,3.36,-0.68
-2.39e-05,3.4,-0.64
-2.3880000000000002e-05,3.36,-0.68
-2.3860000000000002e-05,3.4,-0.64
-2.3840000000000002e-05,3.44,-0.64
-2.3820000000000002e-05,3.4,-0.6
-2.3800000000000003e-05,3.44,-0.6
-2.3780000000000003e-05,3.44,-0.64
-2.3760000000000003e-05,3.44,-0.56
-2.374e-05,3.44,-0.64
-2.372e-05,3.44,-0.6
-2.37e-05,3.44,-0.64
-2.368e-05,3.48,-0.6
-2.366e-05,3.48,-0.6
-2.364e-05,3.44,-0.64
-2.362e-05,3.48,-0.56
-2.36e-05,3.48,-0.6
-2.358e-05,3.44,-0.56
-2.356e-05,3.52,-0.6
-2.354e-05,3.48,-0.56
-2.3520000000000002e-05,3.48,-0.56
-2.3500000000000002e-05,3.48,-0.56
-2.3480000000000002e-05,3.52,-0.6
-2.3460000000000002e-05,3.48,-0.6
-2.3440000000000003e-05,3.52,-0.52
-2.3420000000000003e-05,3.48,-0.56
-2.34e-05,3.52,-0.52
-2.338e-05,3.52,-0.56
-2.336e-05,3.56,-0.52
-2.334e-05,3.52,-0.56
-2.332e-05,3.56,-0.52
-2.33e-05,3.56,-0.52
-2.328e-05,3.56,-0.52
-2.326e-05,3.56,-0.44
-2.324e-05,3.56,-0.44
-2.322e-05,3.56,-0.56
-2.32e-05,3.56,-0.48
-2.318e-05,3.6,-0.48
-2.3160000000000002e-05,3.56,-0.48
-2.3140000000000002e-05,3.56,-0.48
-2.3120000000000002e-05,3.6,-0.44
-2.3100000000000002e-05,3.6,-0.48
-2.3080000000000003e-05,3.6,-0.44
-2.306e-05,3.56,-0.44
-2.3040000000000003e-05,3.56,-0.48
-2.302e-05,3.64,-0.44
-2.3e-05,3.6,-0.4
-2.298e-05,3.6,-0.4
-2.296e-05,3.64,-0.44
-2.294e-05,3.64,-0.4
-2.292e-05,3.64,-0.44
-2.29e-05,3.64,-0.44
-2.288e-05,3.64,-0.4
-2.286e-05,3.64,-0.44
-2.284e-05,3.64,-0.44
-2.2820000000000002e-05,3.72,-0.4
-2.2800000000000002e-05,3.64,-0.36
-2.2780000000000002e-05,3.68,-0.44
-2.2760000000000002e-05,3.68,-0.4
