t,V_e,V_m
-0.0025,6.08,2.12
-0.0024980000000000002,6.08,2.12
-0.002496,6.12,2.12
-0.002494,6.12,2.16
-0.002492,6.08,2.16
-0.00249,6.08,2.16
-0.002488,6.12,2.16
-0.002486,6.12,2.16
-0.002484,6.12,2.16
-0.0024820000000000003,6.12,2.16
-0.00248,6.12,2.16
-0.002478,6.12,2.16
-0.002476,6.16,2.16
-0.002474,6.16,2.16
-0.0024720000000000002,6.16,2.16
-0.00247,6.16,2.16
-0.002468,6.16,2.16
-0.002466,6.16,2.16
-0.002464,6.16,2.16
-0.002462,6.16,2.2
-0.00246,6.16,2.2
-0.002458,6.2,2.2
-0.002456,6.2,2.2
-0.002454,6.2,2.2
-0.002452,6.2,2.24
-0.00245,6.2,2.24
-0.002448,6.2,2.24
-0.0024460000000000003,6.2,2.24
-0.002444,6.2,2.24
-0.002442,6.24,2.24
-0.00244,6.24,2.24
-0.002438,6.24,2.2800000000000002
-0.0024360000000000002,6.24,2.2800000000000002
-0.002434,6.24,2.24
-0.002432,6.24,2.2800000000000002
-0.00243,6.24,2.2800000000000002
-0.002428,6.24,2.2800000000000002
-0.002426,6.24,2.2800000000000002
-0.002424,6.24,2.2800000000000002
-0.002422,6.28,2.2800000000000002
-0.0024200000000000003,6.28,2.2800000000000002
-0.002418,6.28,2.32
-0.002416,6.28,2.32
-0.002414,6.28,2.32
-0.002412,6.28,2.32
-0.0024100000000000002,6.28,2.32
-0.002408,6.32,2.32
-0.002406,6.32,2.32
-0.002404,6.28,2.32
-0.002402,6.32,2.32
-0.0024000000000000002,6.32,2.32
-0.002398,6.32,2.36
-0.002396,6.32,2.36
-0.002394,6.32,2.36
-0.002392,6.36,2.36
-0.00239,6.36,2.36
-0.002388,6.36,2.36
-0.002386,6.36,2.36
-0.002384,6.36,2.36
-0.002382,6.36,2.4
-0.00238,6.36,2.36
-0.002378,6.4,2.4
-0.002376,6.4,2.4
-0.0023740000000000002,6.4,2.4
-0.002372,6.4,2.4
-0.00237,6.4,2.4
-0.002368,6.4,2.4
-0.002366,6.4,2.44
-0.002364,6.4,2.4
-0.002362,6.4,2.4
-0.00236,6.44,2.44
-0.002358,6.44,2.44
-0.002356,6.44,2.48
-0.002354,6.44,2.44
-0.002352,6.44,2.48
-0.00235,6.44,2.44
-0.0023480000000000003,6.44,2.48
-0.002346,6.44,2.48
-0.002344,6.44,2.48
-0.002342,6.48,2.48
-0.00234,6.48,2.48
-0.0023380000000000002,6.48,2.48
-0.002336,6.48,2.48
-0.002334,6.48,2.48
-0.002332,6.48,2.52
-0.00233,6.5200000000000005,2.48
-0.002328,6.48,2.48
-0.002326,6.5200000000000005,2.48
-0.002324,6.5200000000000005,2.52
-0.0023220000000000003,6.5200000000000005,2.52
-0.00232,6.5200000000000005,2.52
-0.002318,6.5200000000000005,2.52
-0.002316,6.5200000000000005,2.52
-0.002314,6.5200000000000005,2.52
-0.0023120000000000003,6.5200000000000005,2.56
-0.00231,6.5600000000000005,2.56
-0.002308,6.5600000000000005,2.56
-0.002306,6.5600000000000005,2.56
-0.002304,6.5600000000000005,2.56
-0.0023020000000000002,6.5600000000000005,2.6
-0.0023,6.6000000000000005,2.6
-0.002298,6.5600000000000005,2.56
-0.002296,6.6000000000000005,2.6
-0.002294,6.6000000000000005,2.6
-0.002292,6.6000000000000005,2.6
-0.00229,6.6000000000000005,2.6
-0.002288,6.6000000000000005,2.6
-0.002286,6.6000000000000005,2.6
-0.002284,6.6000000000000005,2.64
-0.002282,6.6000000000000005,2.6
-0.00228,6.640000000000001,2.64
-0.002278,6.640000000000001,2.64
-0.0022760000000000002,6.6000000000000005,2.64
-0.002274,6.640000000000001,2.64
-0.002272,6.640000000000001,2.64
-0.00227,6.640000000000001,2.68
-0.002268,6.640000000000001,2.64
-0.0022660000000000002,6.640000000000001,2.64
-0.002264,6.68,2.68
-0.002262,6.68,2.68
-0.00226,6.68,2.68
-0.002258,6.68,2.68
-0.002256,6.68,2.68
-0.002254,6.68,2.68
-0.002252,6.68,2.68
-0.0022500000000000003,6.68,2.68
-0.002248,6.68,2.72
-0.002246,6.68,2.72
-0.002244,6.68,2.68
-0.002242,6.72,2.72
-0.0022400000000000002,6.72,2.72
-0.002238,6.72,2.72
-0.002236,6.72,2.72
-0.002234,6.72,2.72
-0.002232,6.72,2.7600000000000002
-0.00223,6.72,2.7600000000000002
-0.002228,6.76,2.7600000000000002
-0.002226,6.76,2.7600000000000002
-0.0022240000000000003,6.76,2.7600000000000002
-0.002222,6.76,2.7600000000000002
-0.00222,6.76,2.8000000000000003
-0.002218,6.76,2.7600000000000002
-0.002216,6.76,2.7600000000000002
-0.002214,6.76,2.8000000000000003
-0.002212,6.76,2.8000000000000003
-0.00221,6.76,2.8000000000000003
-0.002208,6.8,2.8000000000000003
-0.002206,6.8,2.8000000000000003
-0.0022040000000000002,6.8,2.8000000000000003
-0.002202,6.8,2.8000000000000003
-0.0022,6.84,2.8000000000000003
-0.0021980000000000003,6.8,2.84
-0.002196,6.84,2.84
-0.002194,6.84,2.84
-0.002192,6.84,2.84
-0.00219,6.88,2.84
-0.002188,6.84,2.84
-0.002186,6.88,2.84
-0.002184,6.88,2.84
-0.002182,6.84,2.84
-0.00218,6.88,2.88
-0.0021780000000000002,6.88,2.88
-0.002176,6.88,2.88
-0.002174,6.88,2.88
-0.002172,6.88,2.88
-0.00217,6.88,2.88
-0.0021680000000000002,6.88,2.92
-0.002166,6.92,2.92
-0.002164,6.92,2.92
-0.002162,6.92,2.92
-0.00216,6.92,2.92
-0.002158,6.92,2.92
-0.002156,6.92,2.92
-0.002154,6.92,2.92
-0.0021520000000000003,6.96,2.92
-0.00215,6.92,2.96
-0.002148,6.92,2.96
-0.002146,6.96,2.92
-0.002144,6.96,2.96
-0.0021420000000000002,6.96,2.96
-0.00214,6.96,2.96
-0.002138,6.96,2.96
-0.002136,6.96,2.96
-0.002134,6.96,3.0
-0.002132,6.96,2.96
-0.00213,6.96,3.0
-0.002128,7.0,3.0
-0.0021260000000000003,7.0,3.0
-0.002124,7.0,3.0
-0.002122,7.0,3.0
-0.00212,7.0,3.0
-0.002118,7.0,3.0
-0.002116,7.0,3.0
-0.002114,7.0,3.0
-0.002112,7.0,3.04
-0.00211,7.04,3.0
-0.002108,7.04,3.0
-0.0021060000000000002,7.04,3.04
-0.002104,7.04,3.04
-0.002102,7.04,3.04
-0.0021000000000000003,7.04,3.04
-0.002098,7.04,3.04
-0.002096,7.04,3.08
-0.002094,7.04,3.08
-0.002092,7.04,3.08
-0.00209,7.08,3.08
-0.002088,7.08,3.12
-0.002086,7.08,3.08
-0.002084,7.12,3.12
-0.002082,7.08,3.08
-0.0020800000000000003,7.12,3.12
-0.002078,7.12,3.12
-0.002076,7.12,3.12
-0.002074,7.12,3.12
-0.002072,7.12,3.12
-0.0020700000000000002,7.12,3.12
-0.002068,7.12,3.12
-0.002066,7.16,3.12
-0.002064,7.12,3.16
-0.002062,7.16,3.16
-0.00206,7.16,3.16
-0.002058,7.16,3.16
-0.002056,7.16,3.16
-0.0020540000000000003,7.16,3.16
-0.002052,7.2,3.2
-0.00205,7.16,3.2
-0.002048,7.16,3.16
-0.002046,7.2,3.2
-0.0020440000000000002,7.2,3.2
-0.002042,7.16,3.16
-0.00204,7.2,3.2
-0.002038,7.2,3.2
-0.002036,7.2,3.2
-0.0020340000000000002,7.24,3.2
-0.002032,7.2,3.24
-0.00203,7.2,3.2
