t,V_e,V_m
-1.25e-05,8.24,4.12
-1.249e-05,8.28,4.16
-1.248e-05,8.28,4.16
-1.2470000000000001e-05,8.28,4.2
-1.2460000000000001e-05,8.28,4.16
-1.2450000000000001e-05,8.24,4.12
-1.2440000000000001e-05,8.28,4.2
-1.2430000000000001e-05,8.28,4.12
-1.2420000000000001e-05,8.32,4.16
-1.241e-05,8.28,4.16
-1.24e-05,8.28,4.24
-1.239e-05,8.24,4.2
-1.238e-05,8.32,4.2
-1.237e-05,8.32,4.2
-1.236e-05,8.28,4.24
-1.235e-05,8.36,4.2
-1.234e-05,8.32,4.24
-1.233e-05,8.32,4.2
-1.232e-05,7.5600000000000005,4.24
-1.231e-05,6.68,4.12
-1.23e-05,6.24,3.8000000000000003
-1.2290000000000001e-05,6.0,3.6
-1.2280000000000001e-05,6.12,3.36
-1.2270000000000001e-05,5.96,3.16
-1.2260000000000001e-05,5.96,3.04
-1.2250000000000001e-05,6.04,2.92
-1.2240000000000001e-05,6.0,2.72
-1.223e-05,6.0,2.68
-1.222e-05,6.04,2.56
-1.221e-05,6.04,2.48
-1.22e-05,6.04,2.4
-1.219e-05,6.0,2.4
-1.218e-05,6.04,2.32
-1.217e-05,6.0,2.32
-1.216e-05,6.0,2.24
-1.215e-05,6.04,2.2
-1.214e-05,6.04,2.2
-1.213e-05,5.96,2.16
-1.2120000000000001e-05,6.04,2.16
-1.2110000000000001e-05,6.08,2.08
-1.2100000000000001e-05,6.08,2.08
-1.2090000000000001e-05,6.08,2.08
-1.2080000000000001e-05,6.08,2.16
-1.2070000000000001e-05,6.08,2.08
-1.206e-05,6.08,2.04
-1.205e-05,6.08,2.08
-1.204e-05,6.08,2.12
-1.203e-05,6.04,2.08
-1.202e-05,6.12,2.04
-1.201e-05,6.08,2.08
-1.2e-05,6.08,2.08
-1.199e-05,6.08,2.08
-1.198e-05,6.08,2.08
-1.197e-05,6.16,2.08
-1.196e-05,6.16,2.08
-1.195e-05,6.12,2.08
-1.1940000000000001e-05,6.08,2.04
-1.1930000000000001e-05,6.12,2.08
-1.1920000000000001e-05,6.16,2.08
-1.1910000000000001e-05,6.2,2.08
-1.1900000000000001e-05,6.16,2.08
-1.1890000000000001e-05,6.16,2.08
-1.1880000000000001e-05,6.16,2.12
-1.187e-05,6.16,2.12
-1.186e-05,6.2,2.12
-1.185e-05,6.16,2.12
-1.184e-05,6.2,2.16
-1.183e-05,6.24,2.12
-1.182e-05,6.2,2.12
-1.181e-05,6.24,2.16
-1.18e-05,6.2,2.16
-1.179e-05,6.2,2.12
-1.178e-05,6.28,2.16
-1.177e-05,6.24,2.12
-1.1760000000000001e-05,6.2,2.16
-1.1750000000000001e-05,6.24,2.16
-1.1740000000000001e-05,6.2,2.16
-1.1730000000000001e-05,6.24,2.2
-1.1720000000000001e-05,6.24,2.16
-1.1710000000000001e-05,6.28,2.2
-1.17e-05,6.28,2.16
-1.169e-05,6.28,2.16
-1.168e-05,6.28,2.24
-1.167e-05,6.28,2.2
-1.166e-05,6.28,2.2
-1.165e-05,6.32,2.2
-1.164e-05,6.28,2.2
-1.163e-05,6.28,2.24
-1.162e-05,6.28,2.24
-1.161e-05,6.28,2.24
-1.16e-05,6.28,2.2
-1.159e-05,6.32,2.2800000000000002
-1.1580000000000001e-05,6.28,2.2800000000000002
-1.1570000000000001e-05,6.32,2.24
-1.1560000000000001e-05,6.32,2.2800000000000002
-1.1550000000000001e-05,6.32,2.24
-1.1540000000000001e-05,6.32,2.2
-1.153e-05,6.32,2.2800000000000002
-1.1520000000000002e-05,6.32,2.2800000000000002
-1.151e-05,6.36,2.24
-1.15e-05,6.36,2.24
-1.149e-05,6.36,2.32
-1.148e-05,6.36,2.2800000000000002
-1.147e-05,6.36,2.32
-1.146e-05,6.32,2.2800000000000002
-1.145e-05,6.44,2.36
-1.144e-05,6.44,2.24
-1.143e-05,6.4,2.32
-1.142e-05,6.4,2.36
-1.1410000000000001e-05,6.36,2.36
-1.1400000000000001e-05,6.4,2.36
-1.1390000000000001e-05,6.44,2.32
-1.1380000000000001e-05,6.4,2.4
-1.1370000000000001e-05,6.44,2.32
-1.136e-05,6.44,2.36
-1.1350000000000001e-05,6.44,2.36
-1.134e-05,6.44,2.36
-1.133e-05,6.44,2.36
-1.132e-05,6.44,2.36
-1.131e-05,6.44,2.4
-1.13e-05,6.44,2.4
-1.129e-05,6.44,2.4
-1.128e-05,6.5200000000000005,2.36
-1.127e-05,6.44,2.4
-1.126e-05,6.48,2.4
-1.125e-05,6.5200000000000005,2.36
-1.124e-05,6.5200000000000005,2.44
-1.1230000000000001e-05,6.5200000000000005,2.4
-1.1220000000000001e-05,6.5200000000000005,2.44
-1.1210000000000001e-05,6.5200000000000005,2.44
-1.1200000000000001e-05,6.5200000000000005,2.44
-1.1190000000000001e-05,6.5200000000000005,2.44
-1.1180000000000001e-05,6.5200000000000005,2.44
-1.117e-05,6.5200000000000005,2.44
-1.116e-05,6.48,2.44
-1.115e-05,6.5600000000000005,2.48
-1.114e-05,6.5200000000000005,2.48
-1.113e-05,6.5600000000000005,2.48
-1.112e-05,6.5600000000000005,2.48
-1.111e-05,6.5600000000000005,2.48
-1.11e-05,6.5600000000000005,2.48
-1.109e-05,6.5600000000000005,2.52
-1.108e-05,6.5200000000000005,2.48
-1.107e-05,6.6000000000000005,2.48
-1.106e-05,6.6000000000000005,2.52
-1.1050000000000001e-05,6.5600000000000005,2.52
-1.1040000000000001e-05,6.5600000000000005,2.48
-1.1030000000000001e-05,6.6000000000000005,2.48
-1.1020000000000001e-05,6.5600000000000005,2.56
-1.1010000000000001e-05,6.640000000000001,2.52
-1.1e-05,6.68,2.56
-1.0990000000000002e-05,6.6000000000000005,2.52
-1.098e-05,6.640000000000001,2.52
-1.097e-05,6.640000000000001,2.56
-1.096e-05,6.640000000000001,2.56
-1.095e-05,6.640000000000001,2.56
-1.094e-05,6.640000000000001,2.56
-1.093e-05,6.640000000000001,2.6
-1.092e-05,6.68,2.64
-1.091e-05,6.68,2.52
-1.09e-05,6.68,2.6
-1.089e-05,6.72,2.6
-1.0880000000000001e-05,6.72,2.56
-1.0870000000000001e-05,6.68,2.6
-1.0860000000000001e-05,6.68,2.6
-1.0850000000000001e-05,6.72,2.6
-1.0840000000000001e-05,6.68,2.64
-1.083e-05,6.72,2.6
-1.0820000000000001e-05,6.72,2.6
-1.081e-05,6.68,2.6
-1.08e-05,6.72,2.6
-1.079e-05,6.72,2.6
-1.078e-05,6.72,2.64
-1.077e-05,6.68,2.68
-1.076e-05,6.72,2.64
-1.075e-05,6.68,2.6
-1.074e-05,6.68,2.64
-1.073e-05,6.76,2.68
-1.072e-05,6.76,2.68
-1.071e-05,6.72,2.64
-1.0700000000000001e-05,6.8,2.64
-1.0690000000000001e-05,6.76,2.68
-1.0680000000000001e-05,6.76,2.68
-1.0670000000000001e-05,6.8,2.68
-1.0660000000000001e-05,6.8,2.72
-1.0650000000000001e-05,6.76,2.68
-1.064e-05,6.76,2.72
-1.063e-05,6.8,2.72
-1.062e-05,6.84,2.72
-1.061e-05,6.84,2.72
-1.06e-05,6.84,2.72
-1.059e-05,6.76,2.72
-1.058e-05,6.84,2.72
-1.057e-05,6.84,2.72
-1.056e-05,6.8,2.72
-1.055e-05,6.88,2.7600000000000002
-1.054e-05,6.84,2.7600000000000002
-1.053e-05,6.84,2.8000000000000003
-1.0520000000000001e-05,6.88,2.8000000000000003
-1.0510000000000001e-05,6.88,2.7600000000000002
-1.0500000000000001e-05,6.84,2.8000000000000003
-1.049e-05,6.88,2.7600000000000002
-1.0480000000000001e-05,6.92,2.8000000000000003
-1.047e-05,6.92,2.84
-1.0460000000000001e-05,6.92,2.84
-1.045e-05,6.88,2.8000000000000003
-1.044e-05,6.88,2.8000000000000003
-1.043e-05,6.92,2.84
-1.042e-05,6.92,2.8000000000000003
-1.041e-05,6.88,2.84
-1.04e-05,6.92,2.84
-1.039e-05,6.88,2.84
-1.038e-05,6.92,2.84
-1.037e-05,6.96,2.84
-1.036e-05,6.92,2.88
-1.0350000000000001e-05,7.0,2.84
-1.0340000000000001e-05,6.96,2.84
-1.0330000000000001e-05,7.0,2.84
-1.0320000000000001e-05,6.96,2.84
-1.0310000000000001e-05,6.96,2.88
-1.03e-05,6.96,2.88
-1.0290000000000001e-05,6.96,2.92
-1.028e-05,6.96,2.92
-1.027e-05,6.96,2.88
-1.026e-05,7.0,2.88
-1.025e-05,7.0,2.88
-1.024e-05,7.0,2.92
-1.023e-05,7.0,2.88
-1.022e-05,6.96,2.92
-1.021e-05,7.04,2.92
-1.02e-05,7.0,2.96
-1.019e-05,7.04,2.92
-1.018e-05,7.04,2.96
-1.0170000000000001e-05,7.0,2.96
-1.0160000000000001e-05,7.04,2.96
-1.0150000000000001e-05,7.04,2.96
-1.0140000000000001e-05,7.04,2.96
-1.013e-05,7.08,2.96
-1.0120000000000001e-05,7.0,2.92
-1.011e-05,7.08,2.96
-1.0100000000000002e-05,7.04,3.0
-1.009e-05,7.04,2.96
-1.008e-05,7.12,2.96
-1.007e-05,7.08,3.0
-1.006e-05,7.08,3.0
-1.005e-05,7.08,3.0
-1.004e-05,7.16,3.0
-1.003e-05,7.04,3.0
-1.002e-05,7.12,3.0
-1.001e-05,7.12,3.04
-1e-05,7.12,3.04
-9.990000000000001e-06,7.12,3.04
-9.980000000000001e-06,7.16,3.04
-9.970000000000001e-06,7.12,3.04
-9.96e-06,7.16,3.08
-9.950000000000001e-06,7.16,3.04
-9.94e-06,7.16,3.04
-9.930000000000001e-06,7.16,3.04
-9.92e-06,7.16,3.04
-9.91e-06,7.16,3.04
-9.9e-06,7.2,3.04
-9.89e-06,7.2,3.08
-9.88e-06,7.16,3.04
-9.87e-06,7.2,3.04
-9.86e-06,7.2,3.04
