t,V_e,V_m
-2.5e-06,8.36,4.28
-2.498e-06,8.24,4.24
-2.4960000000000003e-06,8.2,4.28
-2.494e-06,8.0,4.28
-2.492e-06,7.76,4.32
-2.4900000000000003e-06,7.4,4.28
-2.488e-06,7.16,4.24
-2.486e-06,7.04,4.24
-2.4840000000000003e-06,6.84,4.2
-2.482e-06,6.8,4.2
-2.4800000000000004e-06,6.76,4.12
-2.4780000000000002e-06,6.640000000000001,4.08
-2.476e-06,6.5200000000000005,4.04
-2.4740000000000004e-06,6.44,3.96
-2.4720000000000002e-06,6.36,3.88
-2.47e-06,6.32,3.88
-2.4680000000000003e-06,6.24,3.8000000000000003
-2.466e-06,6.12,3.8000000000000003
-2.464e-06,6.04,3.72
-2.4620000000000003e-06,6.0,3.68
-2.46e-06,6.0,3.64
-2.458e-06,6.08,3.64
-2.4560000000000003e-06,6.08,3.6
-2.454e-06,6.12,3.48
-2.4520000000000004e-06,6.08,3.48
-2.4500000000000003e-06,6.08,3.4
-2.448e-06,6.08,3.36
-2.4460000000000004e-06,6.0,3.3200000000000003
-2.4440000000000002e-06,6.0,3.2800000000000002
-2.442e-06,6.0,3.24
-2.4400000000000004e-06,5.96,3.2
-2.438e-06,5.96,3.16
-2.436e-06,5.92,3.12
-2.4340000000000003e-06,5.92,3.12
-2.432e-06,5.92,3.12
-2.43e-06,5.88,3.08
-2.4280000000000003e-06,5.92,3.04
-2.426e-06,5.96,3.04
-2.424e-06,6.0,2.96
-2.4220000000000003e-06,5.92,2.96
-2.42e-06,5.96,2.92
-2.4180000000000004e-06,5.96,2.92
-2.4160000000000002e-06,5.96,2.84
-2.414e-06,5.96,2.8000000000000003
-2.4120000000000004e-06,5.96,2.7600000000000002
-2.4100000000000002e-06,5.92,2.8000000000000003
-2.408e-06,5.92,2.72
-2.4060000000000003e-06,5.96,2.72
-2.404e-06,5.96,2.72
-2.402e-06,6.0,2.72
-2.4000000000000003e-06,5.96,2.64
-2.398e-06,5.96,2.68
-2.396e-06,6.0,2.6
-2.3940000000000003e-06,6.0,2.6
-2.392e-06,5.96,2.56
-2.39e-06,5.92,2.56
-2.3880000000000003e-06,5.92,2.6
-2.386e-06,5.92,2.52
-2.3840000000000004e-06,5.92,2.56
-2.3820000000000002e-06,5.92,2.52
-2.38e-06,5.88,2.48
-2.3780000000000004e-06,5.92,2.48
-2.376e-06,5.92,2.44
-2.374e-06,5.96,2.48
-2.3720000000000003e-06,5.96,2.44
-2.37e-06,5.96,2.44
-2.368e-06,6.0,2.4
-2.3660000000000003e-06,5.96,2.4
-2.364e-06,5.96,2.36
-2.362e-06,5.96,2.36
-2.3600000000000003e-06,5.96,2.36
-2.358e-06,5.96,2.36
-2.356e-06,5.96,2.2800000000000002
-2.3540000000000002e-06,5.92,2.32
-2.352e-06,5.96,2.32
-2.3500000000000004e-06,5.92,2.32
-2.3480000000000002e-06,5.92,2.2800000000000002
-2.346e-06,5.96,2.24
-2.3440000000000003e-06,5.96,2.32
-2.342e-06,5.96,2.24
-2.34e-06,5.92,2.2800000000000002
-2.3380000000000003e-06,5.88,2.2800000000000002
-2.336e-06,5.88,2.24
-2.334e-06,5.88,2.24
-2.3320000000000003e-06,5.96,2.24
-2.33e-06,5.96,2.24
-2.3280000000000004e-06,5.88,2.2800000000000002
-2.3260000000000003e-06,5.92,2.16
-2.324e-06,5.96,2.16
-2.3220000000000004e-06,5.92,2.16
-2.3200000000000002e-06,5.96,2.2
-2.318e-06,5.96,2.2
-2.3160000000000004e-06,5.96,2.12
-2.314e-06,5.96,2.16
-2.312e-06,5.96,2.12
-2.3100000000000003e-06,5.96,2.12
-2.308e-06,5.92,2.16
-2.306e-06,5.92,2.08
-2.3040000000000003e-06,5.96,2.12
-2.302e-06,5.92,2.08
-2.3e-06,5.88,2.08
-2.2980000000000003e-06,5.96,2.08
-2.296e-06,5.92,2.12
-2.2940000000000004e-06,5.96,2.08
-2.2920000000000002e-06,5.92,2.12
-2.29e-06,5.88,2.08
-2.2880000000000004e-06,5.92,2.08
-2.2860000000000002e-06,5.88,2.08
-2.284e-06,5.92,2.08
-2.2820000000000003e-06,5.88,2.08
-2.28e-06,5.92,2.04
-2.278e-06,5.84,2.08
-2.2760000000000003e-06,5.92,2.04
-2.274e-06,5.92,2.0
-2.272e-06,5.96,2.08
-2.2700000000000003e-06,5.96,2.04
-2.268e-06,5.92,2.04
-2.266e-06,5.96,2.04
-2.2640000000000003e-06,5.96,2.04
-2.262e-06,5.96,2.08
-2.2600000000000004e-06,6.0,2.0
-2.2580000000000002e-06,5.92,2.08
-2.256e-06,5.96,1.96
-2.2540000000000004e-06,5.92,2.0
-2.252e-06,5.88,2.04
-2.25e-06,5.96,2.0
-2.2480000000000003e-06,5.88,2.0
-2.246e-06,5.92,2.0
-2.244e-06,5.92,2.04
-2.2420000000000003e-06,5.88,2.04
-2.24e-06,5.96,2.04
