t,V_m,V_e
-1.25e-05,24.400000000000002,4.4
-1.249e-05,24.400000000000002,4.4
-1.248e-05,24.400000000000002,4.4
-1.2470000000000001e-05,24.6,4.4
-1.2460000000000001e-05,24.6,4.6000000000000005
-1.2450000000000001e-05,24.8,4.4
-1.2440000000000001e-05,25.0,4.6000000000000005
-1.2430000000000001e-05,24.8,4.4
-1.2420000000000001e-05,24.8,4.4
-1.241e-05,24.8,4.4
-1.24e-05,25.200000000000003,4.4
-1.239e-05,25.0,4.6000000000000005
-1.238e-05,25.0,4.6000000000000005
-1.237e-05,24.8,4.4
-1.236e-05,25.200000000000003,4.6000000000000005
-1.235e-05,25.200000000000003,4.6000000000000005
-1.234e-05,25.0,4.6000000000000005
-1.233e-05,25.200000000000003,4.4
-1.232e-05,25.400000000000002,4.4
-1.231e-05,25.400000000000002,4.6000000000000005
-1.23e-05,25.200000000000003,4.6000000000000005
-1.2290000000000001e-05,25.6,4.6000000000000005
-1.2280000000000001e-05,25.200000000000003,4.800000000000001
-1.2270000000000001e-05,25.400000000000002,4.6000000000000005
-1.2260000000000001e-05,25.6,4.6000000000000005
-1.2250000000000001e-05,25.400000000000002,4.6000000000000005
-1.2240000000000001e-05,25.400000000000002,4.800000000000001
-1.223e-05,25.400000000000002,4.800000000000001
-1.222e-05,25.400000000000002,4.6000000000000005
-1.221e-05,25.6,4.800000000000001
-1.22e-05,25.6,4.6000000000000005
-1.219e-05,25.6,4.800000000000001
-1.218e-05,26.0,4.800000000000001
-1.217e-05,25.6,4.800000000000001
-1.216e-05,26.0,4.800000000000001
-1.215e-05,25.8,4.800000000000001
-1.214e-05,25.8,4.800000000000001
-1.213e-05,25.8,5.0
-1.2120000000000001e-05,26.0,4.800000000000001
-1.2110000000000001e-05,26.200000000000003,4.800000000000001
-1.2100000000000001e-05,26.0,4.800000000000001
-1.2090000000000001e-05,25.6,5.0
-1.2080000000000001e-05,26.0,4.800000000000001
-1.2070000000000001e-05,25.8,5.2
-1.206e-05,26.200000000000003,4.800000000000001
-1.205e-05,26.200000000000003,5.0
-1.204e-05,26.200000000000003,4.800000000000001
-1.203e-05,26.200000000000003,5.0
-1.202e-05,26.0,5.0
-1.201e-05,26.400000000000002,4.800000000000001
-1.2e-05,26.200000000000003,5.0
-1.199e-05,26.200000000000003,5.0
-1.198e-05,26.400000000000002,5.0
-1.197e-05,26.200000000000003,5.0
-1.196e-05,26.200000000000003,5.0
-1.195e-05,26.200000000000003,5.2
-1.1940000000000001e-05,26.400000000000002,5.0
-1.1930000000000001e-05,26.400000000000002,5.2
-1.1920000000000001e-05,26.400000000000002,5.0
-1.1910000000000001e-05,26.400000000000002,5.0
-1.1900000000000001e-05,26.200000000000003,5.0
-1.1890000000000001e-05,26.400000000000002,4.800000000000001
-1.1880000000000001e-05,26.400000000000002,5.0
-1.187e-05,26.400000000000002,5.0
-1.186e-05,26.400000000000002,5.2
-1.185e-05,26.6,5.0
-1.184e-05,26.400000000000002,5.0
-1.183e-05,26.6,5.0
-1.182e-05,26.6,5.0
-1.181e-05,26.8,4.800000000000001
-1.18e-05,26.6,4.800000000000001
