t,V_m,V_e
-5.2e-05,-3.2,0.0
-5.18e-05,-3.2,0.0
-5.1599999999999994e-05,-3.2,0.0
-5.1399999999999996e-05,-3.2,-0.08
-5.12e-05,-3.2,0.0
-5.1e-05,-3.12,0.08
-5.0799999999999995e-05,-3.12,-0.08
-5.06e-05,-3.2,0.0
-5.04e-05,-3.04,0.0
-5.0199999999999994e-05,-3.2,0.0
-4.9999999999999996e-05,-3.2,0.0
-4.98e-05,-3.12,-0.08
-4.96e-05,-3.04,-0.08
-4.9399999999999995e-05,-3.04,0.0
-4.9199999999999997e-05,-3.2800000000000002,0.0
-4.9e-05,-3.12,-0.08
-4.8799999999999994e-05,-3.12,0.08
-4.8599999999999995e-05,-3.04,0.0
-4.84e-05,-3.04,0.0
-4.82e-05,-3.12,-0.08
-4.7999999999999994e-05,-3.04,0.0
-4.7799999999999996e-05,-3.04,0.0
-4.76e-05,-3.12,0.0
-4.74e-05,-3.12,0.0
-4.7199999999999995e-05,-3.12,-0.08
-4.7e-05,-2.96,-0.08
-4.68e-05,-3.12,0.0
-4.6599999999999994e-05,-3.04,0.0
-4.6399999999999996e-05,-2.96,0.0
-4.62e-05,-2.96,-0.08
-4.599999999999999e-05,-3.04,0.0
-4.5799999999999995e-05,-3.04,0.0
-4.56e-05,-3.04,0.08
-4.54e-05,-2.96,0.0
-4.52e-05,-2.96,0.0
-4.4999999999999996e-05,-3.04,0.0
-4.48e-05,-2.96,0.08
-4.46e-05,-3.12,-0.08
-4.4399999999999995e-05,-3.04,0.0
-4.42e-05,-3.04,0.0
-4.4e-05,-2.88,-0.08
-4.3799999999999994e-05,-2.96,-0.08
-4.3599999999999996e-05,-2.96,0.08
-4.34e-05,-2.96,0.0
-4.319999999999999e-05,-2.96,0.0
-4.2999999999999995e-05,-2.88,0.08
-4.28e-05,-2.96,0.0
-4.26e-05,-2.96,0.08
-4.24e-05,-2.96,0.08
-4.2199999999999996e-05,-3.04,0.0
-4.2e-05,-2.88,0.08
-4.18e-05,-2.96,0.08
-4.1599999999999995e-05,-2.88,-0.08
-4.14e-05,-2.88,0.0
-4.12e-05,-2.8000000000000003,0.0
-4.0999999999999994e-05,-2.96,0.0
-4.0799999999999996e-05,-2.8000000000000003,-0.08
-4.06e-05,-2.88,-0.08
-4.04e-05,-2.8000000000000003,0.0
-4.02e-05,-2.88,0.0
-3.9999999999999996e-05,-2.88,0.08
-3.98e-05,-2.88,0.0
-3.96e-05,-2.72,0.0
-3.9399999999999995e-05,-2.8000000000000003,0.0
-3.92e-05,-2.8000000000000003,0.0
-3.9e-05,-2.88,0.0
-3.8799999999999994e-05,-2.88,0.08
-3.8599999999999996e-05,-2.88,0.0
-3.84e-05,-2.72,0.0
-3.8199999999999993e-05,-2.8000000000000003,-0.08
-3.7999999999999995e-05,-2.8000000000000003,0.0
-3.78e-05,-2.8000000000000003,0.0
-3.76e-05,-2.8000000000000003,0.0
-3.74e-05,-2.88,0.0
-3.7199999999999996e-05,-2.8000000000000003,0.0
-3.7e-05,-2.8000000000000003,0.0
-3.68e-05,-2.8000000000000003,0.0
-3.6599999999999995e-05,-2.72,-0.08
-3.64e-05,-2.8000000000000003,0.0
-3.62e-05,-2.72,-0.08
-3.5999999999999994e-05,-2.8000000000000003,0.0
-3.5799999999999996e-05,-2.72,0.08
-3.56e-05,-2.56,0.0
-3.539999999999999e-05,-2.8000000000000003,0.0
-3.52e-05,-2.72,-0.08
-3.5e-05,-2.72,0.08
-3.48e-05,-2.72,0.0
-3.46e-05,-2.72,-0.08
-3.4399999999999996e-05,-2.72,0.08
-3.42e-05,-2.72,0.0
-3.4e-05,-2.8000000000000003,-0.08
-3.3799999999999995e-05,-2.64,0.0
-3.36e-05,-2.72,0.0
-3.34e-05,-2.72,0.0
-3.3199999999999994e-05,-2.72,0.0
-3.3e-05,-2.64,0.08
-3.28e-05,-2.8000000000000003,0.0
-3.259999999999999e-05,-2.72,0.0
-3.24e-05,-2.64,0.08
-3.22e-05,-2.56,0.0
-3.2e-05,-2.72,0.0
-3.18e-05,-2.64,-0.08
-3.1599999999999996e-05,-2.64,-0.08
-3.14e-05,-2.64,0.0
-3.12e-05,-2.64,0.0
-3.0999999999999995e-05,-2.64,0.0
-3.0799999999999996e-05,-2.64,0.08
-3.06e-05,-2.48,-0.08
-3.0399999999999997e-05,-2.64,0.0
-3.02e-05,-2.64,0.0
-2.9999999999999997e-05,-2.64,0.08
-2.98e-05,-2.56,0.0
-2.9599999999999998e-05,-2.64,0.08
-2.9399999999999996e-05,-2.64,0.0
-2.9199999999999998e-05,-2.48,0.0
-2.8999999999999997e-05,-2.64,0.0
-2.88e-05,-2.56,-0.08
-2.8599999999999997e-05,-2.56,0.0
-2.84e-05,-2.64,0.0
-2.8199999999999998e-05,-2.56,0.0
-2.7999999999999996e-05,-2.56,0.08
-2.7799999999999998e-05,-2.56,0.0
-2.7599999999999997e-05,-2.56,0.0
-2.74e-05,-2.64,0.0
-2.7199999999999997e-05,-2.56,-0.08
-2.7e-05,-2.64,0.08
-2.6799999999999998e-05,-2.56,0.0
-2.66e-05,-2.48,0.0
-2.6399999999999998e-05,-2.56,0.0
-2.6199999999999996e-05,-2.56,0.08
-2.6e-05,-2.56,0.08
-2.5799999999999997e-05,-2.56,0.08
-2.56e-05,-2.56,0.0
-2.5399999999999997e-05,-2.4,0.0
-2.52e-05,-2.56,0.08
-2.4999999999999998e-05,-2.48,-0.08
-2.48e-05,-2.56,-0.08
-2.4599999999999998e-05,-2.56,0.08
-2.4399999999999997e-05,-2.56,0.08
-2.42e-05,-2.56,0.0
-2.3999999999999997e-05,-2.48,0.0
-2.38e-05,-2.56,0.16
-2.3599999999999998e-05,-2.48,0.08
-2.34e-05,-2.48,0.08
-2.3199999999999998e-05,-2.48,0.0
-2.2999999999999997e-05,-2.48,0.0
-2.28e-05,-2.48,0.16
-2.2599999999999997e-05,-2.48,0.08
-2.24e-05,-2.64,0.08
-2.2199999999999998e-05,-2.56,0.08
-2.2e-05,-2.4,0.08
-2.1799999999999998e-05,-2.48,0.16
-2.1599999999999996e-05,-2.4,0.0
-2.14e-05,-2.4,0.0
-2.12e-05,-2.48,0.08
-2.0999999999999995e-05,-2.48,0.0
-2.0799999999999997e-05,-2.48,0.08
-2.06e-05,-2.48,0.08
-2.04e-05,-2.48,0.16
-2.0199999999999996e-05,-2.56,0.08
-1.9999999999999998e-05,-2.4,0.08
-1.98e-05,-2.48,0.16
-1.9599999999999995e-05,-2.48,0.08
-1.9399999999999997e-05,-2.4,0.0
-1.92e-05,-2.48,0.16
-1.9e-05,-2.4,0.08
-1.8799999999999996e-05,-2.4,0.08
-1.8599999999999998e-05,-2.48,0.08
-1.84e-05,-2.48,0.0
-1.8199999999999995e-05,-2.48,0.0
