t,V_m,V_e
-4.8e-06,0.72,4.88
-4.7959999999999995e-06,0.72,4.96
-4.792e-06,0.72,4.96
-4.788e-06,0.88,5.04
-4.7839999999999994e-06,0.88,4.96
-4.78e-06,0.8,4.96
-4.776e-06,0.8,4.96
-4.771999999999999e-06,0.88,4.96
-4.768e-06,0.8,4.96
-4.764e-06,0.8,4.96
-4.76e-06,0.8,4.96
-4.756e-06,0.8,4.88
-4.7519999999999996e-06,0.88,4.96
-4.748e-06,0.88,4.96
-4.744e-06,0.8,4.96
-4.7399999999999995e-06,0.8,4.96
-4.736e-06,0.88,4.88
-4.732e-06,0.88,4.96
-4.7279999999999995e-06,0.96,4.96
-4.724e-06,0.88,5.04
-4.72e-06,0.8,5.04
-4.715999999999999e-06,0.88,4.88
-4.712e-06,0.88,4.96
-4.708e-06,0.96,5.04
-4.703999999999999e-06,0.88,4.88
-4.7e-06,0.8,4.88
-4.696e-06,0.88,4.88
-4.692e-06,0.88,4.96
-4.688e-06,0.88,5.04
-4.6839999999999995e-06,0.96,4.96
-4.68e-06,0.96,4.88
-4.676e-06,0.96,4.96
-4.6719999999999995e-06,0.88,5.04
-4.668e-06,0.88,4.96
-4.664e-06,0.88,4.96
-4.6599999999999994e-06,0.88,4.96
-4.656e-06,0.88,4.88
-4.652e-06,0.88,4.96
-4.647999999999999e-06,0.88,4.96
-4.644e-06,0.88,4.96
-4.64e-06,0.88,4.96
-4.636e-06,0.96,4.96
-4.632e-06,0.96,4.96
-4.6279999999999996e-06,0.88,4.88
-4.624e-06,0.96,4.88
-4.62e-06,0.88,4.96
-4.6159999999999995e-06,0.88,5.04
-4.612e-06,0.96,4.96
-4.608e-06,0.88,5.04
-4.6039999999999995e-06,0.96,4.88
-4.6e-06,0.88,4.88
-4.596e-06,0.96,4.96
-4.591999999999999e-06,0.88,4.96
-4.588e-06,0.8,4.96
-4.584e-06,0.88,4.88
-4.58e-06,0.88,4.96
-4.576e-06,0.88,4.96
-4.572e-06,0.8,4.88
-4.568e-06,0.88,4.96
-4.564e-06,0.8,4.88
-4.5599999999999995e-06,0.88,4.96
-4.556e-06,0.88,4.96
-4.552e-06,0.88,4.88
-4.5479999999999995e-06,0.88,5.04
-4.544e-06,0.88,4.96
-4.54e-06,0.8,4.96
-4.5359999999999994e-06,0.88,4.96
-4.532e-06,0.8,4.88
-4.528e-06,0.88,4.96
-4.523999999999999e-06,0.8,4.96
-4.52e-06,0.8,4.96
-4.516e-06,0.8,4.88
-4.512e-06,0.88,4.96
-4.508e-06,0.8,4.96
-4.5039999999999996e-06,0.88,4.96
-4.5e-06,0.8,4.96
-4.496e-06,0.8,4.96
-4.4919999999999995e-06,0.8,4.96
-4.488e-06,0.72,4.96
-4.484e-06,0.88,4.96
-4.4799999999999995e-06,0.72,4.96
-4.476e-06,0.8,4.96
-4.472e-06,0.8,4.96
-4.467999999999999e-06,0.72,4.88
-4.464e-06,0.72,4.96
-4.46e-06,0.8,5.04
-4.455999999999999e-06,0.72,4.88
-4.452e-06,0.72,4.96
-4.448e-06,0.72,4.88
-4.444e-06,0.72,4.96
-4.44e-06,0.8,4.96
-4.4359999999999995e-06,0.72,4.96
-4.432e-06,0.72,4.96
-4.428e-06,0.72,4.96
-4.4239999999999995e-06,0.56,4.96
-4.42e-06,0.64,4.88
-4.416e-06,0.72,4.88
-4.4119999999999994e-06,0.72,4.96
-4.408e-06,0.64,4.96
-4.404e-06,0.56,4.96
-4.399999999999999e-06,0.64,5.04
-4.396e-06,0.64,4.88
-4.392e-06,0.64,4.96
-4.387999999999999e-06,0.64,4.96
-4.384e-06,0.64,4.88
-4.3799999999999996e-06,0.56,4.96
-4.376e-06,0.56,4.96
-4.372e-06,0.64,4.96
-4.3679999999999995e-06,0.56,4.96
-4.364e-06,0.56,4.96
-4.36e-06,0.56,4.88
-4.3559999999999995e-06,0.56,4.88
-4.352e-06,0.56,4.96
-4.348e-06,0.48,4.96
-4.343999999999999e-06,0.56,4.96
-4.34e-06,0.48,4.88
-4.336e-06,0.48,4.96
-4.332e-06,0.56,4.96
-4.328e-06,0.56,5.04
-4.324e-06,0.56,4.96
-4.319999999999999e-06,0.56,4.96
-4.316e-06,0.48,4.88
-4.3119999999999995e-06,0.48,4.96
-4.308e-06,0.48,4.96
-4.304e-06,0.56,4.96
-4.2999999999999995e-06,0.4,4.88
-4.296e-06,0.4,4.96
-4.292e-06,0.48,4.96
-4.2879999999999994e-06,0.4,5.04
-4.284e-06,0.48,4.96
-4.28e-06,0.48,4.88
-4.275999999999999e-06,0.4,4.96
-4.272e-06,0.48,4.88
-4.268e-06,0.48,4.96
-4.264e-06,0.4,4.88
-4.26e-06,0.4,4.88
-4.2559999999999996e-06,0.4,4.88
-4.252e-06,0.32,4.8
-4.248e-06,0.24,4.96
-4.2439999999999995e-06,0.48,4.96
-4.24e-06,0.32,4.88
-4.236e-06,0.4,4.88
-4.2319999999999995e-06,0.32,5.04
-4.228e-06,0.32,4.88
-4.224e-06,0.32,4.96
-4.219999999999999e-06,0.32,4.96
-4.216e-06,0.24,5.04
-4.212e-06,0.32,4.96
-4.207999999999999e-06,0.32,5.04
-4.204e-06,0.32,4.96
-4.2e-06,0.24,4.96
-4.196e-06,0.24,4.88
-4.192e-06,0.24,4.96
-4.1879999999999995e-06,0.32,4.96
-4.184e-06,0.24,4.96
-4.18e-06,0.32,4.96
-4.1759999999999995e-06,0.32,4.88
-4.172e-06,0.32,4.88
-4.168e-06,0.24,4.96
-4.1639999999999994e-06,0.24,4.96
-4.16e-06,0.16,4.96
-4.156e-06,0.24,4.96
-4.151999999999999e-06,0.24,5.04
-4.148e-06,0.24,4.96
-4.144e-06,0.24,5.04
-4.139999999999999e-06,0.16,4.96
-4.136e-06,0.24,4.96
-4.1319999999999996e-06,0.16,4.96
-4.128e-06,0.16,4.96
-4.124e-06,0.16,4.96
-4.1199999999999995e-06,0.24,4.96
-4.116e-06,0.24,4.96
-4.112e-06,0.16,5.04
-4.1079999999999995e-06,0.16,4.88
-4.104e-06,0.16,4.88
-4.1e-06,0.16,4.96
-4.095999999999999e-06,0.16,4.96
-4.092e-06,0.16,4.88
-4.088e-06,0.16,4.96
-4.084e-06,0.16,4.96
-4.08e-06,0.16,4.96
-4.076e-06,0.08,4.96
-4.071999999999999e-06,0.08,4.96
-4.068e-06,0.08,4.88
-4.0639999999999995e-06,0.16,4.88
-4.06e-06,0.16,4.96
-4.056e-06,0.08,4.96
-4.0519999999999995e-06,0.08,4.96
-4.048e-06,0.0,4.88
-4.044e-06,0.08,4.96
-4.0399999999999994e-06,0.08,4.88
-4.036e-06,0.0,4.96
-4.032e-06,0.08,4.96
-4.027999999999999e-06,0.08,4.96
-4.024e-06,0.0,4.96
-4.02e-06,0.08,4.96
-4.016e-06,0.08,4.96
-4.012e-06,0.0,4.96
-4.0079999999999996e-06,0.0,4.88
-4.003999999999999e-06,0.08,4.96
-4e-06,0.16,4.96
-3.9959999999999995e-06,0.08,4.96
-3.992e-06,0.08,4.96
-3.988e-06,0.0,4.96
-3.9839999999999995e-06,0.0,4.96
-3.98e-06,0.0,4.96
-3.976e-06,0.0,4.96
-3.971999999999999e-06,0.0,5.04
-3.968e-06,0.0,4.88
-3.964e-06,0.0,4.96
-3.959999999999999e-06,0.0,4.88
-3.956e-06,0.0,4.96
-3.952e-06,0.0,4.96
-3.948e-06,0.0,4.96
-3.944e-06,0.0,4.96
-3.9399999999999995e-06,0.0,4.96
-3.936e-06,-0.08,4.96
-3.932e-06,0.0,4.96
-3.9279999999999995e-06,-0.08,4.96
-3.924e-06,0.0,4.96
-3.92e-06,0.0,4.96
-3.9159999999999994e-06,0.0,4.96
-3.912e-06,0.0,4.96
-3.908e-06,-0.08,4.96
-3.903999999999999e-06,0.0,4.96
-3.9e-06,0.0,4.96
-3.896e-06,-0.08,4.88
-3.891999999999999e-06,-0.08,4.88
-3.888e-06,-0.08,4.96
-3.8839999999999996e-06,0.0,4.96
-3.88e-06,-0.08,4.96
-3.876e-06,-0.08,4.96
-3.8719999999999995e-06,-0.08,4.96
-3.868e-06,0.0,4.96
-3.864e-06,0.0,5.04
-3.8599999999999995e-06,0.0,4.88
-3.856e-06,-0.08,4.88
-3.852e-06,0.0,4.88
-3.847999999999999e-06,-0.08,4.96
-3.844e-06,0.0,4.96
-3.84e-06,-0.08,4.96
-3.836e-06,-0.08,4.96
-3.832e-06,-0.08,4.88
-3.828e-06,-0.08,4.96
-3.823999999999999e-06,-0.08,4.96
-3.82e-06,-0.16,4.96
-3.8159999999999995e-06,-0.08,4.96
-3.8119999999999997e-06,-0.08,4.96
-3.808e-06,-0.16,4.88
-3.8039999999999995e-06,-0.16,4.96
-3.7999999999999996e-06,-0.16,4.88
-3.7959999999999997e-06,-0.08,4.96
-3.7919999999999994e-06,-0.08,4.96
-3.788e-06,-0.08,4.96
-3.7839999999999997e-06,0.0,4.96
-3.78e-06,0.0,4.88
-3.776e-06,-0.08,4.96
-3.7719999999999996e-06,-0.16,4.96
-3.7679999999999998e-06,-0.16,5.04
-3.764e-06,-0.08,4.96
-3.7599999999999996e-06,-0.08,4.96
-3.7559999999999997e-06,-0.08,4.96
-3.752e-06,0.0,4.96
-3.7479999999999995e-06,-0.08,4.88
-3.7439999999999996e-06,-0.08,4.96
-3.7399999999999998e-06,0.0,4.96
-3.7359999999999995e-06,-0.08,5.04
-3.732e-06,-0.08,4.88
-3.7279999999999997e-06,-0.08,4.96
-3.7239999999999994e-06,0.0,4.96
-3.72e-06,-0.16,4.96
-3.7159999999999997e-06,-0.08,4.88
-3.7119999999999998e-06,-0.08,4.88
-3.708e-06,0.0,4.96
-3.7039999999999996e-06,0.0,4.96
-3.6999999999999997e-06,0.0,4.96
-3.696e-06,-0.08,4.96
-3.6919999999999995e-06,-0.16,4.96
-3.6879999999999997e-06,0.0,4.96
-3.684e-06,-0.08,4.88
-3.6799999999999995e-06,-0.08,4.88
-3.6759999999999996e-06,-0.16,4.96
-3.6719999999999997e-06,-0.16,4.88
-3.6679999999999994e-06,-0.16,5.04
-3.664e-06,-0.08,4.96
-3.6599999999999997e-06,-0.08,4.88
-3.656e-06,-0.08,4.88
-3.652e-06,-0.08,4.96
-3.6479999999999996e-06,0.0,4.96
-3.6439999999999998e-06,0.0,4.96
-3.64e-06,0.0,4.96
-3.6359999999999996e-06,-0.08,4.96
-3.6319999999999997e-06,0.0,4.88
-3.628e-06,-0.08,4.96
-3.6239999999999995e-06,-0.08,4.96
-3.6199999999999996e-06,-0.08,4.96
-3.6159999999999998e-06,-0.08,4.96
-3.6119999999999995e-06,0.0,4.96
-3.608e-06,-0.08,4.88
-3.6039999999999997e-06,0.0,5.04
-3.5999999999999994e-06,0.0,4.96
-3.596e-06,0.0,4.88
-3.5919999999999997e-06,0.0,4.88
-3.5879999999999998e-06,0.0,4.96
-3.584e-06,-0.08,4.88
-3.5799999999999996e-06,0.0,4.96
-3.5759999999999997e-06,0.08,4.96
-3.572e-06,0.0,4.96
-3.5679999999999996e-06,0.0,4.88
-3.5639999999999997e-06,-0.08,4.96
-3.56e-06,0.08,4.96
-3.5559999999999995e-06,0.0,4.96
-3.5519999999999996e-06,0.0,4.96
-3.5479999999999997e-06,0.0,4.96
-3.5439999999999994e-06,0.08,4.96
-3.54e-06,0.08,4.88
-3.5359999999999997e-06,0.08,4.88
-3.5319999999999994e-06,0.08,4.96
-3.528e-06,0.08,4.96
-3.5239999999999996e-06,0.0,4.88
-3.5199999999999998e-06,0.0,4.88
-3.516e-06,0.0,4.96
-3.5119999999999996e-06,-0.08,5.04
-3.5079999999999997e-06,0.08,4.96
-3.504e-06,0.08,4.96
-3.4999999999999995e-06,0.08,4.96
-3.4959999999999996e-06,0.08,4.96
-3.4919999999999998e-06,0.0,4.88
-3.4879999999999995e-06,0.0,4.96
-3.484e-06,-0.08,4.96
-3.4799999999999997e-06,0.0,4.96
-3.4759999999999994e-06,0.0,4.96
