t,V_m,V_e
-0.005,0.4,2.64
-0.0049960000000000004,0.4,2.64
-0.004992,0.4,2.64
-0.004988,0.4,2.64
-0.004984,0.4,2.64
-0.00498,0.4,2.64
-0.004976,0.4,2.64
-0.004972,0.4,2.64
-0.004968,0.4,2.64
-0.0049640000000000005,0.4,2.64
-0.00496,0.4,2.64
-0.004956,0.2,2.64
-0.004952,0.4,2.64
-0.004948,0.2,2.64
-0.0049440000000000005,0.4,2.64
-0.00494,0.2,2.64
-0.004936,0.2,2.64
-0.004932,0.4,2.64
-0.004928,0.2,2.64
-0.004924,0.2,2.64
-0.00492,0.2,2.64
-0.004916,0.2,2.64
-0.004912,0.2,2.64
-0.004908,0.2,2.64
-0.004904,0.2,2.64
-0.0049,0.2,2.64
-0.004896,0.2,2.64
-0.0048920000000000005,0.2,2.64
-0.004888,0.2,2.56
-0.004884,0.2,2.64
-0.00488,0.2,2.64
-0.004876,0.2,2.72
-0.0048720000000000005,0.2,2.64
-0.004868,0.2,2.64
-0.004864,0.2,2.64
-0.00486,0.2,2.64
-0.004856,0.2,2.64
-0.004852,0.2,2.64
-0.004848,0.2,2.64
-0.004844,0.2,2.64
-0.0048400000000000006,0.2,2.64
-0.004836,0.2,2.64
-0.004832,0.2,2.64
-0.004828,0.2,2.64
-0.004824,0.2,2.64
-0.0048200000000000005,0.2,2.64
-0.004816,0.2,2.64
-0.004812,0.2,2.64
-0.004808,0.2,2.64
-0.004804,0.2,2.64
-0.0048000000000000004,0.2,2.64
-0.004796,0.2,2.64
-0.004792,0.2,2.64
-0.004788,0.2,2.64
-0.004784,0.2,2.64
-0.00478,0.2,2.64
-0.004776,0.2,2.64
-0.004772,0.2,2.64
-0.004768,0.2,2.64
-0.004764,0.2,2.64
-0.00476,0.2,2.64
-0.004756,0.2,2.64
-0.004752,0.0,2.64
-0.0047480000000000005,0.2,2.64
-0.004744,0.2,2.64
-0.00474,0.2,2.64
-0.004736,0.2,2.64
-0.004732,0.2,2.56
-0.004728,0.2,2.64
-0.004724,0.2,2.64
-0.00472,0.2,2.64
-0.004716,0.2,2.64
-0.004712,0.2,2.64
-0.004708,0.2,2.64
-0.004704,0.2,2.64
-0.0047,0.2,2.64
-0.0046960000000000005,0.2,2.64
-0.004692,0.2,2.64
-0.004688,0.0,2.64
-0.004684,0.2,2.64
-0.00468,0.2,2.64
-0.0046760000000000005,0.2,2.64
-0.004672,0.2,2.64
-0.004668,0.2,2.64
-0.004664,0.2,2.64
-0.00466,0.2,2.64
-0.004656,0.2,2.64
-0.004652,0.2,2.64
-0.004648,0.2,2.64
-0.0046440000000000006,0.2,2.64
-0.00464,0.2,2.64
-0.004636,0.2,2.64
-0.004632,0.2,2.64
-0.004628,0.2,2.64
-0.0046240000000000005,0.2,2.56
-0.00462,0.2,2.64
-0.004616,0.2,2.64
-0.004612,0.2,2.64
-0.004608,0.2,2.64
-0.0046040000000000005,0.0,2.64
-0.0046,0.2,2.64
-0.004596,0.2,2.64
-0.004592,0.2,2.64
-0.004588,0.2,2.64
-0.004584,0.2,2.64
-0.00458,0.2,2.64
-0.004576,0.2,2.64
-0.004572,0.2,2.64
-0.004568,0.0,2.64
-0.004564,0.2,2.64
-0.00456,0.2,2.64
-0.004556,0.2,2.64
-0.0045520000000000005,0.2,2.64
-0.004548,0.2,2.64
-0.004544,0.2,2.64
-0.00454,0.2,2.64
-0.004536,0.2,2.64
-0.0045320000000000004,0.2,2.64
-0.004528,0.2,2.64
-0.004524,0.2,2.64
-0.00452,0.2,2.64
-0.004516,0.2,2.64
-0.004512,0.2,2.64
-0.004508,0.2,2.64
-0.004504,0.2,2.64
-0.0045000000000000005,0.0,2.64
-0.004496,0.2,2.64
-0.004492,0.2,2.64
-0.004488,0.0,2.64
-0.004484,0.2,2.64
-0.0044800000000000005,0.2,2.64
-0.004476,0.2,2.64
-0.004472,0.2,2.64
-0.004468,0.2,2.64
-0.004464,0.2,2.64
-0.00446,0.2,2.64
-0.004456,0.2,2.64
-0.004452,0.2,2.64
-0.0044480000000000006,0.2,2.72
-0.004444,0.2,2.64
-0.00444,0.0,2.56
-0.004436,0.2,2.64
-0.004432,0.2,2.64
-0.004428,0.2,2.64
-0.004424,0.2,2.64
-0.00442,0.2,2.64
-0.004416,0.2,2.64
-0.004412,0.2,2.64
-0.0044080000000000005,0.2,2.64
-0.004404,0.2,2.64
-0.0044,0.2,2.64
-0.004396000000000001,0.2,2.64
-0.004392,0.2,2.64
-0.004388,0.2,2.64
-0.004384,0.2,2.64
-0.00438,0.0,2.64
-0.004376,0.2,2.64
-0.004372,0.2,2.64
-0.004368,0.2,2.64
-0.004364,0.2,2.64
-0.00436,0.2,2.64
-0.0043560000000000005,0.2,2.64
-0.004352,0.2,2.64
-0.004348,0.2,2.64
-0.004344,0.2,2.64
-0.00434,0.0,2.64
-0.0043360000000000004,0.0,2.64
-0.004332,0.0,2.64
-0.004328,0.2,2.64
-0.004324,0.0,2.64
-0.00432,0.2,2.64
-0.004316,0.2,2.64
-0.004312,0.2,2.64
-0.004308,0.2,2.56
-0.0043040000000000005,0.2,2.64
-0.0043,0.2,2.64
-0.004296,0.2,2.64
-0.004292,0.0,2.64
-0.004288,0.2,2.64
-0.0042840000000000005,0.2,2.56
-0.00428,0.2,2.64
-0.004276,0.2,2.64
-0.004272,0.2,2.64
-0.004268,0.2,2.64
-0.004264,0.2,2.64
-0.00426,0.2,2.64
-0.004256,0.2,2.64
-0.004252000000000001,0.0,2.64
-0.004248,0.2,2.64
-0.004244,0.2,2.64
-0.00424,0.2,2.64
-0.004236,0.2,2.64
-0.004232,0.2,2.64
-0.004228,0.2,2.64
-0.004224,0.0,2.64
-0.00422,0.2,2.64
-0.004216,0.2,2.64
-0.0042120000000000005,0.2,2.64
-0.004208,0.2,2.64
-0.004204,0.2,2.64
-0.004200000000000001,0.2,2.64
-0.004196,0.2,2.64
-0.004192,0.2,2.64
-0.004188,0.2,2.64
-0.004184,0.2,2.64
-0.00418,0.2,2.64
-0.004176,0.2,2.64
-0.004172,0.2,2.64
-0.004168,0.2,2.64
-0.004164,0.2,2.64
-0.0041600000000000005,0.2,2.64
-0.004156,0.2,2.64
-0.004152,0.2,2.64
-0.004148,0.2,2.64
-0.004144,0.2,2.64
-0.0041400000000000005,0.2,2.64
-0.004136,0.2,2.64
-0.004132,0.2,2.64
-0.004128,0.2,2.64
-0.004124,0.2,2.64
-0.00412,0.2,2.64
-0.004116,0.2,2.64
-0.004112,0.2,2.64
-0.0041080000000000005,0.2,2.64
-0.004104,0.2,2.64
-0.0041,0.0,2.64
-0.004096,0.2,2.64
-0.004092,0.2,2.64
-0.0040880000000000005,0.2,2.64
-0.004084,0.2,2.64
-0.00408,0.0,2.64
-0.004076,0.2,2.64
-0.004072,0.2,2.64
-0.0040680000000000004,0.2,2.64
-0.004064,0.2,2.64
-0.00406,0.0,2.64
-0.004056000000000001,0.2,2.64
-0.004052,0.0,2.64
-0.004048,0.2,2.64
-0.004044,0.2,2.64
-0.00404,0.2,2.64
-0.0040360000000000005,0.2,2.64
-0.004032,0.2,2.64
-0.004028,0.2,2.64
-0.004024,0.2,2.64
-0.00402,0.2,2.64
-0.0040160000000000005,0.2,2.64
-0.004012,0.0,2.64
-0.004008,0.0,2.64
-0.004004000000000001,0.2,2.64
-0.004,0.2,2.64
-0.003996,0.2,2.64
-0.003992,0.2,2.64
-0.003988,0.2,2.64
-0.003984,0.2,2.64
-0.00398,0.0,2.64
-0.003976,0.2,2.64
-0.003972,-1.2000000000000002,-2.48
-0.003968,-4.4,-2.56
-0.0039640000000000005,-4.6000000000000005,-2.64
-0.00396,-4.6000000000000005,-2.56
-0.003956,-4.4,-2.56
-0.003952000000000001,-4.2,-2.56
-0.003948,-4.0,-2.64
-0.0039440000000000005,-3.8000000000000003,-2.56
-0.00394,-3.6,-2.64
-0.003936,-3.6,-2.56
-0.003932,-3.4000000000000004,-2.56
-0.003928,-3.2,-2.56
-0.003924,-3.2,-2.64
-0.00392,-3.0,-2.56
-0.003916,-3.0,-2.64
-0.0039120000000000005,-2.8000000000000003,-2.64
-0.003908,-2.6,-2.64
-0.0039040000000000004,-2.6,-2.64
-0.0039000000000000003,-2.4000000000000004,-2.56
-0.003896,-2.4000000000000004,-2.56
-0.003892,-2.2,-2.56
-0.003888,-2.2,-2.64
-0.0038840000000000003,-2.2,-2.64
-0.00388,-2.0,-2.64
-0.003876,-2.0,-2.64
-0.0038720000000000004,-1.8,-2.56
-0.003868,-1.8,-2.56
-0.0038640000000000002,-1.8,-2.56
-0.00386,-1.4000000000000001,-2.64
-0.003856,-1.6,-2.56
-0.0038520000000000004,-1.6,-2.64
-0.003848,-1.4000000000000001,-2.56
-0.003844,-1.4000000000000001,-2.56
-0.00384,-1.4000000000000001,-2.56
-0.003836,-1.4000000000000001,-2.64
-0.0038320000000000003,-1.2000000000000002,-2.64
-0.0038280000000000002,-1.2000000000000002,-2.56
-0.003824,-1.2000000000000002,-2.56
-0.0038200000000000005,-1.2000000000000002,-2.56
-0.003816,-1.2000000000000002,-2.56
-0.0038120000000000003,-1.0,-2.56
-0.003808,-1.0,-2.56
-0.003804,-1.0,-2.56
-0.0038000000000000004,-0.8,-2.56
-0.003796,-0.8,-2.56
-0.0037920000000000002,-0.8,-2.56
-0.003788,-0.8,-2.56
-0.003784,-0.8,-2.56
-0.0037800000000000004,-0.8,-2.56
-0.003776,-0.6000000000000001,-2.56
-0.003772,-0.6000000000000001,-2.56
-0.003768,-0.6000000000000001,-2.56
-0.003764,-0.6000000000000001,-2.56
-0.0037600000000000003,-0.6000000000000001,-2.56
-0.0037560000000000002,-0.6000000000000001,-2.56
-0.003752,-0.6000000000000001,-2.56
-0.0037480000000000005,-0.6000000000000001,-2.56
-0.003744,-0.6000000000000001,-2.56
-0.0037400000000000003,-0.6000000000000001,-2.64
-0.003736,-0.6000000000000001,-2.56
-0.003732,-0.4,-2.56
-0.0037280000000000004,-0.4,-2.56
-0.003724,-0.4,-2.56
-0.00372,-0.4,-2.56
-0.003716,-0.4,-2.56
-0.003712,-0.4,-2.56
-0.0037080000000000004,-0.4,-2.56
-0.0037040000000000003,-0.4,-2.56
-0.0037,-0.4,-2.56
-0.003696,-0.2,-2.64
-0.003692,-0.2,-2.56
-0.0036880000000000003,-0.2,-2.56
-0.003684,-0.2,-2.56
-0.00368,-0.2,-2.56
-0.0036760000000000004,-0.2,-2.64
-0.003672,-0.2,-2.56
-0.0036680000000000003,-0.2,-2.56
-0.003664,-0.2,-2.56
-0.00366,-0.2,-2.56
-0.0036560000000000004,-0.2,-2.56
-0.003652,-0.2,-2.56
-0.003648,-0.2,-2.64
-0.003644,-0.2,-2.56
-0.00364,-0.2,-2.56
-0.0036360000000000003,-0.2,-2.56
-0.0036320000000000002,-0.2,-2.56
-0.003628,-0.2,-2.56
-0.0036240000000000005,-0.2,-2.56
-0.00362,-0.2,-2.56
-0.0036160000000000003,-0.2,-2.64
-0.003612,-0.2,-2.56
-0.003608,-0.2,-2.56
-0.0036040000000000004,0.0,-2.64
-0.0036,-0.2,-2.56
-0.0035960000000000002,-0.2,-2.56
-0.003592,0.0,-2.56
-0.003588,0.0,-2.56
-0.0035840000000000004,-0.2,-2.56
-0.00358,-0.2,-2.56
-0.003576,-0.2,-2.56
-0.003572,-0.2,-2.56
-0.003568,0.0,-2.56
-0.0035640000000000003,0.0,-2.56
-0.0035600000000000002,0.0,-2.56
-0.003556,0.0,-2.56
-0.0035520000000000005,-0.2,-2.56
-0.003548,0.0,-2.56
-0.0035440000000000003,-0.2,-2.56
-0.00354,-0.2,-2.56
-0.003536,-0.2,-2.56
-0.0035320000000000004,0.0,-2.56
-0.003528,0.0,-2.56
-0.0035240000000000002,0.0,-2.64
-0.00352,0.0,-2.56
-0.003516,0.0,-2.56
-0.0035120000000000004,0.0,-2.56
-0.0035080000000000003,0.0,-2.56
-0.003504,0.0,-2.56
-0.0035,0.0,-2.56
-0.003496,0.0,-2.56
-0.0034920000000000003,0.0,-2.56
-0.003488,0.0,-2.64
-0.003484,0.0,-2.56
-0.0034800000000000005,0.0,-2.56
-0.003476,0.0,-2.56
-0.0034720000000000003,0.0,-2.56
-0.003468,0.0,-2.56
-0.003464,0.0,-2.56
-0.0034600000000000004,0.0,-2.56
-0.003456,0.0,-2.56
-0.003452,0.0,-2.56
-0.003448,0.0,-2.56
-0.003444,0.0,-2.56
-0.0034400000000000003,0.0,-2.56
-0.0034360000000000003,0.0,-2.56
-0.003432,0.0,-2.56
-0.0034280000000000005,0.0,-2.56
-0.003424,0.0,-2.56
-0.0034200000000000003,0.0,-2.56
-0.003416,-0.2,-2.56
-0.003412,0.0,-2.56
-0.0034080000000000004,0.0,-2.56
-0.003404,0.0,-2.56
-0.0034000000000000002,0.0,-2.56
-0.003396,0.0,-2.56
-0.003392,0.0,-2.56
-0.0033880000000000004,0.0,-2.64
-0.003384,0.0,-2.56
-0.00338,0.0,-2.56
-0.003376,0.0,-2.56
