t,V_m,V_e
-0.000125,-0.96,-0.32
-0.0001249,-1.04,-0.32
-0.0001248,-1.12,-0.4
-0.0001247,-1.12,-0.48
-0.0001246,-1.12,-0.48
-0.0001245,-1.04,-0.48
-0.00012440000000000002,-1.2,-0.48
-0.0001243,-1.12,-0.56
-0.0001242,-1.2,-0.56
-0.0001241,-1.2,-0.64
-0.000124,-1.28,-0.72
-0.0001239,-1.28,-0.64
-0.0001238,-1.28,-0.64
-0.0001237,-1.28,-0.72
-0.0001236,-1.36,-0.8
-0.0001235,-1.36,-0.72
-0.0001234,-1.44,-0.88
-0.00012330000000000002,-1.44,-0.88
-0.0001232,-1.44,-0.96
-0.0001231,-1.52,-0.88
-0.000123,-1.52,-0.96
-0.0001229,-1.44,-1.04
-0.0001228,-1.52,-1.04
-0.0001227,-1.52,-1.12
-0.0001226,-1.6,-1.12
-0.0001225,-1.6,-1.04
-0.0001224,-1.6,-1.04
-0.0001223,-1.68,-1.12
-0.00012220000000000002,-1.68,-1.2
-0.0001221,-1.6,-1.2
-0.000122,-1.68,-1.36
-0.00012190000000000001,-1.76,-1.28
-0.0001218,-1.84,-1.28
-0.0001217,-1.68,-1.28
-0.0001216,-1.76,-1.44
-0.0001215,-1.76,-1.36
-0.0001214,-1.84,-1.44
-0.00012130000000000001,-1.76,-1.44
-0.0001212,-1.76,-1.44
-0.0001211,-1.92,-1.52
-0.000121,-1.76,-1.6
-0.0001209,-1.84,-1.52
-0.00012080000000000001,-1.92,-1.6
-0.0001207,-1.92,-1.68
-0.0001206,-1.92,-1.6
-0.0001205,-2.0,-1.76
-0.0001204,-2.0,-1.68
-0.0001203,-2.0,-1.76
-0.00012020000000000001,-1.92,-1.76
-0.0001201,-2.0,-1.76
-0.00012,-2.0,-1.84
-0.0001199,-2.0,-1.76
-0.0001198,-2.0,-1.84
-0.00011970000000000001,-2.0,-1.84
-0.00011960000000000001,-2.0,-1.84
-0.0001195,-2.08,-1.84
-0.0001194,-2.0,-1.84
-0.0001193,-2.08,-2.0
-0.0001192,-2.08,-2.0
-0.00011910000000000001,-2.08,-1.92
-0.000119,-2.16,-2.08
-0.0001189,-2.08,-2.0
-0.0001188,-2.16,-2.08
-0.0001187,-2.08,-2.08
-0.00011860000000000001,-2.16,-2.08
-0.00011850000000000001,-2.16,-2.08
-0.0001184,-2.24,-2.16
-0.0001183,-2.16,-2.24
-0.0001182,-2.16,-2.24
-0.0001181,-2.16,-2.24
-0.00011800000000000001,-2.16,-2.24
-0.0001179,-2.24,-2.24
-0.0001178,-2.24,-2.32
-0.0001177,-2.24,-2.16
-0.0001176,-2.16,-2.32
-0.00011750000000000001,-2.16,-2.32
-0.00011740000000000001,-2.24,-2.32
-0.0001173,-2.16,-2.4
-0.0001172,-2.16,-2.4
-0.0001171,-2.24,-2.4
-0.000117,-2.24,-2.4
-0.0001169,-2.16,-2.32
-0.0001168,-2.24,-2.4
-0.0001167,-2.24,-2.4
-0.0001166,-2.16,-2.48
-0.0001165,-2.24,-2.48
-0.00011640000000000001,-2.16,-2.4
-0.00011630000000000001,-2.24,-2.56
-0.0001162,-2.24,-2.48
-0.0001161,-2.24,-2.56
-0.000116,-2.16,-2.48
-0.0001159,-2.24,-2.48
-0.0001158,-2.24,-2.48
-0.00011570000000000001,-2.24,-2.56
-0.0001156,-2.24,-2.56
-0.0001155,-2.16,-2.56
-0.0001154,-2.16,-2.56
-0.0001153,-2.24,-2.56
-0.00011520000000000001,-2.24,-2.56
-0.0001151,-2.16,-2.64
-0.000115,-2.24,-2.64
-0.0001149,-2.16,-2.64
-0.0001148,-2.08,-2.56
-0.0001147,-2.24,-2.64
-0.00011460000000000001,-2.16,-2.64
-0.0001145,-2.16,-2.64
-0.0001144,-2.16,-2.72
-0.0001143,-2.08,-2.56
-0.0001142,-2.24,-2.64
-0.00011410000000000001,-2.08,-2.72
-0.000114,-2.16,-2.64
-0.0001139,-2.08,-2.72
-0.0001138,-2.08,-2.56
-0.0001137,-2.08,-2.64
-0.0001136,-2.08,-2.72
-0.00011350000000000001,-2.08,-2.72
-0.0001134,-2.0,-2.64
-0.0001133,-2.08,-2.64
-0.0001132,-2.08,-2.72
-0.0001131,-2.0,-2.64
-0.00011300000000000001,-1.92,-2.64
-0.0001129,-2.08,-2.64
-0.0001128,-1.92,-2.64
-0.0001127,-2.0,-2.72
-0.0001126,-1.92,-2.64
-0.0001125,-1.92,-2.64
-0.00011240000000000001,-1.92,-2.56
-0.0001123,-1.84,-2.64
-0.0001122,-1.84,-2.56
-0.0001121,-1.84,-2.64
-0.000112,-1.76,-2.56
-0.00011190000000000001,-1.92,-2.56
-0.00011180000000000001,-1.92,-2.56
-0.0001117,-1.76,-2.48
-0.0001116,-1.76,-2.56
-0.0001115,-1.84,-2.56
-0.0001114,-1.84,-2.56
-0.00011130000000000001,-1.76,-2.56
-0.0001112,-1.6,-2.56
-0.0001111,-1.76,-2.48
-0.000111,-1.68,-2.64
-0.0001109,-1.6,-2.56
-0.00011080000000000001,-1.68,-2.56
-0.00011070000000000001,-1.68,-2.48
-0.0001106,-1.6,-2.48
-0.0001105,-1.52,-2.32
-0.0001104,-1.6,-2.56
-0.0001103,-1.44,-2.4
