t,V_m,V_e
-0.00025,1.76,1.68
-0.0002498,1.76,1.6
-0.0002496,1.84,1.68
-0.0002494,1.84,1.68
-0.0002492,1.76,1.76
-0.000249,1.92,1.76
-0.00024880000000000003,2.0,1.68
-0.0002486,1.92,1.84
-0.0002484,2.0,1.84
-0.0002482,2.0,1.92
-0.000248,2.0,1.84
-0.0002478,2.16,1.92
-0.0002476,2.08,1.92
-0.0002474,2.08,2.0
-0.0002472,2.16,2.0
-0.000247,2.16,2.0
-0.0002468,2.24,2.08
-0.00024660000000000003,2.16,2.08
-0.0002464,2.16,2.08
-0.0002462,2.32,2.08
-0.000246,2.24,2.16
-0.0002458,2.24,2.16
-0.0002456,2.32,2.16
-0.0002454,2.24,2.16
-0.0002452,2.24,2.24
-0.000245,2.32,2.24
-0.0002448,2.4,2.24
-0.0002446,2.48,2.32
-0.00024440000000000003,2.4,2.32
-0.0002442,2.32,2.32
-0.000244,2.4,2.32
-0.00024380000000000002,2.48,2.32
-0.0002436,2.56,2.32
-0.0002434,2.48,2.32
-0.0002432,2.48,2.48
-0.000243,2.48,2.4
-0.0002428,2.64,2.4
-0.00024260000000000002,2.48,2.48
-0.0002424,2.56,2.48
-0.0002422,2.64,2.48
-0.000242,2.56,2.48
-0.0002418,2.64,2.48
-0.00024160000000000002,2.56,2.56
-0.0002414,2.64,2.56
-0.0002412,2.72,2.56
-0.000241,2.72,2.56
-0.0002408,2.56,2.48
-0.0002406,2.64,2.48
-0.00024040000000000002,2.64,2.64
-0.0002402,2.64,2.64
-0.00024,2.72,2.64
-0.0002398,2.64,2.56
-0.0002396,2.64,2.64
-0.00023940000000000002,2.64,2.64
-0.00023920000000000001,2.64,2.56
-0.000239,2.72,2.72
-0.0002388,2.72,2.64
-0.0002386,2.72,2.64
-0.0002384,2.8000000000000003,2.64
-0.00023820000000000002,2.72,2.72
-0.000238,2.8000000000000003,2.64
-0.0002378,2.72,2.64
-0.0002376,2.64,2.72
-0.0002374,2.8000000000000003,2.64
-0.00023720000000000002,2.72,2.64
-0.00023700000000000001,2.72,2.72
-0.0002368,2.72,2.72
-0.0002366,2.72,2.56
-0.0002364,2.72,2.64
-0.0002362,2.72,2.72
-0.00023600000000000002,2.72,2.56
-0.0002358,2.72,2.64
-0.0002356,2.72,2.64
-0.0002354,2.64,2.64
-0.0002352,2.64,2.64
-0.00023500000000000002,2.8000000000000003,2.64
-0.00023480000000000002,2.64,2.64
-0.0002346,2.64,2.56
-0.0002344,2.64,2.56
-0.0002342,2.56,2.56
-0.000234,2.56,2.56
-0.0002338,2.64,2.56
-0.0002336,2.64,2.56
-0.0002334,2.64,2.64
-0.0002332,2.56,2.56
-0.000233,2.72,2.48
-0.00023280000000000002,2.64,2.56
-0.00023260000000000002,2.56,2.48
-0.0002324,2.64,2.48
-0.0002322,2.48,2.48
-0.000232,2.48,2.4
-0.0002318,2.56,2.48
-0.0002316,2.48,2.4
-0.00023140000000000001,2.48,2.4
-0.0002312,2.48,2.32
-0.000231,2.4,2.32
-0.0002308,2.4,2.4
-0.0002306,2.4,2.32
-0.00023040000000000002,2.4,2.32
-0.0002302,2.4,2.32
-0.00023,2.32,2.24
-0.0002298,2.32,2.24
-0.0002296,2.32,2.24
-0.0002294,2.24,2.24
-0.00022920000000000001,2.24,2.16
-0.000229,2.24,2.24
-0.0002288,2.16,2.16
-0.0002286,2.16,2.08
-0.0002284,2.16,2.16
-0.00022820000000000002,2.16,2.08
-0.000228,2.16,2.08
-0.0002278,2.08,1.92
-0.0002276,2.08,2.0
-0.0002274,2.08,2.0
-0.0002272,2.08,1.84
-0.00022700000000000002,2.0,2.0
-0.0002268,2.0,1.92
-0.0002266,2.0,1.76
-0.0002264,1.92,1.76
-0.0002262,1.92,1.84
-0.00022600000000000002,1.84,1.76
-0.0002258,1.84,1.76
-0.0002256,1.76,1.76
-0.0002254,1.84,1.68
-0.0002252,1.76,1.6
-0.000225,1.68,1.68
-0.00022480000000000002,1.76,1.6
-0.0002246,1.6,1.52
-0.0002244,1.6,1.6
-0.0002242,1.52,1.52
-0.000224,1.52,1.52
-0.00022380000000000002,1.52,1.52
-0.00022360000000000001,1.44,1.36
-0.0002234,1.44,1.36
-0.0002232,1.52,1.28
-0.000223,1.44,1.36
-0.0002228,1.28,1.28
-0.00022260000000000002,1.36,1.28
-0.0002224,1.28,1.28
-0.0002222,1.28,1.2
-0.000222,1.2,1.12
-0.0002218,1.2,1.12
-0.00022160000000000002,1.28,1.12
-0.00022140000000000001,1.04,1.04
-0.0002212,1.12,0.96
-0.000221,0.96,0.96
-0.0002208,1.04,0.96
-0.0002206,0.96,0.88
-0.00022040000000000002,0.88,0.88
-0.0002202,0.88,0.88
-0.00022,0.88,0.72
-0.0002198,0.88,0.8
-0.0002196,0.88,0.64
-0.00021940000000000002,0.72,0.64
-0.00021920000000000002,0.72,0.64
-0.000219,0.72,0.56
-0.0002188,0.64,0.56
-0.0002186,0.64,0.48
-0.0002184,0.64,0.48
-0.0002182,0.48,0.4
-0.000218,0.48,0.48
-0.0002178,0.48,0.48
-0.0002176,0.4,0.24
-0.0002174,0.4,0.4
-0.00021720000000000002,0.32,0.24
-0.00021700000000000002,0.32,0.24
-0.0002168,0.24,0.16
-0.0002166,0.16,0.08
-0.0002164,0.16,0.08
-0.0002162,0.08,0.08
-0.000216,0.16,0.0
-0.00021580000000000001,0.08,0.0
-0.0002156,0.08,0.0
-0.0002154,-0.08,-0.08
-0.0002152,-0.08,-0.16
-0.00021500000000000002,0.0,-0.16
-0.00021480000000000002,-0.08,-0.24
-0.0002146,-0.16,-0.24
-0.0002144,-0.24,-0.32
-0.0002142,-0.24,-0.24
-0.000214,-0.24,-0.4
-0.0002138,-0.32,-0.32
-0.00021360000000000001,-0.4,-0.4
-0.0002134,-0.4,-0.56
-0.0002132,-0.4,-0.56
-0.000213,-0.48,-0.64
-0.00021280000000000002,-0.56,-0.56
-0.00021260000000000002,-0.56,-0.56
-0.0002124,-0.64,-0.72
-0.0002122,-0.64,-0.72
-0.000212,-0.64,-0.72
-0.0002118,-0.72,-0.8
-0.0002116,-0.72,-0.88
-0.00021140000000000002,-0.72,-0.88
-0.0002112,-0.96,-0.88
-0.000211,-0.8,-0.96
-0.0002108,-0.88,-0.96
-0.00021060000000000002,-0.96,-0.96
-0.00021040000000000002,-0.88,-1.04
-0.00021020000000000001,-0.96,-1.04
-0.00021,-0.96,-1.04
-0.0002098,-0.96,-1.12
-0.0002096,-1.2,-1.12
-0.0002094,-1.12,-1.2
-0.00020920000000000002,-1.12,-1.2
-0.000209,-1.2,-1.28
-0.0002088,-1.2,-1.36
-0.0002086,-1.2,-1.28
-0.00020840000000000002,-1.2,-1.44
-0.00020820000000000002,-1.28,-1.44
-0.00020800000000000001,-1.36,-1.52
-0.0002078,-1.36,-1.6
-0.0002076,-1.36,-1.52
-0.0002074,-1.44,-1.6
-0.0002072,-1.52,-1.6
-0.00020700000000000002,-1.52,-1.68
-0.0002068,-1.52,-1.68
-0.0002066,-1.52,-1.68
-0.0002064,-1.6,-1.6
-0.0002062,-1.6,-1.76
-0.00020600000000000002,-1.68,-1.68
-0.00020580000000000002,-1.68,-1.76
-0.0002056,-1.68,-1.76
-0.0002054,-1.68,-1.84
-0.0002052,-1.84,-1.92
-0.000205,-1.76,-1.92
-0.0002048,-1.84,-1.92
-0.0002046,-1.92,-2.0
-0.0002044,-1.84,-2.0
-0.0002042,-1.84,-2.0
-0.000204,-1.92,-2.08
-0.00020380000000000002,-1.92,-2.16
-0.00020360000000000002,-1.92,-2.16
-0.0002034,-1.92,-2.16
-0.0002032,-2.0,-2.16
-0.000203,-2.0,-2.16
-0.0002028,-2.0,-2.16
-0.0002026,-2.08,-2.32
-0.00020240000000000001,-2.16,-2.24
