t,V_m,V_e
-0.005,1.04,0.48
-0.0049960000000000004,1.04,0.48
-0.004992,0.96,0.4
-0.004988,1.04,0.4
-0.004984,0.96,0.4
-0.00498,0.96,0.32
-0.004976,0.88,0.32
-0.004972,0.88,0.32
-0.004968,0.88,0.32
-0.0049640000000000005,0.88,0.24
-0.00496,0.88,0.24
-0.004956,0.8,0.24
-0.004952,0.72,0.24
-0.004948,0.8,0.24
-0.0049440000000000005,0.72,0.24
-0.00494,0.72,0.16
-0.004936,0.72,0.08
-0.004932,0.64,0.08
-0.004928,0.72,0.08
-0.004924,0.64,0.08
-0.00492,0.64,0.08
-0.004916,0.56,0.0
-0.004912,0.56,0.0
-0.004908,0.56,0.0
-0.004904,0.56,0.0
-0.0049,0.56,-0.08
-0.004896,0.48,-0.08
-0.0048920000000000005,0.48,-0.16
-0.004888,0.48,-0.16
-0.004884,0.4,-0.16
-0.00488,0.4,-0.16
-0.004876,0.4,-0.16
-0.0048720000000000005,0.4,-0.24
-0.004868,0.4,-0.24
-0.004864,0.32,-0.24
-0.00486,0.32,-0.32
-0.004856,0.32,-0.32
-0.004852,0.24,-0.32
-0.004848,0.24,-0.32
-0.004844,0.24,-0.32
-0.0048400000000000006,0.16,-0.4
-0.004836,0.16,-0.4
-0.004832,0.16,-0.48
-0.004828,0.16,-0.4
-0.004824,0.16,-0.48
-0.0048200000000000005,0.16,-0.48
-0.004816,0.08,-0.48
-0.004812,0.08,-0.56
-0.004808,0.08,-0.56
-0.004804,0.08,-0.56
-0.0048000000000000004,0.0,-0.56
-0.004796,0.0,-0.56
-0.004792,0.0,-0.64
-0.004788,-0.08,-0.64
-0.004784,-0.08,-0.64
-0.00478,-0.08,-0.72
-0.004776,-0.16,-0.72
-0.004772,-0.16,-0.72
-0.004768,-0.16,-0.72
-0.004764,-0.16,-0.72
-0.00476,-0.16,-0.72
-0.004756,-0.16,-0.8
-0.004752,-0.24,-0.8
-0.0047480000000000005,-0.24,-0.88
-0.004744,-0.32,-0.8
-0.00474,-0.32,-0.88
-0.004736,-0.32,-0.88
-0.004732,-0.4,-0.88
-0.004728,-0.4,-0.96
-0.004724,-0.4,-0.96
-0.00472,-0.4,-0.96
-0.004716,-0.4,-0.96
-0.004712,-0.4,-0.96
-0.004708,-0.48,-1.04
-0.004704,-0.48,-1.04
-0.0047,-0.56,-1.12
-0.0046960000000000005,-0.56,-1.04
-0.004692,-0.56,-1.12
-0.004688,-0.56,-1.12
-0.004684,-0.56,-1.12
-0.00468,-0.56,-1.12
-0.0046760000000000005,-0.56,-1.2
-0.004672,-0.64,-1.2
-0.004668,-0.64,-1.28
-0.004664,-0.64,-1.28
-0.00466,-0.64,-1.28
-0.004656,-0.72,-1.28
-0.004652,-0.72,-1.28
-0.004648,-0.72,-1.28
-0.0046440000000000006,-0.72,-1.28
-0.00464,-0.8,-1.36
-0.004636,-0.8,-1.36
-0.004632,-0.8,-1.36
-0.004628,-0.8,-1.36
-0.0046240000000000005,-0.88,-1.36
-0.00462,-0.88,-1.44
-0.004616,-0.88,-1.44
-0.004612,-0.88,-1.44
-0.004608,-0.96,-1.52
-0.0046040000000000005,-0.96,-1.52
-0.0046,-0.96,-1.52
-0.004596,-1.04,-1.52
-0.004592,-1.04,-1.52
-0.004588,-1.04,-1.6
-0.004584,-1.04,-1.6
-0.00458,-1.12,-1.6
-0.004576,-1.12,-1.6
-0.004572,-1.12,-1.6
-0.004568,-1.12,-1.68
-0.004564,-1.12,-1.68
-0.00456,-1.12,-1.76
-0.004556,-1.2,-1.68
-0.0045520000000000005,-1.2,-1.76
-0.004548,-1.2,-1.76
-0.004544,-1.2,-1.76
-0.00454,-1.28,-1.76
-0.004536,-1.28,-1.76
-0.0045320000000000004,-1.28,-1.76
-0.004528,-1.28,-1.84
-0.004524,-1.36,-1.84
-0.00452,-1.36,-1.84
-0.004516,-1.36,-1.84
-0.004512,-1.36,-1.84
-0.004508,-1.36,-1.84
-0.004504,-1.36,-1.84
-0.0045000000000000005,-1.44,-1.92
-0.004496,-1.36,-1.84
-0.004492,-1.36,-1.92
-0.004488,-1.36,-1.92
-0.004484,-1.44,-1.92
-0.0044800000000000005,-1.44,-1.92
-0.004476,-1.52,-1.92
-0.004472,-1.52,-2.0
-0.004468,-1.52,-2.0
-0.004464,-1.52,-2.0
-0.00446,-1.6,-2.0
-0.004456,-1.52,-2.0
-0.004452,-1.6,-2.0
-0.0044480000000000006,-1.6,-2.0
-0.004444,-1.6,-2.08
-0.00444,-1.6,-2.08
-0.004436,-1.68,-2.08
-0.004432,-1.68,-2.08
-0.004428,-1.6,-2.08
-0.004424,-1.68,-2.16
-0.00442,-1.68,-2.16
-0.004416,-1.68,-2.16
-0.004412,-1.68,-2.16
-0.0044080000000000005,-1.76,-2.16
-0.004404,-1.76,-2.16
-0.0044,-1.76,-2.16
-0.004396000000000001,-1.76,-2.16
-0.004392,-1.76,-2.16
-0.004388,-1.84,-2.16
-0.004384,-1.84,-2.24
-0.00438,-1.84,-2.24
-0.004376,-1.84,-2.24
-0.004372,-1.84,-2.32
-0.004368,-1.84,-2.32
-0.004364,-1.84,-2.32
-0.00436,-1.92,-2.32
-0.0043560000000000005,-2.0,-2.32
-0.004352,-1.92,-2.32
-0.004348,-2.0,-2.32
-0.004344,-2.0,-2.32
-0.00434,-1.92,-2.32
-0.0043360000000000004,-2.0,-2.32
-0.004332,-2.0,-2.32
-0.004328,-2.0,-2.4
-0.004324,-2.0,-2.4
-0.00432,-2.08,-2.4
-0.004316,-2.08,-2.4
-0.004312,-2.08,-2.4
-0.004308,-2.08,-2.4
-0.0043040000000000005,-2.08,-2.4
-0.0043,-2.08,-2.4
-0.004296,-2.08,-2.48
-0.004292,-2.08,-2.4
-0.004288,-2.16,-2.4
-0.0042840000000000005,-2.16,-2.48
-0.00428,-2.16,-2.48
-0.004276,-2.16,-2.48
-0.004272,-2.16,-2.48
-0.004268,-2.16,-2.48
-0.004264,-2.16,-2.48
-0.00426,-2.16,-2.48
-0.004256,-2.24,-2.48
-0.004252000000000001,-2.24,-2.48
-0.004248,-2.24,-2.56
-0.004244,-2.24,-2.56
-0.00424,-2.24,-2.48
-0.004236,-2.24,-2.48
-0.004232,-2.24,-2.48
-0.004228,-2.24,-2.56
-0.004224,-2.24,-2.56
-0.00422,-2.24,-2.56
-0.004216,-2.32,-2.56
-0.0042120000000000005,-2.24,-2.56
-0.004208,-2.32,-2.56
-0.004204,-2.32,-2.56
-0.004200000000000001,-2.32,-2.56
-0.004196,-2.32,-2.56
-0.004192,-2.32,-2.56
-0.004188,-2.32,-2.56
-0.004184,-2.32,-2.56
-0.00418,-2.4,-2.56
-0.004176,-2.4,-2.56
-0.004172,-2.4,-2.56
-0.004168,-2.4,-2.56
