t,V_m,V_e
-0.000125,1.8800000000000001,1.76
-0.0001249,1.96,1.92
-0.0001248,1.92,1.84
-0.0001247,1.92,1.84
-0.0001246,1.8800000000000001,1.84
-0.0001245,1.92,1.84
-0.00012440000000000002,1.8800000000000001,1.92
-0.0001243,1.92,1.92
-0.0001242,1.92,1.92
-0.0001241,1.96,1.92
-0.000124,1.92,2.0
-0.0001239,1.92,2.0
-0.0001238,1.8800000000000001,2.0
-0.0001237,1.8800000000000001,2.0
-0.0001236,1.92,2.0
-0.0001235,1.84,2.08
-0.0001234,1.8800000000000001,2.08
-0.00012330000000000002,1.92,2.0
-0.0001232,1.92,2.08
-0.0001231,1.92,2.16
-0.000123,1.92,2.08
-0.0001229,1.8800000000000001,2.08
-0.0001228,1.8800000000000001,2.16
-0.0001227,1.8800000000000001,2.08
-0.0001226,1.8800000000000001,2.24
-0.0001225,1.92,2.16
-0.0001224,1.8800000000000001,2.24
-0.0001223,1.8800000000000001,2.24
-0.00012220000000000002,1.92,2.24
-0.0001221,1.8800000000000001,2.24
-0.000122,1.8800000000000001,2.16
-0.00012190000000000001,1.84,2.32
-0.0001218,1.8,2.16
-0.0001217,1.8800000000000001,2.24
-0.0001216,1.84,2.16
-0.0001215,1.84,2.32
-0.0001214,1.8,2.32
-0.00012130000000000001,1.84,2.24
-0.0001212,1.8800000000000001,2.4
-0.0001211,1.8,2.32
-0.000121,1.84,2.32
-0.0001209,1.8,2.32
-0.00012080000000000001,1.76,2.4
-0.0001207,1.8,2.32
-0.0001206,1.84,2.48
-0.0001205,1.8,2.4
-0.0001204,1.72,2.4
-0.0001203,1.8,2.4
-0.00012020000000000001,1.8,2.4
-0.0001201,1.72,2.48
-0.00012,1.76,2.4
-0.0001199,1.76,2.4
-0.0001198,1.76,2.48
-0.00011970000000000001,1.8,2.48
-0.00011960000000000001,1.76,2.48
-0.0001195,1.72,2.48
-0.0001194,1.72,2.4
-0.0001193,1.68,2.56
-0.0001192,1.76,2.48
-0.00011910000000000001,1.6400000000000001,2.4
-0.000119,1.68,2.48
-0.0001189,1.68,2.56
-0.0001188,1.72,2.48
-0.0001187,1.6400000000000001,2.64
-0.00011860000000000001,1.6400000000000001,2.56
-0.00011850000000000001,1.6,2.56
-0.0001184,1.6400000000000001,2.56
-0.0001183,1.6,2.56
-0.0001182,1.6,2.64
-0.0001181,1.56,2.56
-0.00011800000000000001,1.6,2.56
-0.0001179,1.6,2.56
-0.0001178,1.6,2.48
-0.0001177,1.56,2.56
-0.0001176,1.56,2.64
-0.00011750000000000001,1.56,2.64
-0.00011740000000000001,1.56,2.56
-0.0001173,1.48,2.64
-0.0001172,1.52,2.64
-0.0001171,1.48,2.64
-0.000117,1.44,2.56
-0.0001169,1.4000000000000001,2.64
-0.0001168,1.44,2.56
-0.0001167,1.44,2.64
-0.0001166,1.44,2.56
-0.0001165,1.44,2.56
-0.00011640000000000001,1.36,2.64
-0.00011630000000000001,1.44,2.56
-0.0001162,1.4000000000000001,2.64
-0.0001161,1.36,2.64
-0.000116,1.36,2.64
-0.0001159,1.36,2.64
-0.0001158,1.32,2.56
-0.00011570000000000001,1.32,2.56
-0.0001156,1.32,2.56
-0.0001155,1.32,2.56
-0.0001154,1.32,2.56
-0.0001153,1.24,2.56
-0.00011520000000000001,1.28,2.64
-0.0001151,1.24,2.56
-0.000115,1.28,2.48
-0.0001149,1.2,2.64
-0.0001148,1.24,2.56
-0.0001147,1.24,2.56
-0.00011460000000000001,1.16,2.56
-0.0001145,1.2,2.48
-0.0001144,1.16,2.48
-0.0001143,1.12,2.48
-0.0001142,1.12,2.56
-0.00011410000000000001,1.16,2.48
-0.000114,1.12,2.4
-0.0001139,1.08,2.56
-0.0001138,1.12,2.56
-0.0001137,1.04,2.56
-0.0001136,1.0,2.56
-0.00011350000000000001,1.0,2.56
-0.0001134,1.0,2.4
-0.0001133,0.96,2.4
-0.0001132,0.96,2.4
-0.0001131,0.92,2.4
-0.00011300000000000001,0.96,2.48
-0.0001129,0.92,2.48
-0.0001128,0.88,2.4
-0.0001127,0.88,2.48
-0.0001126,0.88,2.4
-0.0001125,0.88,2.4
-0.00011240000000000001,0.84,2.32
-0.0001123,0.8,2.4
-0.0001122,0.8,2.32
-0.0001121,0.8,2.4
-0.000112,0.8,2.32
-0.00011190000000000001,0.76,2.24
-0.00011180000000000001,0.76,2.32
-0.0001117,0.76,2.32
-0.0001116,0.68,2.4
-0.0001115,0.68,2.32
-0.0001114,0.68,2.32
