t,V_m,V_e
-0.0005,4.800000000000001,-1.6
-0.0004996,5.2,-1.6
-0.0004992,5.0,-1.56
-0.0004988,4.800000000000001,-1.6400000000000001
-0.0004984,4.6000000000000005,-1.6400000000000001
-0.000498,4.6000000000000005,-1.6
-0.0004976000000000001,4.6000000000000005,-1.6
-0.0004972,4.6000000000000005,-1.6
-0.0004968,4.6000000000000005,-1.52
-0.0004964,4.4,-1.6
-0.000496,4.4,-1.6
-0.0004956,4.2,-1.6
-0.0004952,4.0,-1.6
-0.0004948,4.0,-1.56
-0.0004944,4.0,-1.56
-0.000494,3.8000000000000003,-1.52
-0.0004936,3.6,-1.56
-0.0004932000000000001,3.6,-1.56
-0.0004928,3.6,-1.56
-0.0004924,3.6,-1.6
-0.000492,3.4000000000000004,-1.56
-0.0004916,3.4000000000000004,-1.52
-0.0004912,3.2,-1.56
-0.0004908,3.2,-1.56
-0.0004904,3.0,-1.52
-0.00049,2.8000000000000003,-1.52
-0.0004896,2.8000000000000003,-1.48
-0.0004892,2.6,-1.48
-0.0004888000000000001,2.8000000000000003,-1.52
-0.0004884,2.4000000000000004,-1.52
-0.000488,2.4000000000000004,-1.48
-0.00048760000000000003,2.4000000000000004,-1.44
-0.0004872,2.4000000000000004,-1.48
-0.0004868,2.2,-1.48
-0.0004864,2.0,-1.44
-0.000486,1.8,-1.44
-0.0004856,2.0,-1.44
-0.00048520000000000003,1.6,-1.4000000000000001
-0.0004848,1.6,-1.4000000000000001
-0.0004844,1.4000000000000001,-1.4000000000000001
-0.000484,1.4000000000000001,-1.44
-0.0004836,1.2000000000000002,-1.36
-0.00048320000000000004,1.2000000000000002,-1.4000000000000001
-0.0004828,1.0,-1.36
-0.0004824,1.0,-1.36
-0.000482,0.8,-1.36
-0.0004816,0.8,-1.32
-0.0004812,0.8,-1.4000000000000001
-0.00048080000000000003,0.6000000000000001,-1.32
-0.0004804,0.4,-1.32
-0.00048,0.4,-1.28
-0.0004796,0.2,-1.24
-0.0004792,0.2,-1.28
-0.00047880000000000004,0.0,-1.28
-0.00047840000000000003,0.0,-1.2
-0.000478,-0.2,-1.2
-0.0004776,-0.2,-1.24
-0.0004772,-0.2,-1.2
-0.0004768,-0.2,-1.24
-0.00047640000000000003,-0.4,-1.2
-0.000476,-0.8,-1.2
-0.0004756,-0.6000000000000001,-1.16
-0.0004752,-0.8,-1.16
