t,V_out,V_R
-2.5e-05,-0.084,-0.12
-2.498e-05,-0.08,-0.2
-2.496e-05,-0.08,-0.16
-2.4940000000000002e-05,-0.08,-0.16
-2.4920000000000002e-05,-0.084,-0.24
-2.4900000000000002e-05,-0.088,-0.24
-2.4880000000000002e-05,-0.092,-0.24
-2.4860000000000003e-05,-0.092,-0.24
-2.4840000000000003e-05,-0.088,-0.28
-2.482e-05,-0.092,-0.28
-2.48e-05,-0.092,-0.36
-2.478e-05,-0.088,-0.36
-2.476e-05,-0.088,-0.36
-2.474e-05,-0.088,-0.4
-2.472e-05,-0.088,-0.4
-2.47e-05,-0.088,-0.4
-2.468e-05,-0.084,-0.44
-2.466e-05,-0.088,-0.48
-2.464e-05,-0.088,-0.48
-2.462e-05,-0.092,-0.52
-2.46e-05,-0.092,-0.52
-2.4580000000000002e-05,-0.096,-0.56
-2.4560000000000002e-05,-0.096,-0.56
-2.4540000000000002e-05,-0.092,-0.56
-2.4520000000000002e-05,-0.092,-0.6
-2.4500000000000003e-05,-0.088,-0.6
-2.4480000000000003e-05,-0.088,-0.6
-2.446e-05,-0.088,-0.64
-2.444e-05,-0.088,-0.68
-2.442e-05,-0.096,-0.68
-2.44e-05,-0.092,-0.76
-2.438e-05,-0.096,-0.68
-2.436e-05,-0.096,-0.68
-2.434e-05,-0.092,-0.76
-2.432e-05,-0.096,-0.8
-2.43e-05,-0.092,-0.84
-2.428e-05,-0.092,-0.8
-2.426e-05,-0.092,-0.84
-2.4240000000000002e-05,-0.092,-0.84
-2.4220000000000002e-05,-0.092,-0.88
-2.4200000000000002e-05,-0.088,-0.88
-2.4180000000000002e-05,-0.096,-0.96
-2.4160000000000002e-05,-0.092,-0.96
-2.4140000000000003e-05,-0.096,-0.92
-2.412e-05,-0.088,-0.96
-2.41e-05,-0.088,-1.0
-2.408e-05,-0.088,-1.0
-2.406e-05,-0.088,-1.04
-2.404e-05,-0.092,-1.04
-2.402e-05,-0.096,-1.04
-2.4e-05,-0.096,-1.04
-2.398e-05,-0.092,-1.08
-2.396e-05,-0.088,-1.12
-2.394e-05,-0.088,-1.08
-2.392e-05,-0.088,-1.08
-2.39e-05,-0.088,-1.16
-2.3880000000000002e-05,-0.088,-1.12
-2.3860000000000002e-05,-0.092,-1.16
-2.3840000000000002e-05,-0.096,-1.2
-2.3820000000000002e-05,-0.092,-1.2
-2.3800000000000003e-05,-0.092,-1.2
-2.3780000000000003e-05,-0.088,-1.24
-2.3760000000000003e-05,-0.088,-1.24
-2.374e-05,-0.08,-1.28
-2.372e-05,-0.088,-1.28
-2.37e-05,-0.088,-1.32
-2.368e-05,-0.088,-1.28
-2.366e-05,-0.088,-1.32
-2.364e-05,-0.088,-1.28
-2.362e-05,-0.092,-1.32
-2.36e-05,-0.088,-1.36
-2.358e-05,-0.084,-1.36
-2.356e-05,-0.08,-1.36
-2.354e-05,-0.08,-1.36
-2.3520000000000002e-05,-0.084,-1.36
-2.3500000000000002e-05,-0.084,-1.4000000000000001
-2.3480000000000002e-05,-0.088,-1.4000000000000001
-2.3460000000000002e-05,-0.088,-1.4000000000000001
-2.3440000000000003e-05,-0.088,-1.4000000000000001
-2.3420000000000003e-05,-0.088,-1.44
-2.34e-05,-0.088,-1.44
-2.338e-05,-0.084,-1.48
-2.336e-05,-0.08,-1.48
-2.334e-05,-0.08,-1.48
-2.332e-05,-0.08,-1.52
-2.33e-05,-0.076,-1.48
-2.328e-05,-0.08,-1.52
-2.326e-05,-0.076,-1.52
-2.324e-05,-0.084,-1.56
-2.322e-05,-0.08,-1.56
-2.32e-05,-0.08,-1.52
-2.318e-05,-0.076,-1.56
-2.3160000000000002e-05,-0.07200000000000001,-1.6
-2.3140000000000002e-05,-0.076,-1.6
-2.3120000000000002e-05,-0.07200000000000001,-1.6
-2.3100000000000002e-05,-0.076,-1.6
-2.3080000000000003e-05,-0.07200000000000001,-1.6400000000000001
-2.306e-05,-0.07200000000000001,-1.6
-2.3040000000000003e-05,-0.068,-1.6400000000000001
-2.302e-05,-0.068,-1.6400000000000001
-2.3e-05,-0.068,-1.6400000000000001
-2.298e-05,-0.068,-1.6400000000000001
-2.296e-05,-0.07200000000000001,-1.6400000000000001
-2.294e-05,-0.068,-1.68
-2.292e-05,-0.068,-1.6400000000000001
-2.29e-05,-0.068,-1.68
-2.288e-05,-0.06,-1.68
-2.286e-05,-0.056,-1.72
-2.284e-05,-0.06,-1.68
-2.2820000000000002e-05,-0.06,-1.6400000000000001
-2.2800000000000002e-05,-0.06,-1.68
-2.2780000000000002e-05,-0.064,-1.76
-2.2760000000000002e-05,-0.056,-1.68
-2.2740000000000003e-05,-0.056,-1.68
-2.272e-05,-0.056,-1.72
-2.2700000000000003e-05,-0.056,-1.68
-2.268e-05,-0.048,-1.72
-2.266e-05,-0.048,-1.72
-2.264e-05,-0.048,-1.72
-2.262e-05,-0.048,-1.76
-2.26e-05,-0.048,-1.68
-2.258e-05,-0.056,-1.72
-2.256e-05,-0.048,-1.76
-2.254e-05,-0.052000000000000005,-1.76
-2.252e-05,-0.052000000000000005,-1.72
-2.25e-05,-0.048,-1.72
-2.248e-05,-0.048,-1.72
-2.2460000000000002e-05,-0.044,-1.72
-2.2440000000000002e-05,-0.044,-1.72
-2.2420000000000002e-05,-0.044,-1.72
-2.2400000000000002e-05,-0.044,-1.72
-2.2380000000000003e-05,-0.044,-1.72
-2.2360000000000003e-05,-0.044,-1.68
-2.234e-05,-0.04,-1.68
-2.232e-05,-0.036000000000000004,-1.72
-2.23e-05,-0.04,-1.72
-2.228e-05,-0.04,-1.72
-2.226e-05,-0.032,-1.68
-2.224e-05,-0.032,-1.76
-2.222e-05,-0.036000000000000004,-1.72
-2.22e-05,-0.032,-1.72
-2.218e-05,-0.032,-1.68
-2.216e-05,-0.036000000000000004,-1.72
-2.214e-05,-0.028,-1.72
-2.212e-05,-0.024,-1.72
-2.2100000000000002e-05,-0.032,-1.72
-2.2080000000000002e-05,-0.028,-1.68
-2.2060000000000002e-05,-0.028,-1.6400000000000001
-2.2040000000000002e-05,-0.032,-1.6400000000000001
-2.2020000000000003e-05,-0.028,-1.6400000000000001
-2.2e-05,-0.028,-1.6400000000000001
-2.1980000000000003e-05,-0.024,-1.72
-2.196e-05,-0.02,-1.6400000000000001
-2.194e-05,-0.02,-1.68
-2.192e-05,-0.016,-1.6400000000000001
-2.19e-05,-0.016,-1.6400000000000001
-2.188e-05,-0.016,-1.6400000000000001
-2.186e-05,-0.016,-1.6400000000000001
-2.184e-05,-0.012,-1.6400000000000001
-2.182e-05,-0.016,-1.6
-2.18e-05,-0.012,-1.56
-2.178e-05,-0.016,-1.6
-2.1760000000000002e-05,-0.012,-1.6
-2.1740000000000002e-05,-0.008,-1.6
-2.1720000000000002e-05,-0.004,-1.6
-2.1700000000000002e-05,-0.008,-1.56
-2.1680000000000002e-05,-0.004,-1.56
-2.166e-05,-0.004,-1.56
-2.1640000000000003e-05,-0.004,-1.52
-2.162e-05,0.0,-1.48
-2.16e-05,-0.004,-1.48
-2.158e-05,-0.004,-1.48
-2.156e-05,-0.004,-1.48
-2.154e-05,0.0,-1.44
-2.152e-05,0.004,-1.44
-2.15e-05,0.008,-1.44
-2.148e-05,0.012,-1.44
-2.146e-05,0.012,-1.44
-2.144e-05,0.008,-1.44
-2.142e-05,0.012,-1.4000000000000001
-2.1400000000000002e-05,0.012,-1.36
-2.1380000000000002e-05,0.008,-1.4000000000000001
-2.1360000000000002e-05,0.012,-1.36
-2.1340000000000002e-05,0.008,-1.36
-2.1320000000000003e-05,0.012,-1.32
-2.1300000000000003e-05,0.016,-1.32
-2.128e-05,0.012,-1.32
-2.126e-05,0.016,-1.28
-2.124e-05,0.02,-1.28
-2.122e-05,0.02,-1.28
-2.12e-05,0.024,-1.28
-2.118e-05,0.02,-1.28
-2.116e-05,0.02,-1.28
-2.114e-05,0.02,-1.24
-2.112e-05,0.02,-1.2
-2.11e-05,0.02,-1.2
-2.108e-05,0.02,-1.2
-2.106e-05,0.032,-1.2
-2.1040000000000002e-05,0.032,-1.12
-2.1020000000000002e-05,0.032,-1.12
-2.1000000000000002e-05,0.032,-1.12
-2.098e-05,0.032,-1.08
-2.0960000000000003e-05,0.028,-1.08
-2.094e-05,0.032,-1.04
-2.0920000000000003e-05,0.036000000000000004,-1.04
-2.09e-05,0.032,-1.04
-2.088e-05,0.036000000000000004,-1.0
-2.086e-05,0.036000000000000004,-1.0
-2.084e-05,0.032,-1.0
-2.082e-05,0.032,-0.96
-2.08e-05,0.04,-1.0
-2.078e-05,0.04,-0.96
-2.076e-05,0.04,-0.96
-2.074e-05,0.044,-0.96
-2.072e-05,0.044,-0.88
-2.0700000000000002e-05,0.044,-0.84
-2.0680000000000002e-05,0.052000000000000005,-0.92
-2.0660000000000002e-05,0.052000000000000005,-0.84
-2.0640000000000002e-05,0.052000000000000005,-0.88
-2.0620000000000002e-05,0.052000000000000005,-0.84
-2.06e-05,0.052000000000000005,-0.8
-2.0580000000000003e-05,0.052000000000000005,-0.72
-2.056e-05,0.048,-0.76
-2.054e-05,0.052000000000000005,-0.72
-2.052e-05,0.056,-0.72
-2.05e-05,0.056,-0.68
-2.048e-05,0.06,-0.68
-2.046e-05,0.056,-0.64
-2.044e-05,0.056,-0.64
-2.042e-05,0.052000000000000005,-0.6
-2.04e-05,0.052000000000000005,-0.56
-2.038e-05,0.056,-0.56
-2.036e-05,0.052000000000000005,-0.52
-2.0340000000000002e-05,0.056,-0.56
-2.0320000000000002e-05,0.06,-0.56
-2.0300000000000002e-05,0.064,-0.52
-2.0280000000000002e-05,0.064,-0.48
-2.026e-05,0.064,-0.44
-2.0240000000000003e-05,0.064,-0.48
-2.022e-05,0.068,-0.44
-2.0200000000000003e-05,0.07200000000000001,-0.4
-2.018e-05,0.068,-0.4
-2.016e-05,0.064,-0.4
-2.014e-05,0.068,-0.36
-2.012e-05,0.068,-0.36
-2.01e-05,0.07200000000000001,-0.24
-2.008e-05,0.076,-0.28
-2.006e-05,0.076,-0.28
-2.004e-05,0.07200000000000001,-0.2
-2.002e-05,0.076,-0.32
-2e-05,0.07200000000000001,-0.24
-1.9980000000000002e-05,0.076,-0.16
-1.9960000000000002e-05,0.07200000000000001,-0.16
-1.9940000000000002e-05,0.07200000000000001,-0.16
-1.992e-05,0.07200000000000001,-0.08
-1.9900000000000003e-05,0.076,-0.12
-1.988e-05,0.08,-0.08
-1.9860000000000003e-05,0.076,-0.04
-1.984e-05,0.084,-0.08
-1.982e-05,0.084,-0.04
-1.98e-05,0.084,0.0
-1.978e-05,0.088,0.04
-1.976e-05,0.084,0.04
-1.974e-05,0.084,0.0
-1.972e-05,0.08,0.08
-1.97e-05,0.084,0.08
-1.968e-05,0.08,0.12
-1.966e-05,0.08,0.2
-1.9640000000000002e-05,0.084,0.2
-1.9620000000000002e-05,0.084,0.24
-1.9600000000000002e-05,0.088,0.2
-1.9580000000000002e-05,0.088,0.24
-1.9560000000000002e-05,0.092,0.24
-1.954e-05,0.084,0.24
-1.9520000000000003e-05,0.084,0.32
-1.95e-05,0.084,0.32
-1.948e-05,0.088,0.32
-1.946e-05,0.088,0.36
-1.944e-05,0.088,0.36
-1.942e-05,0.092,0.4
-1.94e-05,0.096,0.4
-1.938e-05,0.092,0.4
-1.936e-05,0.092,0.48
-1.934e-05,0.088,0.48
-1.932e-05,0.088,0.48
