t,V_out,V_R
-0.000125,-0.68,0.36
-0.0001249,-0.72,0.36
-0.0001248,-0.76,0.4
-0.0001247,-0.72,0.4
-0.0001246,-0.76,0.44
-0.0001245,-0.76,0.48
-0.00012440000000000002,-0.8,0.56
-0.0001243,-0.76,0.56
-0.0001242,-0.8,0.6
-0.0001241,-0.88,0.64
-0.000124,-0.88,0.64
-0.0001239,-0.84,0.68
-0.0001238,-0.88,0.68
-0.0001237,-0.92,0.68
-0.0001236,-0.92,0.72
-0.0001235,-0.88,0.8
-0.0001234,-0.96,0.76
-0.00012330000000000002,-0.92,0.84
-0.0001232,-0.96,0.84
-0.0001231,-0.96,0.84
-0.000123,-0.96,0.96
-0.0001229,-0.96,0.92
-0.0001228,-1.0,0.92
-0.0001227,-1.0,1.0
-0.0001226,-1.0,1.0
-0.0001225,-1.0,1.04
-0.0001224,-1.04,1.08
-0.0001223,-1.04,1.12
-0.00012220000000000002,-1.04,1.08
-0.0001221,-1.08,1.12
-0.000122,-1.04,1.12
-0.00012190000000000001,-1.04,1.16
-0.0001218,-1.08,1.16
-0.0001217,-1.08,1.2
-0.0001216,-1.08,1.2
-0.0001215,-1.08,1.28
-0.0001214,-1.08,1.24
-0.00012130000000000001,-1.08,1.28
-0.0001212,-1.08,1.32
-0.0001211,-1.08,1.32
-0.000121,-1.12,1.36
-0.0001209,-1.12,1.32
-0.00012080000000000001,-1.12,1.36
-0.0001207,-1.16,1.4000000000000001
-0.0001206,-1.12,1.44
-0.0001205,-1.12,1.44
-0.0001204,-1.12,1.44
-0.0001203,-1.16,1.4000000000000001
-0.00012020000000000001,-1.12,1.48
-0.0001201,-1.16,1.52
-0.00012,-1.16,1.48
-0.0001199,-1.12,1.52
-0.0001198,-1.16,1.52
-0.00011970000000000001,-1.16,1.52
-0.00011960000000000001,-1.12,1.6
-0.0001195,-1.12,1.56
-0.0001194,-1.12,1.56
-0.0001193,-1.12,1.6400000000000001
-0.0001192,-1.08,1.6
-0.00011910000000000001,-1.12,1.6400000000000001
-0.000119,-1.12,1.68
-0.0001189,-1.12,1.6400000000000001
-0.0001188,-1.12,1.68
