t,V_out,V_R
-5e-05,-1.08,-0.56
-4.996e-05,-1.04,-0.58
-4.992e-05,-1.12,-0.52
-4.9880000000000004e-05,-1.08,-0.52
-4.9840000000000004e-05,-1.12,-0.52
-4.9800000000000004e-05,-1.08,-0.52
-4.9760000000000005e-05,-1.12,-0.52
-4.9720000000000005e-05,-1.12,-0.54
-4.9680000000000005e-05,-1.2,-0.54
-4.964e-05,-1.16,-0.5
-4.96e-05,-1.2,-0.52
-4.956e-05,-1.2,-0.52
-4.952e-05,-1.2,-0.52
-4.948e-05,-1.2,-0.52
-4.944e-05,-1.24,-0.54
-4.94e-05,-1.24,-0.54
-4.936e-05,-1.24,-0.52
-4.932e-05,-1.24,-0.52
-4.928e-05,-1.24,-0.5
-4.924e-05,-1.28,-0.5
-4.92e-05,-1.24,-0.5
-4.9160000000000004e-05,-1.28,-0.5
-4.9120000000000004e-05,-1.28,-0.52
-4.9080000000000004e-05,-1.28,-0.48
-4.9040000000000005e-05,-1.28,-0.48
-4.9000000000000005e-05,-1.28,-0.48
-4.8960000000000006e-05,-1.28,-0.48
-4.892e-05,-1.32,-0.48
-4.888e-05,-1.32,-0.5
-4.884e-05,-1.36,-0.48
-4.88e-05,-1.32,-0.48
-4.876e-05,-1.36,-0.46
-4.872e-05,-1.32,-0.46
-4.868e-05,-1.36,-0.44
-4.864e-05,-1.4000000000000001,-0.46
-4.86e-05,-1.4000000000000001,-0.44
-4.856e-05,-1.36,-0.44
-4.852e-05,-1.4000000000000001,-0.44
-4.8480000000000003e-05,-1.4000000000000001,-0.42
-4.8440000000000004e-05,-1.44,-0.44
-4.8400000000000004e-05,-1.4000000000000001,-0.44
-4.8360000000000005e-05,-1.44,-0.46
-4.8320000000000005e-05,-1.44,-0.44
-4.8280000000000005e-05,-1.4000000000000001,-0.44
-4.824e-05,-1.48,-0.4
-4.82e-05,-1.44,-0.42
-4.816e-05,-1.44,-0.38
-4.812e-05,-1.44,-0.42
-4.808e-05,-1.44,-0.42
-4.804e-05,-1.48,-0.38
-4.8e-05,-1.52,-0.4
-4.796e-05,-1.44,-0.36
-4.792e-05,-1.48,-0.38
-4.788e-05,-1.48,-0.38
