t,V_out,V_R
-0.05,0.48,0.304
-0.049960000000000004,0.48,0.304
-0.049920000000000006,0.56,0.304
-0.04988,0.56,0.304
-0.04984,0.56,0.304
-0.049800000000000004,0.64,0.296
-0.049760000000000006,0.64,0.304
-0.04972,0.64,0.304
-0.04968,0.64,0.296
-0.049640000000000004,0.64,0.296
-0.049600000000000005,0.64,0.296
-0.04956,0.64,0.296
-0.04952,0.72,0.28
-0.04948,0.72,0.28
-0.049440000000000005,0.72,0.28800000000000003
-0.0494,0.8,0.28
-0.04936,0.8,0.28
-0.04932,0.8,0.272
-0.049280000000000004,0.8,0.272
-0.049240000000000006,0.8,0.272
-0.0492,0.88,0.28
-0.04916,0.88,0.272
-0.049120000000000004,0.88,0.272
-0.049080000000000006,0.88,0.264
-0.04904,0.96,0.264
-0.049,0.96,0.256
-0.048960000000000004,0.96,0.256
-0.048920000000000005,0.96,0.256
-0.04888,1.04,0.248
-0.04884,0.96,0.256
-0.0488,1.04,0.256
-0.048760000000000005,1.04,0.24
-0.04872,1.04,0.248
-0.04868,1.12,0.248
-0.04864,1.12,0.248
-0.048600000000000004,1.12,0.232
-0.048560000000000006,1.12,0.24
-0.04852,1.2,0.224
-0.04848,1.2,0.224
-0.048440000000000004,1.2,0.232
-0.048400000000000006,1.2,0.224
-0.04836,1.2,0.216
-0.04832,1.2,0.232
-0.04828,1.28,0.216
-0.048240000000000005,1.28,0.20800000000000002
-0.0482,1.28,0.20800000000000002
-0.04816,1.36,0.20800000000000002
-0.04812,1.36,0.2
-0.048080000000000005,1.28,0.20800000000000002
-0.04804,1.36,0.2
-0.048,1.36,0.2
-0.04796,1.36,0.2
-0.047920000000000004,1.44,0.192
-0.047880000000000006,1.44,0.192
-0.04784,1.44,0.192
-0.0478,1.44,0.184
-0.047760000000000004,1.52,0.176
-0.047720000000000005,1.52,0.176
-0.04768,1.52,0.176
-0.04764,1.52,0.168
-0.0476,1.52,0.168
-0.047560000000000005,1.6,0.16
-0.04752,1.6,0.16
-0.04748,1.6,0.16
-0.04744,1.52,0.152
-0.047400000000000005,1.6,0.152
-0.04736,1.68,0.14400000000000002
-0.04732,1.6,0.152
-0.04728,1.68,0.14400000000000002
-0.047240000000000004,1.68,0.14400000000000002
-0.047200000000000006,1.68,0.136
-0.04716,1.68,0.136
-0.04712,1.68,0.136
-0.047080000000000004,1.76,0.128
-0.047040000000000005,1.76,0.12
-0.047,1.68,0.12
-0.04696,1.76,0.12
-0.04692,1.76,0.12
-0.046880000000000005,1.76,0.112
-0.04684,1.84,0.112
-0.0468,1.76,0.096
-0.04676,1.84,0.10400000000000001
-0.046720000000000005,1.84,0.096
-0.04668,1.84,0.088
-0.04664,1.84,0.096
-0.0466,1.92,0.096
-0.046560000000000004,1.92,0.08
-0.046520000000000006,1.92,0.08
-0.04648,1.84,0.07200000000000001
-0.04644,1.92,0.08
-0.046400000000000004,1.92,0.07200000000000001
-0.046360000000000005,1.92,0.064
-0.04632,2.0,0.056
-0.04628,2.0,0.056
-0.04624,2.0,0.056
-0.046200000000000005,2.0,0.056
-0.04616,2.0,0.056
-0.04612,2.0,0.048
-0.04608,2.0,0.04
-0.046040000000000005,2.08,0.04
-0.046,2.0,0.04
-0.04596,2.08,0.04
-0.04592,2.08,0.032
-0.045880000000000004,2.0,0.024
-0.045840000000000006,2.08,0.024
-0.0458,2.08,0.024
-0.04576,2.08,0.024
-0.045720000000000004,2.08,0.016
-0.045680000000000005,2.08,0.016
-0.04564,2.08,0.016
-0.0456,2.08,0.008
-0.04556,2.08,0.008
-0.045520000000000005,2.16,0.0
-0.04548,2.08,0.0
-0.04544,2.16,-0.008
-0.0454,2.08,-0.008
-0.045360000000000004,2.08,-0.008
-0.04532,2.16,-0.016
-0.04528,2.16,0.008
-0.04524,2.16,-0.024
-0.045200000000000004,2.16,-0.024
-0.045160000000000006,2.16,-0.024
-0.04512,2.16,-0.032
-0.04508,2.16,-0.032
-0.045040000000000004,2.16,-0.04
-0.045000000000000005,2.16,-0.04
-0.04496,2.16,-0.04
-0.04492,2.16,-0.048
-0.04488,2.16,-0.048
-0.044840000000000005,2.16,-0.048
-0.0448,2.16,-0.056
-0.04476,2.16,-0.064
-0.04472,2.24,-0.056
-0.044680000000000004,2.16,-0.064
-0.04464,2.16,-0.07200000000000001
-0.0446,2.16,-0.064
-0.04456,2.16,-0.07200000000000001
-0.044520000000000004,2.24,-0.07200000000000001
-0.044480000000000006,2.16,-0.08
-0.04444,2.24,-0.08
-0.0444,2.24,-0.088
-0.044360000000000004,2.16,-0.088
-0.044320000000000005,2.24,-0.096
-0.04428,2.16,-0.096
-0.04424,2.24,-0.096
-0.0442,2.16,-0.10400000000000001
-0.044160000000000005,2.16,-0.10400000000000001
-0.04412,2.16,-0.112
-0.04408,2.24,-0.112
-0.04404,2.16,-0.112
-0.044000000000000004,2.16,-0.12
-0.04396,2.24,-0.112
-0.04392,2.16,-0.12
-0.04388,2.16,-0.12
-0.043840000000000004,2.16,-0.128
-0.043800000000000006,2.16,-0.128
-0.04376,2.16,-0.128
-0.04372,2.16,-0.136
