t,V_out,V_R
-0.0125,0.192,0.1
-0.012490000000000001,0.184,0.096
-0.012480000000000002,0.168,0.1
-0.01247,0.184,0.096
-0.01246,0.192,0.096
-0.012450000000000001,0.176,0.1
-0.012440000000000001,0.176,0.1
-0.01243,0.176,0.1
-0.01242,0.176,0.1
-0.012410000000000001,0.176,0.096
-0.012400000000000001,0.168,0.1
-0.01239,0.176,0.1
-0.01238,0.168,0.10400000000000001
-0.01237,0.16,0.10400000000000001
-0.012360000000000001,0.16,0.10400000000000001
-0.01235,0.16,0.108
-0.01234,0.14400000000000002,0.10400000000000001
-0.01233,0.152,0.10400000000000001
-0.012320000000000001,0.176,0.092
-0.012310000000000001,0.152,0.10400000000000001
-0.0123,0.152,0.10400000000000001
-0.01229,0.152,0.108
-0.012280000000000001,0.14400000000000002,0.10400000000000001
-0.012270000000000001,0.14400000000000002,0.1
-0.01226,0.14400000000000002,0.108
-0.01225,0.136,0.108
-0.012240000000000001,0.136,0.108
-0.012230000000000001,0.128,0.108
-0.01222,0.128,0.108
-0.01221,0.128,0.112
-0.0122,0.12,0.108
-0.012190000000000001,0.12,0.108
-0.01218,0.128,0.112
-0.01217,0.12,0.112
-0.01216,0.112,0.112
-0.012150000000000001,0.112,0.112
-0.012140000000000001,0.10400000000000001,0.108
-0.01213,0.112,0.112
-0.01212,0.10400000000000001,0.112
-0.012110000000000001,0.10400000000000001,0.112
-0.012100000000000001,0.096,0.116
-0.01209,0.096,0.116
-0.01208,0.096,0.116
-0.01207,0.088,0.112
-0.012060000000000001,0.096,0.112
-0.01205,0.088,0.112
-0.01204,0.088,0.112
-0.01203,0.088,0.112
-0.012020000000000001,0.08,0.116
-0.01201,0.08,0.116
-0.012,0.08,0.116
-0.01199,0.07200000000000001,0.112
-0.011980000000000001,0.07200000000000001,0.116
-0.011970000000000001,0.07200000000000001,0.116
-0.01196,0.064,0.116
-0.01195,0.056,0.116
-0.011940000000000001,0.064,0.116
-0.011930000000000001,0.056,0.116
-0.01192,0.056,0.116
-0.01191,0.048,0.116
-0.0119,0.048,0.116
-0.011890000000000001,0.04,0.112
-0.01188,0.04,0.112
-0.01187,0.048,0.112
-0.01186,0.04,0.116
-0.011850000000000001,0.04,0.112
-0.01184,0.032,0.112
-0.01183,0.032,0.116
-0.01182,0.024,0.116
-0.011810000000000001,0.016,0.12
-0.011800000000000001,0.024,0.116
-0.01179,0.024,0.116
-0.01178,0.016,0.116
-0.011770000000000001,0.016,0.116
-0.011760000000000001,0.016,0.12
-0.01175,0.008,0.116
-0.01174,0.008,0.116
-0.01173,0.0,0.112
-0.011720000000000001,0.008,0.116
-0.01171,0.0,0.116
-0.0117,0.0,0.116
-0.01169,0.0,0.112
-0.011680000000000001,0.0,0.116
-0.01167,-0.008,0.112
-0.01166,-0.016,0.112
-0.01165,-0.008,0.116
-0.011640000000000001,-0.016,0.112
-0.011630000000000001,-0.024,0.112
-0.01162,-0.016,0.112
-0.01161,-0.024,0.112
-0.011600000000000001,-0.032,0.112
-0.011590000000000001,-0.032,0.112
-0.01158,-0.032,0.108
-0.01157,-0.032,0.112
-0.01156,-0.04,0.112
