t,V_out,V_R
-0.0125,0.004,0.28
-0.012490000000000001,0.004,0.28
-0.012480000000000002,0.006,0.28
-0.01247,0.002,0.28
-0.01246,0.006,0.32
-0.012450000000000001,0.006,0.32
-0.012440000000000001,0.002,0.36
-0.01243,0.006,0.36
-0.01242,0.002,0.36
-0.012410000000000001,0.002,0.4
-0.012400000000000001,0.002,0.4
-0.01239,0.002,0.4
-0.01238,0.006,0.4
-0.01237,0.0,0.4
-0.012360000000000001,0.004,0.44
-0.01235,0.002,0.44
-0.01234,0.004,0.48
-0.01233,0.002,0.48
-0.012320000000000001,0.002,0.48
-0.012310000000000001,0.006,0.48
-0.0123,0.004,0.48
-0.01229,0.002,0.52
-0.012280000000000001,0.006,0.52
-0.012270000000000001,0.004,0.52
-0.01226,0.002,0.56
-0.01225,0.006,0.56
-0.012240000000000001,0.0,0.56
-0.012230000000000001,0.004,0.56
-0.01222,0.002,0.56
-0.01221,0.006,0.6
-0.0122,0.004,0.6
-0.012190000000000001,0.002,0.6
-0.01218,0.006,0.6
-0.01217,0.002,0.64
-0.01216,0.004,0.64
-0.012150000000000001,0.006,0.64
-0.012140000000000001,0.004,0.68
-0.01213,0.004,0.68
-0.01212,0.002,0.68
-0.012110000000000001,0.002,0.72
-0.012100000000000001,0.006,0.68
-0.01209,0.002,0.76
-0.01208,0.002,0.76
-0.01207,0.004,0.72
-0.012060000000000001,0.004,0.76
-0.01205,0.0,0.76
-0.01204,0.004,0.76
-0.01203,0.004,0.8
-0.012020000000000001,0.004,0.8
-0.01201,0.006,0.8
-0.012,0.002,0.8
-0.01199,0.004,0.8
-0.011980000000000001,0.006,0.84
-0.011970000000000001,0.002,0.84
-0.01196,0.004,0.84
-0.01195,0.002,0.84
-0.011940000000000001,0.002,0.88
-0.011930000000000001,0.006,0.88
-0.01192,0.002,0.88
-0.01191,0.002,0.88
-0.0119,0.006,0.88
-0.011890000000000001,0.002,0.92
-0.01188,0.002,0.92
-0.01187,0.006,0.92
-0.01186,0.004,0.96
-0.011850000000000001,0.002,0.96
-0.01184,0.004,0.96
-0.01183,-0.002,0.96
-0.01182,0.002,0.96
-0.011810000000000001,0.006,0.96
-0.011800000000000001,0.002,1.0
-0.01179,0.0,0.96
-0.01178,0.002,1.0
-0.011770000000000001,0.002,1.0
-0.011760000000000001,0.002,1.0
-0.01175,0.004,1.0
-0.01174,0.002,1.0
-0.01173,0.0,1.0
-0.011720000000000001,0.004,1.0
-0.01171,0.0,1.04
-0.0117,-0.002,1.04
-0.01169,0.004,1.04
-0.011680000000000001,0.002,1.04
-0.01167,0.002,1.04
-0.01166,0.006,1.04
-0.01165,0.004,1.04
-0.011640000000000001,0.0,1.08
-0.011630000000000001,0.0,1.04
-0.01162,0.006,1.08
-0.01161,0.004,1.08
-0.011600000000000001,0.002,1.08
-0.011590000000000001,0.002,1.08
-0.01158,0.006,1.12
-0.01157,0.002,1.12
-0.01156,0.002,1.12
-0.011550000000000001,0.004,1.12
-0.01154,-0.002,1.12
-0.01153,0.006,1.16
-0.01152,0.004,1.16
-0.011510000000000001,0.0,1.16
-0.0115,0.0,1.16
-0.01149,0.006,1.16
-0.01148,0.0,1.16
-0.011470000000000001,0.0,1.16
-0.011460000000000001,0.002,1.16
-0.01145,0.002,1.16
-0.01144,0.0,1.16
-0.011430000000000001,0.002,1.2
-0.011420000000000001,0.004,1.16
-0.01141,0.0,1.2
-0.0114,0.0,1.2
-0.01139,0.002,1.16
-0.011380000000000001,0.0,1.2
-0.01137,0.002,1.2
-0.01136,0.002,1.2
-0.01135,0.002,1.2
-0.011340000000000001,-0.002,1.2
-0.01133,0.002,1.2
-0.01132,0.004,1.2
-0.01131,-0.002,1.2
-0.011300000000000001,-0.002,1.2
-0.011290000000000001,0.004,1.16
-0.01128,0.002,1.2
-0.01127,-0.002,1.2
-0.011260000000000001,0.0,1.2
-0.011250000000000001,0.002,1.2
-0.01124,0.0,1.2
-0.01123,0.0,1.2
-0.01122,0.004,1.2
-0.011210000000000001,0.002,1.2
-0.0112,-0.002,1.2
-0.01119,0.002,1.2
-0.01118,0.002,1.2
-0.011170000000000001,-0.002,1.24
-0.01116,-0.004,1.2
-0.01115,0.002,1.2
-0.01114,0.002,1.2
-0.011130000000000001,-0.002,1.2
-0.011120000000000001,0.004,1.2
-0.01111,0.0,1.24
-0.0111,0.0,1.24
-0.011090000000000001,0.002,1.2
