t,V_out,V_R
-0.05,3.4000000000000004,-5.800000000000001
-0.049960000000000004,3.6,-5.800000000000001
-0.049920000000000006,3.4000000000000004,-5.800000000000001
-0.04988,3.6,-5.800000000000001
-0.04984,3.6,-5.800000000000001
-0.049800000000000004,3.4000000000000004,-5.800000000000001
-0.049760000000000006,3.4000000000000004,-5.800000000000001
-0.04972,3.6,-5.800000000000001
-0.04968,3.6,-5.800000000000001
-0.049640000000000004,3.6,-6.0
-0.049600000000000005,3.6,-5.800000000000001
-0.04956,3.6,-6.0
-0.04952,3.4000000000000004,-6.0
-0.04948,3.4000000000000004,-6.0
-0.049440000000000005,3.6,-6.0
-0.0494,3.4000000000000004,-6.0
-0.04936,3.4000000000000004,-6.0
-0.04932,3.4000000000000004,-6.0
-0.049280000000000004,3.4000000000000004,-6.0
-0.049240000000000006,3.4000000000000004,-6.0
-0.0492,3.4000000000000004,-6.0
-0.04916,3.4000000000000004,-6.0
-0.049120000000000004,3.4000000000000004,-6.0
-0.049080000000000006,3.4000000000000004,-6.0
-0.04904,3.4000000000000004,-6.0
-0.049,3.4000000000000004,-6.0
-0.048960000000000004,3.4000000000000004,-6.2
-0.048920000000000005,3.4000000000000004,-6.0
-0.04888,3.4000000000000004,-6.2
-0.04884,3.4000000000000004,-6.2
-0.0488,3.4000000000000004,-6.2
-0.048760000000000005,3.4000000000000004,-6.2
-0.04872,3.4000000000000004,-6.2
-0.04868,3.4000000000000004,-6.2
-0.04864,3.4000000000000004,-6.2
-0.048600000000000004,3.4000000000000004,-6.2
-0.048560000000000006,3.4000000000000004,-6.2
-0.04852,3.4000000000000004,-6.2
-0.04848,3.2,-6.2
-0.048440000000000004,3.4000000000000004,-6.2
-0.048400000000000006,3.4000000000000004,-6.2
-0.04836,3.4000000000000004,-6.2
-0.04832,3.2,-6.2
-0.04828,3.2,-6.2
-0.048240000000000005,3.2,-6.2
-0.0482,3.2,-6.2
-0.04816,3.2,-6.2
-0.04812,3.4000000000000004,-6.2
-0.048080000000000005,3.2,-6.2
-0.04804,3.2,-6.2
