t,V_out,V_R
-0.05,9.0,0.6000000000000001
-0.049960000000000004,9.0,0.6000000000000001
-0.049920000000000006,9.200000000000001,0.6000000000000001
-0.04988,9.200000000000001,0.6000000000000001
-0.04984,9.0,0.6000000000000001
-0.049800000000000004,9.0,0.6000000000000001
-0.049760000000000006,9.0,0.6000000000000001
-0.04972,9.0,0.4
-0.04968,9.0,0.4
-0.049640000000000004,9.0,0.4
-0.049600000000000005,9.0,0.4
-0.04956,9.0,0.4
-0.04952,8.8,0.4
-0.04948,9.0,0.2
-0.049440000000000005,9.0,0.2
-0.0494,9.0,0.0
-0.04936,9.0,0.2
-0.04932,9.0,0.0
-0.049280000000000004,9.0,0.0
-0.049240000000000006,9.0,0.0
-0.0492,9.0,0.0
-0.04916,9.0,-0.2
-0.049120000000000004,9.0,0.0
-0.049080000000000006,9.0,-0.2
-0.04904,9.0,-0.2
-0.049,9.0,-0.2
-0.048960000000000004,9.0,-0.4
-0.048920000000000005,9.0,-0.2
-0.04888,9.0,-0.4
-0.04884,9.0,-0.4
-0.0488,9.0,-0.4
-0.048760000000000005,9.0,-0.4
-0.04872,9.0,-0.6000000000000001
-0.04868,9.0,-0.4
-0.04864,9.0,-0.6000000000000001
-0.048600000000000004,9.0,-0.6000000000000001
-0.048560000000000006,9.200000000000001,-0.6000000000000001
-0.04852,9.0,-0.6000000000000001
-0.04848,9.0,-0.8
-0.048440000000000004,9.0,-0.8
-0.048400000000000006,9.0,-1.0
-0.04836,9.0,-0.8
-0.04832,9.0,-1.0
-0.04828,9.0,-1.0
-0.048240000000000005,9.0,-1.0
-0.0482,9.0,-1.0
-0.04816,9.0,-1.0
-0.04812,9.0,-1.0
-0.048080000000000005,9.0,-1.0
-0.04804,9.0,-1.2000000000000002
-0.048,9.0,-1.2000000000000002
-0.04796,9.200000000000001,-1.2000000000000002
-0.047920000000000004,9.0,-1.2000000000000002
-0.047880000000000006,9.200000000000001,-1.4000000000000001
-0.04784,9.0,-1.4000000000000001
-0.0478,9.0,-1.4000000000000001
-0.047760000000000004,9.0,-1.4000000000000001
-0.047720000000000005,9.0,-1.4000000000000001
-0.04768,9.0,-1.4000000000000001
-0.04764,9.0,-1.4000000000000001
-0.0476,9.0,-1.4000000000000001
-0.047560000000000005,9.200000000000001,-1.6
-0.04752,9.0,-1.6
-0.04748,9.0,-1.6
-0.04744,9.0,-1.6
-0.047400000000000005,9.0,-1.8
-0.04736,9.0,-1.8
-0.04732,9.200000000000001,-1.8
-0.04728,9.0,-1.8
-0.047240000000000004,9.0,-1.8
-0.047200000000000006,9.0,-1.8
-0.04716,9.0,-2.0
-0.04712,9.0,-2.0
-0.047080000000000004,9.0,-2.0
-0.047040000000000005,9.0,-2.0
-0.047,9.0,-2.2
-0.04696,9.0,-2.2
-0.04692,9.0,-2.2
-0.046880000000000005,9.0,-2.4000000000000004
-0.04684,9.0,-2.2
-0.0468,9.200000000000001,-2.2
-0.04676,9.0,-2.4000000000000004
-0.046720000000000005,9.0,-2.4000000000000004
-0.04668,9.0,-2.4000000000000004
-0.04664,9.0,-2.4000000000000004
-0.0466,9.0,-2.4000000000000004
-0.046560000000000004,9.200000000000001,-2.4000000000000004
-0.046520000000000006,9.0,-2.4000000000000004
-0.04648,9.0,-2.4000000000000004
-0.04644,9.0,-2.6
-0.046400000000000004,9.0,-2.6
-0.046360000000000005,9.200000000000001,-2.6
-0.04632,9.0,-2.8000000000000003
-0.04628,9.0,-2.8000000000000003
-0.04624,9.0,-2.8000000000000003
-0.046200000000000005,9.0,-2.8000000000000003
-0.04616,9.0,-2.8000000000000003
-0.04612,9.0,-2.8000000000000003
-0.04608,9.0,-2.8000000000000003
-0.046040000000000005,9.0,-3.0
-0.046,9.0,-2.8000000000000003
-0.04596,9.0,-3.0
-0.04592,9.0,-3.0
-0.045880000000000004,9.0,-3.0
-0.045840000000000006,9.0,-3.0
-0.0458,9.200000000000001,-3.0
-0.04576,9.200000000000001,-3.0
-0.045720000000000004,9.0,-3.0
-0.045680000000000005,9.0,-3.0
-0.04564,9.0,-3.2
-0.0456,9.0,-3.2
-0.04556,9.0,-3.2
-0.045520000000000005,9.0,-3.2
-0.04548,9.0,-3.2
-0.04544,9.0,-3.2
-0.0454,9.0,-3.2
-0.045360000000000004,9.0,-3.4000000000000004
-0.04532,9.0,-3.4000000000000004
-0.04528,9.0,-3.4000000000000004
-0.04524,9.0,-3.4000000000000004
-0.045200000000000004,9.0,-3.4000000000000004
-0.045160000000000006,9.0,-3.4000000000000004
-0.04512,9.200000000000001,-3.6
-0.04508,9.0,-3.6
-0.045040000000000004,9.0,-3.6
-0.045000000000000005,9.0,-3.6
-0.04496,9.0,-3.6
-0.04492,9.200000000000001,-3.6
-0.04488,9.0,-3.8000000000000003
-0.044840000000000005,9.0,-3.8000000000000003
-0.0448,9.0,-3.8000000000000003
-0.04476,9.200000000000001,-3.8000000000000003
-0.04472,9.0,-3.8000000000000003
-0.044680000000000004,9.200000000000001,-3.8000000000000003
-0.04464,9.200000000000001,-3.8000000000000003
-0.0446,9.0,-3.8000000000000003
-0.04456,9.200000000000001,-4.0
-0.044520000000000004,9.0,-3.8000000000000003
-0.044480000000000006,9.0,-3.8000000000000003
-0.04444,9.200000000000001,-3.8000000000000003
-0.0444,9.0,-4.0
-0.044360000000000004,9.0,-4.0
-0.044320000000000005,9.0,-4.2
-0.04428,9.200000000000001,-4.0
-0.04424,9.200000000000001,-4.0
-0.0442,9.200000000000001,-4.0
-0.044160000000000005,9.0,-4.2
-0.04412,9.0,-4.2
