t,V_out,V_R
-0.05,2.4000000000000004,-6.2
-0.049960000000000004,2.4000000000000004,-6.2
-0.049920000000000006,2.4000000000000004,-6.2
-0.04988,2.4000000000000004,-6.0
-0.04984,2.4000000000000004,-6.0
-0.049800000000000004,2.4000000000000004,-6.0
-0.049760000000000006,2.4000000000000004,-6.0
-0.04972,2.4000000000000004,-6.0
-0.04968,2.4000000000000004,-6.0
-0.049640000000000004,2.4000000000000004,-6.0
-0.049600000000000005,2.4000000000000004,-6.2
-0.04956,2.4000000000000004,-6.0
-0.04952,2.4000000000000004,-6.0
-0.04948,2.4000000000000004,-6.0
-0.049440000000000005,2.4000000000000004,-6.0
-0.0494,2.4000000000000004,-6.0
-0.04936,2.4000000000000004,-6.0
-0.04932,2.4000000000000004,-6.0
-0.049280000000000004,2.2,-5.800000000000001
-0.049240000000000006,2.4000000000000004,-5.800000000000001
-0.0492,2.4000000000000004,-5.800000000000001
-0.04916,2.4000000000000004,-5.800000000000001
-0.049120000000000004,2.4000000000000004,-5.800000000000001
-0.049080000000000006,2.4000000000000004,-5.800000000000001
-0.04904,2.4000000000000004,-5.800000000000001
-0.049,2.4000000000000004,-5.800000000000001
-0.048960000000000004,2.4000000000000004,-5.800000000000001
-0.048920000000000005,2.4000000000000004,-5.800000000000001
-0.04888,2.4000000000000004,-5.800000000000001
-0.04884,2.2,-5.800000000000001
-0.0488,2.2,-5.6000000000000005
-0.048760000000000005,2.2,-5.6000000000000005
-0.04872,2.2,-5.6000000000000005
-0.04868,2.4000000000000004,-5.6000000000000005
-0.04864,2.2,-5.6000000000000005
-0.048600000000000004,2.2,-5.6000000000000005
-0.048560000000000006,2.2,-5.6000000000000005
-0.04852,2.4000000000000004,-5.6000000000000005
-0.04848,2.2,-5.6000000000000005
-0.048440000000000004,2.2,-5.6000000000000005
-0.048400000000000006,2.2,-5.6000000000000005
-0.04836,2.2,-5.6000000000000005
-0.04832,2.2,-5.6000000000000005
-0.04828,2.2,-5.4
-0.048240000000000005,2.2,-5.4
-0.0482,2.4000000000000004,-5.4
-0.04816,2.2,-5.4
-0.04812,2.2,-5.4
-0.048080000000000005,2.2,-5.4
-0.04804,2.2,-5.4
-0.048,2.2,-5.2
-0.04796,2.2,-5.2
-0.047920000000000004,2.2,-5.2
-0.047880000000000006,2.2,-5.2
-0.04784,2.2,-5.2
-0.0478,2.2,-5.2
-0.047760000000000004,2.2,-5.2
-0.047720000000000005,2.2,-5.0
-0.04768,2.2,-5.2
-0.04764,2.2,-5.2
-0.0476,2.2,-5.0
-0.047560000000000005,2.2,-5.0
-0.04752,2.2,-5.0
-0.04748,2.2,-5.0
-0.04744,2.2,-5.0
-0.047400000000000005,2.2,-5.0
-0.04736,2.2,-5.0
-0.04732,2.2,-4.800000000000001
-0.04728,2.2,-4.800000000000001
-0.047240000000000004,2.2,-4.800000000000001
-0.047200000000000006,2.2,-4.800000000000001
-0.04716,2.0,-4.800000000000001
-0.04712,2.0,-4.800000000000001
-0.047080000000000004,2.0,-4.6000000000000005
-0.047040000000000005,2.0,-4.6000000000000005
-0.047,2.2,-4.6000000000000005
-0.04696,2.0,-4.6000000000000005
-0.04692,2.0,-4.6000000000000005
-0.046880000000000005,2.0,-4.6000000000000005
-0.04684,2.0,-4.6000000000000005
-0.0468,2.0,-4.6000000000000005
-0.04676,2.2,-4.4
-0.046720000000000005,2.0,-4.4
-0.04668,2.0,-4.4
-0.04664,2.0,-4.4
-0.0466,2.0,-4.2
-0.046560000000000004,2.0,-4.2
-0.046520000000000006,2.0,-4.2
-0.04648,2.0,-4.2
-0.04644,2.0,-4.2
-0.046400000000000004,2.0,-4.2
-0.046360000000000005,2.0,-4.2
-0.04632,2.0,-4.2
-0.04628,2.0,-4.0
-0.04624,2.0,-4.0
-0.046200000000000005,2.0,-4.0
-0.04616,2.0,-4.0
-0.04612,2.0,-3.8000000000000003
-0.04608,2.0,-3.8000000000000003
-0.046040000000000005,2.0,-3.8000000000000003
-0.046,2.0,-3.8000000000000003
-0.04596,2.0,-3.8000000000000003
