t,V_out,V_in
-0.372,1.512,0.18
-0.3718,1.512,0.18
-0.3716,1.512,0.18
-0.3714,1.512,0.18
-0.3712,1.512,0.2
-0.371,1.512,0.2
-0.3708,1.512,0.2
-0.3706,1.512,0.22
-0.3704,1.512,0.2
-0.3702,1.512,0.2
-0.37,1.512,0.24
-0.3698,1.512,0.22
-0.3696,1.512,0.22
-0.3694,1.512,0.24
-0.3692,1.512,0.22
-0.369,1.512,0.24
-0.3688,1.512,0.24
-0.3686,1.512,0.24
-0.3684,1.512,0.24
-0.36819999999999997,1.512,0.26
-0.368,1.512,0.26
-0.3678,1.512,0.26
-0.3676,1.512,0.26
-0.3674,1.512,0.26
-0.36719999999999997,1.512,0.26
-0.367,1.512,0.26
-0.3668,1.52,0.28
-0.3666,1.512,0.28
-0.3664,1.512,0.3
-0.36619999999999997,1.512,0.3
-0.366,1.512,0.3
-0.3658,1.512,0.28
-0.3656,1.512,0.3
-0.3654,1.512,0.3
-0.36519999999999997,1.512,0.3
-0.365,1.512,0.32
-0.3648,1.512,0.32
-0.3646,1.512,0.34
-0.3644,1.512,0.34
-0.3642,1.512,0.32
-0.364,1.512,0.36
-0.3638,1.512,0.34
-0.3636,1.512,0.36
-0.3634,1.512,0.36
-0.3632,1.512,0.34
-0.363,1.512,0.36
-0.3628,1.512,0.36
-0.3626,1.512,0.36
-0.3624,1.512,0.38
-0.3622,1.512,0.36
-0.362,1.512,0.38
-0.3618,1.512,0.38
-0.3616,1.512,0.38
-0.3614,1.512,0.4
-0.3612,1.512,0.4
-0.361,1.512,0.4
-0.3608,1.512,0.4
-0.3606,1.512,0.42
-0.3604,1.512,0.4
-0.3602,1.512,0.42
-0.36,1.512,0.42
-0.3598,1.512,0.42
-0.3596,1.512,0.4
-0.3594,1.512,0.42
-0.3592,1.512,0.42
-0.359,1.512,0.44
-0.3588,1.512,0.44
-0.3586,1.512,0.44
-0.3584,1.512,0.46
-0.3582,1.512,0.46
-0.358,1.512,0.46
-0.3578,1.512,0.46
-0.3576,1.512,0.46
-0.3574,1.512,0.46
-0.3572,1.512,0.48
-0.357,1.512,0.46
-0.3568,1.512,0.48
-0.3566,1.512,0.48
-0.3564,1.512,0.48
-0.3562,1.512,0.5
-0.356,1.512,0.5
-0.3558,1.512,0.5
-0.35559999999999997,1.512,0.5
-0.3554,1.512,0.52
-0.3552,1.512,0.5
-0.355,1.512,0.5
-0.3548,1.512,0.52
-0.35459999999999997,1.512,0.52
-0.3544,1.512,0.54
-0.3542,1.512,0.54
-0.354,1.512,0.54
-0.3538,1.512,0.54
-0.3536,1.512,0.56
-0.3534,1.512,0.54
-0.3532,1.512,0.56
-0.353,1.512,0.56
-0.3528,1.512,0.56
-0.3526,1.512,0.58
-0.3524,1.512,0.58
-0.3522,1.512,0.58
-0.352,1.504,0.58
-0.3518,1.504,0.6
