t,V_out,V_in
-0.000125,0.08,3.04
-0.0001249,0.04,3.04
-0.0001248,0.08,3.04
-0.0001247,0.08,3.04
-0.0001246,0.08,3.04
-0.0001245,0.12,3.04
-0.00012440000000000002,0.04,3.04
-0.0001243,0.04,2.96
-0.0001242,0.04,3.04
-0.0001241,0.08,3.04
-0.000124,0.08,2.96
-0.0001239,0.04,3.04
-0.0001238,0.08,2.96
-0.0001237,0.12,2.96
-0.0001236,0.08,3.04
-0.0001235,0.04,2.96
-0.0001234,0.08,3.04
-0.00012330000000000002,0.08,3.04
-0.0001232,0.08,3.12
-0.0001231,0.08,3.04
-0.000123,0.08,2.96
-0.0001229,0.08,2.96
-0.0001228,0.08,2.96
-0.0001227,0.04,3.04
-0.0001226,0.04,2.96
-0.0001225,0.08,3.04
-0.0001224,0.08,3.04
-0.0001223,0.12,3.04
-0.00012220000000000002,0.04,3.04
-0.0001221,0.08,3.04
-0.000122,0.08,3.04
-0.00012190000000000001,0.08,2.96
-0.0001218,0.04,2.96
-0.0001217,0.04,3.04
-0.0001216,0.04,2.96
-0.0001215,0.04,3.12
-0.0001214,0.08,3.04
-0.00012130000000000001,0.08,3.04
-0.0001212,0.12,2.96
-0.0001211,0.0,2.96
-0.000121,0.08,2.96
-0.0001209,0.08,3.04
-0.00012080000000000001,0.04,2.96
-0.0001207,0.08,3.04
-0.0001206,0.08,3.04
-0.0001205,0.08,2.96
-0.0001204,0.08,3.04
-0.0001203,0.12,3.04
-0.00012020000000000001,0.08,3.04
-0.0001201,0.08,3.12
-0.00012,0.08,3.04
-0.0001199,0.08,3.04
-0.0001198,0.04,3.04
-0.00011970000000000001,0.08,3.04
-0.00011960000000000001,0.08,2.96
-0.0001195,0.08,3.04
-0.0001194,0.08,3.12
-0.0001193,0.04,3.04
-0.0001192,0.08,3.04
-0.00011910000000000001,0.08,3.04
-0.000119,0.08,3.04
-0.0001189,0.08,3.04
-0.0001188,0.08,3.04
-0.0001187,0.08,3.12
-0.00011860000000000001,0.08,3.12
-0.00011850000000000001,0.04,2.96
-0.0001184,0.08,3.04
-0.0001183,0.04,3.04
-0.0001182,0.08,2.96
-0.0001181,0.12,3.04
-0.00011800000000000001,0.08,2.96
-0.0001179,0.04,3.04
-0.0001178,0.12,3.04
-0.0001177,0.08,3.04
-0.0001176,0.08,3.12
-0.00011750000000000001,0.08,3.12
-0.00011740000000000001,0.08,3.12
-0.0001173,0.08,3.04
-0.0001172,0.04,2.96
-0.0001171,0.12,2.96
-0.000117,0.08,3.04
-0.0001169,0.08,3.04
-0.0001168,0.08,3.04
-0.0001167,0.08,3.04
-0.0001166,0.08,3.04
-0.0001165,0.04,2.96
-0.00011640000000000001,0.04,2.96
-0.00011630000000000001,0.12,2.96
-0.0001162,0.08,3.04
-0.0001161,0.08,2.96
-0.000116,0.08,3.12
-0.0001159,0.04,2.96
-0.0001158,0.04,3.04
-0.00011570000000000001,0.08,2.96
-0.0001156,0.04,3.04
-0.0001155,0.08,2.96
-0.0001154,0.12,3.04
-0.0001153,0.04,2.96
-0.00011520000000000001,0.08,3.04
-0.0001151,0.08,3.04
-0.000115,0.08,3.04
-0.0001149,0.08,3.12
-0.0001148,0.08,3.04
-0.0001147,0.08,3.04
-0.00011460000000000001,0.12,3.04
-0.0001145,0.08,2.96
-0.0001144,0.04,3.04
-0.0001143,0.08,2.96
-0.0001142,0.08,3.04
-0.00011410000000000001,0.04,3.04
-0.000114,0.04,2.96
-0.0001139,0.12,3.12
-0.0001138,0.08,2.96
-0.0001137,0.04,3.04
-0.0001136,0.08,3.04
-0.00011350000000000001,0.08,3.04
-0.0001134,0.12,2.96
-0.0001133,0.12,3.04
-0.0001132,0.04,3.04
-0.0001131,0.04,2.88
-0.00011300000000000001,0.08,2.96
-0.0001129,0.08,3.04
-0.0001128,0.04,3.04
-0.0001127,0.12,3.04
-0.0001126,0.08,2.96
-0.0001125,0.04,3.04
-0.00011240000000000001,0.08,3.12
-0.0001123,0.08,2.96
-0.0001122,0.08,2.96
-0.0001121,0.08,2.96
-0.000112,0.04,2.96
-0.00011190000000000001,0.04,2.96
-0.00011180000000000001,0.04,3.04
-0.0001117,0.04,3.04
-0.0001116,0.08,3.04
-0.0001115,0.12,3.04
-0.0001114,0.04,2.96
-0.00011130000000000001,0.08,3.04
-0.0001112,0.04,3.04
-0.0001111,0.08,3.04
-0.000111,0.04,3.12
-0.0001109,0.08,3.04
-0.00011080000000000001,0.08,3.04
-0.00011070000000000001,0.12,3.04
-0.0001106,0.12,2.96
-0.0001105,0.08,3.04
-0.0001104,0.12,3.04
-0.0001103,0.12,3.04
-0.00011020000000000001,0.12,3.12
-0.0001101,0.08,2.96
-0.00011,0.12,3.04
-0.0001099,0.08,2.96
-0.0001098,0.04,3.04
-0.00010970000000000001,0.08,2.96
-0.00010960000000000001,0.04,3.04
-0.0001095,0.08,2.96
-0.0001094,0.04,2.96
-0.0001093,0.08,3.12
-0.0001092,0.04,3.04
-0.0001091,0.04,3.04
-0.000109,0.08,3.04
-0.0001089,0.12,3.04
-0.0001088,0.08,3.04
-0.0001087,0.0,3.04
-0.00010860000000000001,0.0,3.04
-0.00010850000000000001,0.12,3.04
-0.0001084,0.04,2.96
-0.0001083,0.08,3.04
-0.0001082,0.04,3.04
-0.0001081,0.08,3.04
-0.000108,0.04,2.96
-0.00010790000000000001,0.08,2.96
-0.0001078,0.08,3.12
-0.0001077,0.08,3.04
-0.0001076,0.08,3.12
-0.00010750000000000001,0.04,2.96
-0.00010740000000000001,0.12,3.04
-0.0001073,0.08,3.12
-0.0001072,0.08,2.96
-0.0001071,0.08,3.04
-0.000107,0.08,2.96
-0.0001069,0.08,2.96
-0.00010680000000000001,0.08,3.04
-0.0001067,0.04,3.04
-0.0001066,0.04,3.04
-0.0001065,0.08,3.04
-0.00010640000000000001,0.08,2.96
-0.00010630000000000001,0.08,3.04
-0.0001062,0.08,3.04
-0.0001061,0.08,2.96
-0.000106,0.04,3.04
-0.0001059,0.04,3.12
-0.0001058,0.08,3.12
-0.00010570000000000001,0.16,3.12
-0.0001056,0.08,3.04
-0.0001055,0.12,3.04
-0.0001054,0.08,2.96
-0.00010530000000000001,0.08,3.12
-0.00010520000000000001,0.08,2.96
-0.00010510000000000001,0.12,3.04
-0.000105,0.12,2.96
-0.0001049,0.08,3.04
-0.0001048,0.12,3.04
-0.0001047,0.08,3.04
-0.00010460000000000001,0.08,3.04
-0.0001045,0.08,3.04
-0.0001044,0.12,2.96
-0.0001043,0.04,3.04
-0.00010420000000000001,0.08,3.12
-0.00010410000000000001,0.04,3.04
-0.00010400000000000001,0.08,3.04
-0.0001039,0.08,3.04
-0.0001038,0.04,3.04
-0.0001037,0.08,2.96
-0.0001036,0.04,0.08
-0.00010350000000000001,0.04,0.08
-0.0001034,0.08,0.16
-0.0001033,0.08,0.08
-0.0001032,0.04,0.08
-0.0001031,0.08,0.16
-0.00010300000000000001,0.12,0.08
-0.00010290000000000001,0.08,0.0
-0.0001028,0.08,0.08
-0.0001027,0.16,0.08
-0.0001026,0.2,0.08
-0.0001025,0.24,0.08
-0.0001024,0.32,0.0
-0.0001023,0.44,0.08
-0.0001022,0.52,0.08
-0.0001021,0.56,0.08
-0.000102,0.64,0.0
