t,V_out,V_in
-0.00025,1.4000000000000001,-0.1
-0.0002498,1.6,-0.08
-0.0002496,1.4000000000000001,-0.12
-0.0002494,1.6,-0.1
-0.0002492,1.4000000000000001,-0.1
-0.000249,1.6,-0.1
-0.00024880000000000003,1.6,-0.14
-0.0002486,1.8,-0.14
-0.0002484,1.8,-0.14
-0.0002482,1.8,-0.14
-0.000248,1.8,-0.14
-0.0002478,2.2,-0.14
-0.0002476,2.0,-0.16
-0.0002474,2.0,-0.14
-0.0002472,2.0,-0.18
-0.000247,2.2,-0.16
-0.0002468,2.0,-0.18
-0.00024660000000000003,2.0,-0.2
-0.0002464,2.2,-0.2
-0.0002462,2.4000000000000004,-0.18
-0.000246,2.4000000000000004,-0.18
-0.0002458,2.4000000000000004,-0.18
-0.0002456,2.4000000000000004,-0.2
-0.0002454,2.6,-0.2
-0.0002452,2.8000000000000003,-0.2
-0.000245,2.6,-0.22
-0.0002448,2.8000000000000003,-0.2
-0.0002446,2.8000000000000003,-0.22
-0.00024440000000000003,2.8000000000000003,-0.24
-0.0002442,2.6,-0.22
-0.000244,2.8000000000000003,-0.22
-0.00024380000000000002,2.8000000000000003,-0.24
-0.0002436,3.0,-0.26
-0.0002434,3.0,-0.24
-0.0002432,3.2,-0.24
-0.000243,3.0,-0.24
-0.0002428,3.2,-0.24
-0.00024260000000000002,3.2,-0.24
-0.0002424,3.0,-0.26
-0.0002422,3.2,-0.26
-0.000242,3.4000000000000004,-0.28
-0.0002418,3.2,-0.28
-0.00024160000000000002,3.4000000000000004,-0.26
-0.0002414,3.4000000000000004,-0.28
-0.0002412,3.2,-0.3
-0.000241,3.2,-0.28
-0.0002408,3.6,-0.32
-0.0002406,3.4000000000000004,-0.3
-0.00024040000000000002,3.8000000000000003,-0.32
-0.0002402,3.4000000000000004,-0.28
-0.00024,3.6,-0.3
-0.0002398,3.8000000000000003,-0.3
-0.0002396,3.8000000000000003,-0.3
-0.00023940000000000002,3.8000000000000003,-0.32
-0.00023920000000000001,3.8000000000000003,-0.32
-0.000239,3.8000000000000003,-0.32
-0.0002388,3.8000000000000003,-0.32
-0.0002386,4.0,-0.32
-0.0002384,3.8000000000000003,-0.32
-0.00023820000000000002,3.8000000000000003,-0.32
-0.000238,3.8000000000000003,-0.32
-0.0002378,4.0,-0.36
-0.0002376,4.0,-0.34
-0.0002374,3.8000000000000003,-0.32
-0.00023720000000000002,4.0,-0.34
-0.00023700000000000001,4.0,-0.34
-0.0002368,4.2,-0.34
-0.0002366,4.4,-0.34
-0.0002364,4.2,-0.36
-0.0002362,4.2,-0.36
-0.00023600000000000002,4.2,-0.36
-0.0002358,4.0,-0.34
-0.0002356,4.0,-0.36
-0.0002354,4.2,-0.36
-0.0002352,4.4,-0.34
-0.00023500000000000002,4.4,-0.38
-0.00023480000000000002,4.4,-0.36
-0.0002346,4.2,-0.38
-0.0002344,4.4,-0.38
-0.0002342,4.2,-0.36
-0.000234,4.0,-0.4
-0.0002338,4.6000000000000005,-0.38
-0.0002336,4.2,-0.36
-0.0002334,4.4,-0.4
-0.0002332,4.4,-0.38
-0.000233,4.4,-0.38
-0.00023280000000000002,4.4,-0.38
-0.00023260000000000002,4.6000000000000005,-0.4
-0.0002324,4.4,-0.4
-0.0002322,4.800000000000001,-0.4
-0.000232,4.4,-0.4
-0.0002318,4.6000000000000005,-0.38
-0.0002316,4.4,-0.38
-0.00023140000000000001,4.6000000000000005,-0.38
-0.0002312,4.6000000000000005,-0.38
-0.000231,4.800000000000001,-0.38
-0.0002308,4.6000000000000005,-0.38
-0.0002306,4.4,-0.38
-0.00023040000000000002,4.4,-0.4
-0.0002302,4.4,-0.4
-0.00023,4.6000000000000005,-0.4
-0.0002298,4.6000000000000005,-0.4
-0.0002296,4.4,-0.38
-0.0002294,4.6000000000000005,-0.38
-0.00022920000000000001,4.6000000000000005,-0.4
-0.000229,4.4,-0.38
