t,V_out,V_in
-0.025,-4.6000000000000005,0.5
-0.024980000000000002,-4.4,0.5
-0.024960000000000003,-4.4,0.52
-0.02494,-4.4,0.5
-0.02492,-4.4,0.52
-0.024900000000000002,-4.4,0.52
-0.024880000000000003,-4.4,0.5
-0.02486,-4.4,0.5
-0.02484,-4.4,0.52
-0.024820000000000002,-4.6000000000000005,0.5
-0.024800000000000003,-4.4,0.52
-0.02478,-4.4,0.5
-0.02476,-4.4,0.5
-0.02474,-4.6000000000000005,0.5
-0.024720000000000002,-4.4,0.5
-0.0247,-4.4,0.5
-0.02468,-4.4,0.5
-0.02466,-4.4,0.52
-0.024640000000000002,-4.4,0.52
-0.024620000000000003,-4.4,0.5
-0.0246,-4.4,0.5
-0.02458,-4.4,0.5
-0.024560000000000002,-4.4,0.5
-0.024540000000000003,-4.4,0.5
-0.02452,-4.4,0.52
-0.0245,-4.4,0.52
-0.024480000000000002,-4.4,0.52
-0.024460000000000003,-4.6000000000000005,0.5
-0.02444,-4.4,0.5
-0.02442,-4.4,0.5
-0.0244,-4.4,0.52
-0.024380000000000002,-4.4,0.52
-0.02436,-4.4,0.52
-0.02434,-4.4,0.5
-0.02432,-4.6000000000000005,0.5
-0.024300000000000002,-4.4,0.5
-0.024280000000000003,-4.6000000000000005,0.52
-0.02426,-4.4,0.5
-0.02424,-4.4,0.52
-0.024220000000000002,-4.4,0.5
-0.024200000000000003,-4.4,0.52
-0.02418,-4.6000000000000005,0.5
-0.02416,-4.4,0.5
-0.02414,-4.4,0.5
-0.024120000000000003,-4.4,0.52
-0.0241,-4.4,0.52
-0.02408,-4.4,0.52
-0.02406,-4.4,0.52
-0.024040000000000002,-4.4,0.5
-0.02402,-4.6000000000000005,0.5
-0.024,-4.4,0.52
-0.02398,-4.4,0.5
-0.023960000000000002,-4.4,0.52
-0.023940000000000003,-4.6000000000000005,0.52
-0.02392,-4.4,0.5
-0.0239,-4.4,0.5
-0.023880000000000002,-4.4,0.5
-0.023860000000000003,-4.6000000000000005,0.52
-0.02384,-4.4,0.5
-0.02382,-4.2,0.52
-0.0238,-4.4,0.52
-0.023780000000000003,-4.6000000000000005,0.5
-0.02376,-4.4,0.52
-0.02374,-4.4,0.5
-0.02372,-4.4,0.5
-0.023700000000000002,-4.4,0.5
-0.02368,-4.6000000000000005,0.52
-0.02366,-4.4,0.52
-0.02364,-4.4,0.52
-0.023620000000000002,-4.4,0.52
-0.023600000000000003,-4.4,0.5
-0.02358,-4.4,0.5
-0.02356,-4.4,0.52
-0.023540000000000002,-4.6000000000000005,0.52
-0.023520000000000003,-4.4,0.52
-0.0235,-4.4,0.5
-0.02348,-4.4,0.52
-0.02346,-4.4,0.5
-0.023440000000000003,-4.6000000000000005,0.52
-0.02342,-4.4,0.5
-0.0234,-4.4,0.52
-0.02338,-4.4,0.52
-0.023360000000000002,-4.6000000000000005,0.52
-0.02334,-4.4,0.52
-0.02332,-4.4,0.52
-0.0233,-4.6000000000000005,0.52
-0.023280000000000002,-4.6000000000000005,0.5
-0.023260000000000003,-4.4,0.5
-0.02324,-4.4,0.52
-0.02322,-4.4,0.5
-0.023200000000000002,-4.4,0.52
-0.023180000000000003,-4.4,0.5
-0.02316,-4.4,0.5
-0.02314,-4.4,0.5
-0.02312,-4.4,0.5
-0.023100000000000002,-4.6000000000000005,0.5
-0.02308,-4.4,0.52
-0.02306,-4.4,0.52
-0.02304,-4.6000000000000005,0.52
-0.023020000000000002,-4.4,0.5
-0.023,-4.4,0.52
-0.02298,-4.4,0.52
-0.02296,-4.6000000000000005,0.52
-0.022940000000000002,-4.4,0.52
-0.022920000000000003,-4.4,0.52
-0.0229,-4.4,0.52
-0.02288,-4.4,0.52
-0.022860000000000002,-4.4,0.52
-0.022840000000000003,-4.4,0.52
-0.02282,-4.4,0.5
-0.0228,-4.4,0.5
-0.02278,-4.4,0.52
-0.022760000000000002,-4.4,0.52
-0.02274,-4.4,0.52
-0.02272,-4.4,0.5
-0.0227,-4.4,0.52
-0.022680000000000002,-4.4,0.52
-0.02266,-4.4,0.5
-0.02264,-4.4,0.52
-0.02262,-4.6000000000000005,0.5
-0.022600000000000002,-4.4,0.5
-0.022580000000000003,-4.4,0.52
-0.02256,-4.6000000000000005,0.5
-0.02254,-4.4,0.52
-0.022520000000000002,-4.6000000000000005,0.52
-0.022500000000000003,-4.4,0.5
-0.02248,-4.6000000000000005,0.5
-0.02246,-4.4,0.5
-0.02244,-4.4,0.5
-0.022420000000000002,-4.4,0.52
-0.0224,-4.4,0.5
-0.02238,-4.2,0.5
-0.02236,-4.4,0.52
-0.022340000000000002,-4.4,0.52
-0.02232,-4.4,0.5
-0.0223,-4.4,0.52
-0.02228,-4.4,0.52
-0.022260000000000002,-4.4,0.5
-0.022240000000000003,-4.4,0.52
-0.02222,-4.4,0.52
-0.0222,-4.6000000000000005,0.52
-0.022180000000000002,-4.4,0.52
-0.022160000000000003,-4.4,0.5
-0.02214,-4.4,0.5
-0.02212,-4.4,0.52
-0.0221,-4.4,0.5
-0.022080000000000002,-4.4,0.52
-0.02206,-4.4,0.5
-0.02204,-4.4,0.52
-0.02202,-4.4,0.5
-0.022000000000000002,-4.2,0.5
-0.02198,-4.6000000000000005,0.5
-0.02196,-4.6000000000000005,0.5
-0.02194,-4.4,0.52
