t,V_out,V_in
-0.000125,-1.4000000000000001,0.18
-0.0001249,-1.6,0.18
-0.0001248,-1.6,0.18
-0.0001247,-1.6,0.14
-0.0001246,-1.4000000000000001,0.16
-0.0001245,-1.4000000000000001,0.12
-0.00012440000000000002,-1.2000000000000002,0.14
-0.0001243,-1.0,0.16
-0.0001242,-1.2000000000000002,0.12
-0.0001241,-1.0,0.12
-0.000124,-0.8,0.1
-0.0001239,-1.0,0.12
-0.0001238,-0.8,0.12
-0.0001237,-0.8,0.1
-0.0001236,-0.8,0.08
-0.0001235,-0.6000000000000001,0.1
-0.0001234,-0.6000000000000001,0.08
-0.00012330000000000002,-0.4,0.06
-0.0001232,-0.6000000000000001,0.04
-0.0001231,-0.6000000000000001,0.06
-0.000123,-0.2,0.04
-0.0001229,-0.2,0.04
-0.0001228,-0.4,0.04
-0.0001227,0.0,0.04
-0.0001226,0.0,0.04
-0.0001225,0.0,0.02
-0.0001224,-0.2,0.02
-0.0001223,0.0,0.0
-0.00012220000000000002,0.0,0.02
-0.0001221,0.0,-0.02
-0.000122,0.0,0.0
-0.00012190000000000001,0.4,0.0
-0.0001218,0.6000000000000001,0.0
-0.0001217,0.4,-0.02
-0.0001216,0.6000000000000001,-0.02
-0.0001215,0.6000000000000001,-0.04
-0.0001214,0.6000000000000001,-0.06
-0.00012130000000000001,0.8,-0.04
-0.0001212,1.0,-0.06
-0.0001211,1.0,-0.06
-0.000121,1.0,-0.08
-0.0001209,1.0,-0.08
-0.00012080000000000001,1.0,-0.1
-0.0001207,1.2000000000000002,-0.1
-0.0001206,1.0,-0.08
-0.0001205,1.2000000000000002,-0.08
-0.0001204,1.2000000000000002,-0.1
-0.0001203,1.6,-0.1
-0.00012020000000000001,1.4000000000000001,-0.14
-0.0001201,1.6,-0.12
-0.00012,1.6,-0.12
-0.0001199,1.6,-0.14
-0.0001198,1.8,-0.14
-0.00011970000000000001,1.6,-0.14
-0.00011960000000000001,2.0,-0.16
-0.0001195,2.0,-0.16
-0.0001194,2.0,-0.18
-0.0001193,2.2,-0.18
