t,V_out,V_R
-0.0025,0.8,7.0
-0.0024980000000000002,0.8,7.0
-0.002496,0.8,7.2
-0.002494,0.8,7.2
-0.002492,0.8,7.2
-0.00249,0.8,7.2
-0.002488,0.8,7.2
-0.002486,0.8,7.2
-0.002484,0.8,7.2
-0.0024820000000000003,0.8,7.4
-0.00248,0.8,7.4
-0.002478,0.8,7.4
-0.002476,0.8,7.4
-0.002474,0.8,7.4
-0.0024720000000000002,0.8,7.4
-0.00247,0.8,7.6000000000000005
-0.002468,0.8,7.6000000000000005
-0.002466,0.8,7.6000000000000005
-0.002464,0.8,7.6000000000000005
-0.002462,0.8,7.800000000000001
-0.00246,0.8,7.800000000000001
-0.002458,0.8,7.800000000000001
-0.002456,1.0,7.800000000000001
-0.002454,0.8,8.0
-0.002452,0.8,7.800000000000001
-0.00245,0.8,8.0
-0.002448,0.8,8.0
-0.0024460000000000003,0.8,8.0
-0.002444,0.8,8.0
-0.002442,1.0,8.200000000000001
-0.00244,0.8,8.200000000000001
-0.002438,0.8,8.200000000000001
-0.0024360000000000002,0.8,8.200000000000001
-0.002434,0.8,8.200000000000001
-0.002432,0.8,8.200000000000001
-0.00243,0.8,8.4
-0.002428,0.8,8.4
-0.002426,0.8,8.4
-0.002424,0.8,8.4
-0.002422,0.8,8.4
-0.0024200000000000003,0.8,8.4
-0.002418,0.8,8.6
-0.002416,1.0,8.6
-0.002414,0.8,8.6
-0.002412,0.8,8.6
-0.0024100000000000002,0.8,8.6
-0.002408,0.8,8.8
-0.002406,0.8,8.8
-0.002404,0.8,8.8
-0.002402,0.8,9.0
-0.0024000000000000002,0.8,9.0
-0.002398,1.0,9.0
-0.002396,1.0,9.0
-0.002394,1.0,9.200000000000001
-0.002392,1.0,9.200000000000001
-0.00239,0.8,9.200000000000001
-0.002388,0.8,9.200000000000001
-0.002386,0.8,9.200000000000001
-0.002384,0.8,9.4
-0.002382,0.8,9.4
-0.00238,0.8,9.4
-0.002378,0.8,9.4
-0.002376,0.8,9.4
-0.0023740000000000002,1.0,9.4
-0.002372,0.8,9.4
-0.00237,1.0,9.600000000000001
-0.002368,0.8,9.600000000000001
-0.002366,-7.4,-9.600000000000001
-0.002364,-7.4,-9.600000000000001
-0.002362,-7.4,-9.8
-0.00236,-7.4,-9.8
-0.002358,-7.4,-9.600000000000001
-0.002356,-7.4,-9.600000000000001
-0.002354,-7.4,-9.600000000000001
-0.002352,-7.4,-9.600000000000001
-0.00235,-7.4,-9.600000000000001
-0.0023480000000000003,-7.6000000000000005,-9.600000000000001
-0.002346,-7.4,-9.600000000000001
-0.002344,-7.4,-9.600000000000001
-0.002342,-7.4,-9.4
-0.00234,-7.4,-9.4
-0.0023380000000000002,-7.6000000000000005,-9.4
-0.002336,-7.4,-9.200000000000001
-0.002334,-7.4,-9.200000000000001
-0.002332,-7.4,-9.200000000000001
-0.00233,-7.4,-9.200000000000001
-0.002328,-7.4,-9.0
-0.002326,-7.6000000000000005,-9.200000000000001
-0.002324,-7.4,-9.0
-0.0023220000000000003,-7.4,-9.0
-0.00232,-7.4,-9.0
-0.002318,-7.4,-9.0
-0.002316,-7.4,-9.0
-0.002314,-7.4,-8.8
-0.0023120000000000003,-7.4,-8.8
-0.00231,-7.4,-8.8
-0.002308,-7.4,-8.8
-0.002306,-7.4,-8.8
-0.002304,-7.4,-8.6
-0.0023020000000000002,-7.4,-8.6
-0.0023,-7.6000000000000005,-8.6
-0.002298,-7.4,-8.6
-0.002296,-7.6000000000000005,-8.6
-0.002294,-7.4,-8.6
-0.002292,-7.4,-8.4
-0.00229,-7.4,-8.4
-0.002288,-7.4,-8.4
-0.002286,-7.6000000000000005,-8.4
-0.002284,-7.6000000000000005,-8.200000000000001
-0.002282,-7.4,-8.200000000000001
-0.00228,-7.4,-8.200000000000001
-0.002278,-7.4,-8.200000000000001
-0.0022760000000000002,-7.4,-8.200000000000001
-0.002274,-7.4,-8.200000000000001
-0.002272,-7.4,-8.0
-0.00227,-7.4,-8.0
-0.002268,-7.4,-8.0
-0.0022660000000000002,-7.4,-8.0
-0.002264,-7.4,-8.0
-0.002262,-7.4,-8.0
-0.00226,-7.6000000000000005,-7.800000000000001
-0.002258,-7.4,-7.800000000000001
-0.002256,-7.4,-7.800000000000001
-0.002254,-7.4,-7.6000000000000005
-0.002252,-7.4,-7.6000000000000005
-0.0022500000000000003,-7.4,-7.6000000000000005
-0.002248,-7.4,-7.6000000000000005
-0.002246,-7.6000000000000005,-7.6000000000000005
-0.002244,-7.4,-7.6000000000000005
-0.002242,-7.4,-7.6000000000000005
-0.0022400000000000002,-7.6000000000000005,-7.4
-0.002238,-7.6000000000000005,-7.6000000000000005
-0.002236,-7.4,-7.4
-0.002234,-7.4,-7.4
-0.002232,-7.4,-7.4
-0.00223,-7.2,-7.4
-0.002228,-7.4,-7.4
-0.002226,-7.2,-7.2
-0.0022240000000000003,-7.2,-7.2
-0.002222,-7.2,-7.2
-0.00222,-7.0,-7.0
-0.002218,-7.0,-7.2
-0.002216,-7.0,-7.0
-0.002214,-7.0,-7.0
-0.002212,-6.800000000000001,-7.0
-0.00221,-7.0,-7.0
-0.002208,-6.800000000000001,-7.0
-0.002206,-6.800000000000001,-6.800000000000001
-0.0022040000000000002,-6.800000000000001,-6.800000000000001
-0.002202,-6.800000000000001,-6.800000000000001
-0.0022,-6.800000000000001,-6.6000000000000005
-0.0021980000000000003,-6.6000000000000005,-6.6000000000000005
-0.002196,-6.6000000000000005,-6.6000000000000005
-0.002194,-6.6000000000000005,-6.6000000000000005
-0.002192,-6.6000000000000005,-6.6000000000000005
-0.00219,-6.6000000000000005,-6.6000000000000005
-0.002188,-6.4,-6.4
-0.002186,-6.4,-6.4
-0.002184,-6.4,-6.4
-0.002182,-6.4,-6.4
-0.00218,-6.2,-6.4
-0.0021780000000000002,-6.2,-6.4
-0.002176,-6.2,-6.2
-0.002174,-6.2,-6.2
-0.002172,-6.0,-6.2
-0.00217,-6.2,-6.2
-0.0021680000000000002,-6.0,-6.0
-0.002166,-6.0,-6.0
-0.002164,-6.0,-6.0
-0.002162,-6.0,-6.0
-0.00216,-6.0,-6.0
-0.002158,-5.800000000000001,-5.800000000000001
-0.002156,-5.800000000000001,-5.800000000000001
