t,V_R
-0.005,-3.2
-0.0049960000000000004,-3.2
-0.004992,-3.2
-0.004988,-3.2
-0.004984,-2.8000000000000003
-0.00498,-2.8000000000000003
-0.004976,-2.8000000000000003
-0.004972,-2.8000000000000003
-0.004968,26.0
-0.0049640000000000005,25.6
-0.00496,25.200000000000003
-0.004956,24.8
-0.004952,24.400000000000002
-0.004948,24.0
-0.0049440000000000005,23.6
-0.00494,23.200000000000003
-0.004936,22.8
-0.004932,22.400000000000002
-0.004928,22.0
-0.004924,22.0
-0.00492,21.6
-0.004916,21.200000000000003
-0.004912,20.8
-0.004908,20.400000000000002
-0.004904,20.0
-0.0049,20.0
-0.004896,19.6
-0.0048920000000000005,19.200000000000003
-0.004888,19.200000000000003
-0.004884,18.8
-0.00488,18.400000000000002
-0.004876,18.0
-0.0048720000000000005,18.0
-0.004868,17.2
-0.004864,17.6
-0.00486,17.2
-0.004856,16.8
-0.004852,16.400000000000002
-0.004848,16.400000000000002
-0.004844,16.0
-0.0048400000000000006,16.0
-0.004836,15.600000000000001
-0.004832,15.200000000000001
-0.004828,14.8
-0.004824,14.8
-0.0048200000000000005,14.4
-0.004816,14.4
-0.004812,14.0
-0.004808,14.0
-0.004804,13.600000000000001
-0.0048000000000000004,13.600000000000001
-0.004796,13.200000000000001
-0.004792,13.200000000000001
-0.004788,12.8
-0.004784,12.4
-0.00478,12.0
-0.004776,12.0
-0.004772,12.0
-0.004768,12.0
-0.004764,11.600000000000001
-0.00476,11.600000000000001
-0.004756,11.200000000000001
-0.004752,11.200000000000001
-0.0047480000000000005,10.8
-0.004744,10.8
-0.00474,10.4
-0.004736,10.4
-0.004732,10.0
-0.004728,9.600000000000001
-0.004724,9.600000000000001
-0.00472,9.200000000000001
-0.004716,9.200000000000001
-0.004712,9.200000000000001
-0.004708,9.200000000000001
-0.004704,8.8
-0.0047,8.8
-0.0046960000000000005,8.8
-0.004692,8.4
-0.004688,8.4
-0.004684,8.0
-0.00468,8.0
-0.0046760000000000005,7.6000000000000005
-0.004672,7.6000000000000005
-0.004668,7.6000000000000005
-0.004664,7.2
-0.00466,7.2
-0.004656,7.2
-0.004652,7.2
-0.004648,6.800000000000001
-0.0046440000000000006,6.800000000000001
-0.00464,6.4
-0.004636,6.4
-0.004632,6.4
-0.004628,6.4
-0.0046240000000000005,6.0
-0.00462,6.0
-0.004616,6.0
-0.004612,5.6000000000000005
-0.004608,5.6000000000000005
-0.0046040000000000005,5.6000000000000005
-0.0046,5.6000000000000005
-0.004596,5.6000000000000005
-0.004592,5.2
-0.004588,5.2
-0.004584,5.2
-0.00458,5.2
-0.004576,4.800000000000001
-0.004572,4.800000000000001
-0.004568,4.4
-0.004564,4.800000000000001
-0.00456,4.4
-0.004556,4.4
-0.0045520000000000005,4.4
-0.004548,4.0
-0.004544,4.0
-0.00454,4.0
-0.004536,4.0
-0.0045320000000000004,4.0
-0.004528,4.0
-0.004524,3.6
-0.00452,3.6
-0.004516,3.6
-0.004512,3.6
-0.004508,3.6
-0.004504,3.6
-0.0045000000000000005,3.2
-0.004496,3.2
-0.004492,3.2
-0.004488,3.2
-0.004484,3.2
-0.0044800000000000005,3.2
-0.004476,2.8000000000000003
-0.004472,2.8000000000000003
-0.004468,2.8000000000000003
-0.004464,2.4000000000000004
-0.00446,2.8000000000000003
-0.004456,2.8000000000000003
-0.004452,2.4000000000000004
-0.0044480000000000006,2.4000000000000004
-0.004444,2.8000000000000003
-0.00444,2.4000000000000004
-0.004436,2.4000000000000004
-0.004432,2.4000000000000004
-0.004428,2.4000000000000004
-0.004424,2.4000000000000004
-0.00442,2.4000000000000004
-0.004416,2.0
-0.004412,2.0
-0.0044080000000000005,2.0
-0.004404,2.0
-0.0044,2.0
-0.004396000000000001,2.0
-0.004392,2.0
-0.004388,2.0
-0.004384,2.0
-0.00438,2.0
-0.004376,2.0
-0.004372,2.0
-0.004368,1.6
-0.004364,1.6
-0.00436,1.6
-0.0043560000000000005,1.6
-0.004352,1.6
-0.004348,2.0
-0.004344,1.6
-0.00434,1.6
-0.0043360000000000004,1.6
-0.004332,1.6
-0.004328,1.6
-0.004324,1.6
-0.00432,1.6
-0.004316,1.6
-0.004312,1.6
-0.004308,1.6
-0.0043040000000000005,1.6
-0.0043,1.2000000000000002
-0.004296,1.2000000000000002
-0.004292,1.2000000000000002
-0.004288,1.2000000000000002
-0.0042840000000000005,1.2000000000000002
-0.00428,1.2000000000000002
-0.004276,1.6
-0.004272,1.2000000000000002
-0.004268,1.2000000000000002
-0.004264,1.6
-0.00426,1.2000000000000002
-0.004256,1.2000000000000002
-0.004252000000000001,1.2000000000000002
-0.004248,1.2000000000000002
-0.004244,1.2000000000000002
-0.00424,-27.6
-0.004236,-27.6
-0.004232,-26.8
-0.004228,-26.8
-0.004224,-26.0
-0.00422,-25.6
-0.004216,-25.200000000000003
-0.0042120000000000005,-24.8
-0.004208,-24.400000000000002
-0.004204,-24.0
-0.004200000000000001,-23.6
-0.004196,-23.200000000000003
-0.004192,-22.8
-0.004188,-22.400000000000002
-0.004184,-22.0
-0.00418,-21.6
-0.004176,-21.6
-0.004172,-20.8
-0.004168,-20.8
-0.004164,-20.400000000000002
-0.0041600000000000005,-20.0
-0.004156,-19.6
-0.004152,-19.200000000000003
-0.004148,-18.8
-0.004144,-18.400000000000002
-0.0041400000000000005,-18.0
-0.004136,-18.0
-0.004132,-17.6
-0.004128,-17.2
-0.004124,-17.2
-0.00412,-16.8
-0.004116,-16.400000000000002
-0.004112,-16.400000000000002
-0.0041080000000000005,-16.0
-0.004104,-15.600000000000001
-0.0041,-15.200000000000001
-0.004096,-15.200000000000001
-0.004092,-14.8
-0.0040880000000000005,-14.8
-0.004084,-14.4
-0.00408,-14.4
-0.004076,-14.0
-0.004072,-13.600000000000001
-0.0040680000000000004,-13.600000000000001
-0.004064,-13.200000000000001
-0.00406,-13.200000000000001
-0.004056000000000001,-12.8
-0.004052,-12.4
-0.004048,-12.4
-0.004044,-12.4
-0.00404,-12.0
-0.0040360000000000005,-11.600000000000001
-0.004032,-11.600000000000001
-0.004028,-11.200000000000001
-0.004024,-11.200000000000001
-0.00402,-10.8
-0.0040160000000000005,-10.8
-0.004012,-10.4
-0.004008,-10.4
-0.004004000000000001,-10.0
-0.004,-10.0
-0.003996,-10.0
-0.003992,-10.0
-0.003988,-9.600000000000001
-0.003984,-9.600000000000001
-0.00398,-9.200000000000001
-0.003976,-9.200000000000001
-0.003972,-8.8
-0.003968,-8.4
-0.0039640000000000005,-8.4
-0.00396,-8.4
-0.003956,-8.4
-0.003952000000000001,-8.0
-0.003948,-8.0
-0.0039440000000000005,-7.6000000000000005
-0.00394,-7.6000000000000005
-0.003936,-7.6000000000000005
-0.003932,-7.2
-0.003928,-7.2
-0.003924,-7.2
-0.00392,-6.800000000000001
-0.003916,-6.800000000000001
-0.0039120000000000005,-6.800000000000001
-0.003908,-6.4
-0.0039040000000000004,-6.4
-0.0039000000000000003,-6.4
-0.003896,-6.4
-0.003892,-6.0
-0.003888,-6.0
-0.0038840000000000003,-6.0
-0.00388,-5.6000000000000005
-0.003876,-5.6000000000000005
-0.0038720000000000004,-5.6000000000000005
-0.003868,-5.2
-0.0038640000000000002,-5.2
-0.00386,-5.2
-0.003856,-5.2
-0.0038520000000000004,-5.2
-0.003848,-5.2
-0.003844,-4.800000000000001
-0.00384,-4.800000000000001
-0.003836,-4.800000000000001
-0.0038320000000000003,-4.800000000000001
-0.0038280000000000002,-4.4
-0.003824,-4.4
-0.0038200000000000005,-4.4
-0.003816,-4.4
-0.0038120000000000003,-4.0
-0.003808,-4.0
-0.003804,-4.0
-0.0038000000000000004,-4.0
-0.003796,-4.0
-0.0037920000000000002,-4.0
-0.003788,-4.0
-0.003784,-3.6
-0.0037800000000000004,-3.6
-0.003776,-3.6
-0.003772,-3.2
-0.003768,-3.2
-0.003764,-3.6
-0.0037600000000000003,-3.2
-0.0037560000000000002,-3.2
-0.003752,-3.2
