t,V_R
-0.0025,4.4
-0.0024980000000000002,4.4
-0.002496,4.0
-0.002494,4.4
-0.002492,4.0
-0.00249,4.0
-0.002488,4.0
-0.002486,4.0
-0.002484,4.0
-0.0024820000000000003,4.0
-0.00248,4.0
-0.002478,4.0
-0.002476,4.0
-0.002474,4.0
-0.0024720000000000002,4.0
-0.00247,3.6
-0.002468,4.0
-0.002466,3.6
-0.002464,3.6
-0.002462,3.6
-0.00246,3.6
-0.002458,3.6
-0.002456,3.6
-0.002454,3.6
-0.002452,3.6
-0.00245,3.6
-0.002448,3.2
-0.0024460000000000003,3.6
-0.002444,3.2
-0.002442,3.6
-0.00244,3.2
-0.002438,3.2
-0.0024360000000000002,2.8000000000000003
-0.002434,3.2
-0.002432,3.2
-0.00243,3.2
-0.002428,2.8000000000000003
-0.002426,2.8000000000000003
-0.002424,3.2
-0.002422,2.8000000000000003
-0.0024200000000000003,3.2
-0.002418,2.8000000000000003
-0.002416,2.8000000000000003
-0.002414,2.8000000000000003
-0.002412,2.8000000000000003
-0.0024100000000000002,2.8000000000000003
-0.002408,2.8000000000000003
-0.002406,2.8000000000000003
-0.002404,2.8000000000000003
-0.002402,2.4000000000000004
-0.0024000000000000002,2.4000000000000004
-0.002398,2.4000000000000004
-0.002396,2.8000000000000003
-0.002394,2.8000000000000003
-0.002392,2.4000000000000004
-0.00239,2.8000000000000003
-0.002388,2.4000000000000004
-0.002386,2.8000000000000003
-0.002384,2.4000000000000004
-0.002382,2.4000000000000004
-0.00238,2.4000000000000004
-0.002378,2.4000000000000004
-0.002376,2.4000000000000004
-0.0023740000000000002,2.4000000000000004
-0.002372,2.4000000000000004
-0.00237,2.4000000000000004
-0.002368,2.4000000000000004
-0.002366,2.4000000000000004
-0.002364,2.4000000000000004
-0.002362,2.4000000000000004
-0.00236,2.0
-0.002358,2.4000000000000004
-0.002356,2.4000000000000004
-0.002354,2.4000000000000004
-0.002352,2.4000000000000004
-0.00235,2.0
-0.0023480000000000003,2.0
-0.002346,2.4000000000000004
-0.002344,2.4000000000000004
-0.002342,2.0
-0.00234,2.0
-0.0023380000000000002,2.0
-0.002336,2.0
-0.002334,2.0
-0.002332,2.0
-0.00233,2.0
-0.002328,2.0
-0.002326,2.0
-0.002324,2.0
-0.0023220000000000003,2.0
-0.00232,2.0
-0.002318,2.0
-0.002316,2.0
-0.002314,-26.8
-0.0023120000000000003,-26.400000000000002
-0.00231,-26.400000000000002
-0.002308,-26.0
-0.002306,-26.0
-0.002304,-25.6
-0.0023020000000000002,-25.6
-0.0023,-25.200000000000003
-0.002298,-25.200000000000003
-0.002296,-24.8
-0.002294,-24.400000000000002
-0.002292,-24.400000000000002
-0.00229,-24.0
-0.002288,-24.0
-0.002286,-23.6
-0.002284,-23.6
-0.002282,-23.200000000000003
-0.00228,-23.200000000000003
-0.002278,-22.8
-0.0022760000000000002,-22.8
-0.002274,-22.400000000000002
-0.002272,-22.400000000000002
-0.00227,-22.0
-0.002268,-22.0
-0.0022660000000000002,-22.0
-0.002264,-21.6
-0.002262,-21.200000000000003
-0.00226,-21.200000000000003
-0.002258,-20.8
-0.002256,-20.8
-0.002254,-20.8
-0.002252,-20.400000000000002
-0.0022500000000000003,-20.0
-0.002248,-20.400000000000002
-0.002246,-20.0
-0.002244,-19.6
-0.002242,-19.6
-0.0022400000000000002,-19.200000000000003
-0.002238,-19.200000000000003
-0.002236,-19.200000000000003
-0.002234,-18.8
-0.002232,-18.400000000000002
-0.00223,-18.400000000000002
-0.002228,-18.400000000000002
-0.002226,-18.400000000000002
-0.0022240000000000003,-18.0
-0.002222,-18.0
-0.00222,-18.0
-0.002218,-17.6
-0.002216,-17.6
-0.002214,-17.6
-0.002212,-17.2
-0.00221,-17.2
-0.002208,-16.8
-0.002206,-16.8
-0.0022040000000000002,-16.8
-0.002202,-16.400000000000002
-0.0022,-16.400000000000002
-0.0021980000000000003,-16.400000000000002
-0.002196,-16.0
-0.002194,-16.0
-0.002192,-16.0
-0.00219,-15.600000000000001
-0.002188,-15.600000000000001
-0.002186,-15.200000000000001
-0.002184,-15.200000000000001
-0.002182,-14.8
-0.00218,-14.8
-0.0021780000000000002,-14.8
-0.002176,-14.8
-0.002174,-14.4
-0.002172,-14.4
-0.00217,-14.0
-0.0021680000000000002,-14.0
-0.002166,-14.0
-0.002164,-14.0
-0.002162,-14.0
-0.00216,-13.600000000000001
-0.002158,-13.600000000000001
-0.002156,-13.200000000000001
-0.002154,-13.200000000000001
-0.0021520000000000003,-13.200000000000001
-0.00215,-13.200000000000001
-0.002148,-13.200000000000001
-0.002146,-12.8
-0.002144,-12.8
-0.0021420000000000002,-12.4
-0.00214,-12.4
-0.002138,-12.4
-0.002136,-12.4
-0.002134,-12.4
-0.002132,-12.0
-0.00213,-11.600000000000001
-0.002128,-11.600000000000001
-0.0021260000000000003,-11.600000000000001
-0.002124,-11.600000000000001
-0.002122,-11.600000000000001
-0.00212,-11.200000000000001
-0.002118,-11.200000000000001
-0.002116,-11.200000000000001
-0.002114,-10.8
-0.002112,-10.8
-0.00211,-10.8
-0.002108,-10.8
-0.0021060000000000002,-10.8
-0.002104,-10.4
-0.002102,-10.4
-0.0021000000000000003,-10.4
-0.002098,-10.4
-0.002096,-10.0
-0.002094,-10.0
-0.002092,-10.0
-0.00209,-10.0
-0.002088,-10.0
-0.002086,-9.600000000000001
-0.002084,-9.600000000000001
-0.002082,-9.600000000000001
-0.0020800000000000003,-9.200000000000001
-0.002078,-9.200000000000001
-0.002076,-9.200000000000001
-0.002074,-8.8
-0.002072,-8.8
-0.0020700000000000002,-9.200000000000001
-0.002068,-8.8
-0.002066,-8.8
-0.002064,-8.8
-0.002062,-8.8
-0.00206,-8.4
-0.002058,-8.4
-0.002056,-8.4
-0.0020540000000000003,-8.0
-0.002052,-8.0
-0.00205,-8.0
-0.002048,-8.0
-0.002046,-8.0
-0.0020440000000000002,-7.6000000000000005
-0.002042,-7.6000000000000005
-0.00204,-7.6000000000000005
-0.002038,-7.6000000000000005
-0.002036,-7.6000000000000005
-0.0020340000000000002,-7.6000000000000005
-0.002032,-7.2
-0.00203,-7.2
-0.0020280000000000003,-7.2
-0.002026,-7.6000000000000005
-0.002024,-7.2
-0.002022,-7.2
-0.00202,-6.800000000000001
-0.0020180000000000003,-6.800000000000001
-0.002016,-6.800000000000001
-0.002014,-6.800000000000001
-0.002012,-6.800000000000001
-0.00201,-6.800000000000001
-0.0020080000000000002,-6.4
-0.002006,-6.800000000000001
-0.002004,-6.4
-0.0020020000000000003,-6.4
-0.002,-6.4
-0.001998,-6.4
-0.001996,-6.0
-0.001994,-6.4
-0.001992,-6.4
-0.00199,-6.0
-0.001988,-6.0
-0.001986,-6.0
-0.001984,-5.6000000000000005
-0.0019820000000000003,-6.0
-0.00198,-6.0
