Freq.	V(out)
1.90000000000000e+00	(-4.29797409359383e-04dB,1.33002108299575e+00°)
1.94425668533343e+00	(-4.50052087719190e-04dB,1.31674547522455e+00°)
1.98954424129671e+00	(-4.71261238419059e-04dB,1.30316070366807e+00°)
2.03588667995145e+00	(-4.93469834579539e-04dB,1.28925957161355e+00°)
2.08330857267205e+00	(-5.16724967908952e-04dB,1.27503471504684e+00°)
2.13183506317373e+00	(-5.41075948442904e-04dB,1.26047859877907e+00°)
2.18149188084408e+00	(-5.66574408995391e-04dB,1.24558351248497e+00°)
2.23230535438511e+00	(-5.93274414513245e-04dB,1.23034156665052e+00°)
2.28430242577308e+00	(-6.21232576589433e-04dB,1.21474468842837e+00°)
2.33751066454352e+00	(-6.50508173346396e-04dB,1.19878461739863e+00°)
2.39195828240892e+00	(-6.81163274957658e-04dB,1.18245290123322e+00°)
2.44767414821695e+00	(-7.13262875080824e-04dB,1.16574089126164e+00°)
2.50468780325717e+00	(-7.46875028459788e-04dB,1.14863973793600e+00°)
2.56302947692414e+00	(-7.82070995010040e-04dB,1.13114038619311e+00°)
2.62273010274548e+00	(-8.18925390646088e-04dB,1.11323357071155e+00°)
2.68382133478323e+00	(-8.57516345237528e-04dB,1.09490981106142e+00°)
2.74633556441726e+00	(-8.97925667953079e-04dB,1.07615940674441e+00°)
2.81030593751959e+00	(-9.40239020390073e-04dB,1.05697243212202e+00°)
2.87576637202879e+00	(-9.84546097833004e-04dB,1.03733873122953e+00°)
2.94275157593371e+00	(-1.03094081902938e-03dB,1.01724791247326e+00°)
3.01129706567611e+00	(-1.07952152486748e-03dB,9.96689343208820e-01°)
3.08143918498197e+00	(-1.13039118639004e-03dB,9.75652144197809e-01°)
3.15321512413136e+00	(-1.18365762258110e-03dB,9.54125183940512e-01°)
3.22666293967731e+00	(-1.23943372835009e-03dB,9.32097072882050e-01°)
3.30182157462381e+00	(-1.29783771324647e-03dB,9.09556157489433e-01°)
3.37873087907395e+00	(-1.35899335135284e-03dB,8.86490514196940e-01°)
3.45743163135897e+00	(-1.42303024289450e-03dB,8.62887943217179e-01°)
3.53796555965945e+00	(-1.49008408815036e-03dB,8.38735962215206e-01°)
3.62037536413017e+00	(-1.56029697415952e-03dB,8.14021799843006e-01°)
3.70470473954028e+00	(-1.63381767491378e-03dB,7.88732389131645e-01°)
3.79099839844087e+00	(-1.71080196558851e-03dB,7.62854360738362e-01°)
3.87930209487210e+00	(-1.79141295149929e-03dB,7.36374036045858e-01°)
3.96966264862267e+00	(-1.87582141247628e-03dB,7.09277420111009e-01°)
4.06212797005424e+00	(-1.96420616336149e-03dB,6.81550194460226e-01°)
4.15674708550415e+00	(-2.05675443136022e-03dB,6.53177709728656e-01°)
4.25357016327984e+00	(-2.15366225108288e-03dB,6.24144978140433e-01°)
4.35264854025876e+00	(-2.25513487804799e-03dB,5.94436665827148e-01°)
4.45403474910785e+00	(-2.36138722150510e-03dB,5.64037084981734e-01°)
4.55778254613703e+00	(-2.47264429753593e-03dB,5.32930185844949e-01°)
