Freq.	V(out)
1.90000000000000e+00	(-4.37038369640757e-04dB,1.33001927817398e+00°)
1.94425668533343e+00	(-4.57293176268623e-04dB,1.31674362837170e+00°)
1.98954424129671e+00	(-4.78502461277133e-04dB,1.30315881380571e+00°)
2.03588667995145e+00	(-5.00711198078043e-04dB,1.28925763774054e+00°)
2.08330857267205e+00	(-5.23966478675556e-04dB,1.27503273613873e+00°)
2.13183506317373e+00	(-5.48317613414588e-04dB,1.26047657378763e+00°)
2.18149188084408e+00	(-5.73816235434857e-04dB,1.24558144033757e+00°)
2.23230535438511e+00	(-6.00516410031215e-04dB,1.23033944624965e+00°)
2.28430242577308e+00	(-6.28474749155460e-04dB,1.21474251865099e+00°)
2.33751066454352e+00	(-6.57750531295928e-04dB,1.19878239709560e+00°)
2.39195828240892e+00	(-6.88405827028135e-04dB,1.18245062922873e+00°)
2.44767414821695e+00	(-7.20505630416061e-04dB,1.16573856635256e+00°)
2.50468780325717e+00	(-7.54117996637627e-04dB,1.14863735889124e+00°)
2.56302947692414e+00	(-7.89314186057574e-04dB,1.13113795175300e+00°)
2.62273010274548e+00	(-8.26168815065638e-04dB,1.11323107958719e+00°)
2.68382133478323e+00	(-8.64760014020199e-04dB,1.09490726193397e+00°)
2.74633556441726e+00	(-9.05169592611764e-04dB,1.07615679826442e+00°)
2.81030593751959e+00	(-9.47483212977154e-04dB,1.05696976290874e+00°)
2.87576637202879e+00	(-9.91790570972691e-04dB,1.03733599987015e+00°)
2.94275157593371e+00	(-1.03818558593381e-03dB,1.01724511752221e+00°)
3.01129706567611e+00	(-1.08676659937515e-03dB,9.96686483186984e-01°)
3.08143918498197e+00	(-1.13763658299384e-03dB,9.75649217591787e-01°)
3.15321512413136e+00	(-1.19090335645074e-03dB,9.54122189201809e-01°)
3.22666293967731e+00	(-1.24667981537109e-03dB,9.32094008426278e-01°)
3.30182157462381e+00	(-1.30508417005457e-03dB,9.09553021695488e-01°)
3.37873087907395e+00	(-1.36624019536377e-03dB,8.86487305406155e-01°)
