Freq.	V(out)
1.90000000000000e+00	(-5.30321703087263e-02dB,-4.91442607205368e+00°)
1.94425668533343e+00	(-5.55157960683519e-02dB,-5.07193013698481e+00°)
1.98954424129671e+00	(-5.81149698208397e-02dB,-5.23301629622347e+00°)
2.03588667995145e+00	(-6.08349942536652e-02dB,-5.39776190089720e+00°)
2.08330857267205e+00	(-6.36814084595936e-02dB,-5.56624568181310e+00°)
2.13183506317373e+00	(-6.66599978166290e-02dB,-5.73854775296702e+00°)
2.18149188084408e+00	(-6.97768042185200e-02dB,-5.91474961330838e+00°)
2.23230535438511e+00	(-7.30381366609863e-02dB,-6.09493414655033e+00°)
2.28430242577308e+00	(-7.64505821897869e-02dB,-6.27918561889105e+00°)
2.33751066454352e+00	(-8.00210172155888e-02dB,-6.46758967447724e+00°)
2.39195828240892e+00	(-8.37566191996528e-02dB,-6.66023332841934e+00°)
2.44767414821695e+00	(-8.76648787134974e-02dB,-6.85720495716479e+00°)
2.50468780325717e+00	(-9.17536118749058e-02dB,-7.05859428603341e+00°)
2.56302947692414e+00	(-9.60309731615668e-02dB,-7.26449237371089e+00°)
2.62273010274548e+00	(-1.00505468601428e-01dB,-7.47499159344512e+00°)
2.68382133478323e+00	(-1.05185969339261e-01dB,-7.69018561076339e+00°)
2.74633556441726e+00	(-1.10081725574805e-01dB,-7.91016935740484e+00°)
2.81030593751959e+00	(-1.15202380868666e-01dB,-8.13503900126292e+00°)
2.87576637202879e+00	(-1.20557986808005e-01dB,-8.36489191203490e+00°)
2.94275157593371e+00	(-1.26159018023076e-01dB,-8.59982662230982e+00°)
3.01129706567611e+00	(-1.32016387543334e-01dB,-8.83994278381922e+00°)
3.08143918498197e+00	(-1.38141462477597e-01dB,-9.08534111850274e+00°)
3.15321512413136e+00	(-1.44546080002901e-01dB,-9.33612336414653e+00°)
3.22666293967731e+00	(-1.51242563639294e-01dB,-9.59239221418219e+00°)
3.30182157462381e+00	(-1.58243739789402e-01dB,-9.85425125140831e+00°)
3.37873087907395e+00	(-1.65562954512457e-01dB,-1.01218048751956e+01°)
3.45743163135897e+00	(-1.73214090503873e-01dB,-1.03951582219118e+01°)
