t,V1,V2
-0.05,-0.24,-3.7600000000000002
-0.049960000000000004,-0.24,-3.84
-0.049920000000000006,-0.32,-3.84
-0.04988,-0.32,-3.7600000000000002
-0.04984,-0.4,-3.7600000000000002
-0.049800000000000004,-0.4,-3.84
-0.049760000000000006,-0.48,-3.7600000000000002
-0.04972,-0.56,-3.7600000000000002
-0.04968,-0.56,-3.7600000000000002
-0.049640000000000004,-0.64,-3.7600000000000002
-0.049600000000000005,-0.64,-3.7600000000000002
-0.04956,-0.64,-3.7600000000000002
-0.04952,-0.72,-3.68
-0.04948,-0.8,-3.7600000000000002
-0.049440000000000005,-0.8,-3.68
-0.0494,-0.88,-3.68
-0.04936,-0.88,-3.68
-0.04932,-0.88,-3.6
-0.049280000000000004,-0.96,-3.6
-0.049240000000000006,-0.96,-3.6
-0.0492,-1.04,-3.6
-0.04916,-1.12,-3.6
-0.049120000000000004,-1.12,-3.52
-0.049080000000000006,-1.12,-3.52
-0.04904,-1.2,-3.52
-0.049,-1.2,-3.44
-0.048960000000000004,-1.28,-3.44
-0.048920000000000005,-1.36,-3.52
-0.04888,-1.36,-3.44
-0.04884,-1.44,-3.44
-0.0488,-1.44,-3.44
-0.048760000000000005,-1.44,-3.44
-0.04872,-1.52,-3.44
-0.04868,-1.6,-3.36
-0.04864,-1.6,-3.36
-0.048600000000000004,-1.6,-3.36
-0.048560000000000006,-1.6,-3.36
-0.04852,-1.68,-3.2800000000000002
-0.04848,-1.76,-3.2
-0.048440000000000004,-1.76,-3.2
-0.048400000000000006,-1.84,-3.2
-0.04836,-1.84,-3.2
-0.04832,-1.84,-3.12
-0.04828,-1.92,-3.12
-0.048240000000000005,-1.92,-3.12
-0.0482,-2.0,-3.04
-0.04816,-2.0,-3.04
-0.04812,-2.08,-3.04
-0.048080000000000005,-2.08,-2.96
-0.04804,-2.08,-2.88
-0.048,-2.16,-2.88
-0.04796,-2.16,-2.88
-0.047920000000000004,-2.16,-2.88
-0.047880000000000006,-2.16,-2.8000000000000003
-0.04784,-2.24,-2.8000000000000003
-0.0478,-2.32,-2.72
-0.047760000000000004,-2.32,-2.72
-0.047720000000000005,-2.4,-2.64
-0.04768,-2.4,-2.64
-0.04764,-2.4,-2.64
-0.0476,-2.48,-2.56
-0.047560000000000005,-2.48,-2.56
-0.04752,-2.48,-2.48
-0.04748,-2.48,-2.48
-0.04744,-2.56,-2.4
-0.047400000000000005,-2.56,-2.4
-0.04736,-2.64,-2.32
-0.04732,-2.64,-2.24
-0.04728,-2.64,-2.24
-0.047240000000000004,-2.72,-2.24
-0.047200000000000006,-2.72,-2.16
-0.04716,-2.72,-2.16
-0.04712,-2.72,-2.08
-0.047080000000000004,-2.72,-2.0
-0.047040000000000005,-2.72,-2.0
-0.047,-2.8000000000000003,-2.0
-0.04696,-2.8000000000000003,-1.92
-0.04692,-2.8000000000000003,-1.92
-0.046880000000000005,-2.88,-1.84
-0.04684,-2.88,-1.84
-0.0468,-2.88,-1.76
-0.04676,-2.96,-1.68
-0.046720000000000005,-2.96,-1.68
-0.04668,-2.96,-1.6
-0.04664,-2.96,-1.6
-0.0466,-2.96,-1.52
-0.046560000000000004,-3.04,-1.52
-0.046520000000000006,-3.04,-1.44
-0.04648,-3.04,-1.44
-0.04644,-3.04,-1.36
-0.046400000000000004,-3.04,-1.28
-0.046360000000000005,-3.12,-1.28
-0.04632,-3.12,-1.2
-0.04628,-3.12,-1.12
-0.04624,-3.12,-1.12
-0.046200000000000005,-3.2,-1.12
-0.04616,-3.12,-1.04
-0.04612,-3.2,-1.04
-0.04608,-3.12,-0.96
-0.046040000000000005,-3.2,-0.88
-0.046,-3.2,-0.88
-0.04596,-3.2,-0.8
-0.04592,-3.2,-0.72
-0.045880000000000004,-3.2,-0.72
-0.045840000000000006,-3.2800000000000002,-0.64
-0.0458,-3.2800000000000002,-0.64
-0.04576,-3.2800000000000002,-0.56
-0.045720000000000004,-3.2800000000000002,-0.56
-0.045680000000000005,-3.2800000000000002,-0.48
-0.04564,-3.2800000000000002,-0.4
-0.0456,-3.2800000000000002,-0.4
-0.04556,-3.2800000000000002,-0.32
-0.045520000000000005,-3.2800000000000002,-0.32
-0.04548,-3.2800000000000002,-0.24
-0.04544,-3.2800000000000002,-0.16
-0.0454,-3.2800000000000002,-0.16
-0.045360000000000004,-3.2800000000000002,0.0
