,t,V1,V2,V3
0,1.473336935043335,-0.000210228,-0.000307528,-1.6121111
1,2.9521424770355225,-0.000210175,-0.000267314,-1.8027274
2,4.421024560928345,-0.000210102,-0.000218158,-1.907845
3,5.889467716217041,-0.000210542,-0.00017741,-1.9703557
4,7.361298322677612,-0.000210301,-0.000146273,-2.0098798
5,8.833908557891846,-0.000210437,-0.000123648,-2.0362836
6,10.305098056793213,-0.000210249,-0.000105954,-2.0548241
7,11.772692680358887,-0.000210511,-9.2877e-05,-2.0684052
8,13.248714923858643,-0.000210385,-8.1559e-05,-2.0789198
9,14.724461793899536,-0.000210249,-7.3079e-05,-2.0873869
10,16.193777084350586,-0.000210542,-6.6535e-05,-2.0943634
11,17.660117387771606,-0.000210123,-5.9039e-05,-2.1002887
12,19.13235855102539,-0.000210228,-5.3134e-05,-2.1054193
13,20.605268716812134,-0.000210154,-4.7648e-05,-2.1099199
14,22.07891583442688,-0.000210081,-4.2842e-05,-2.1139668
15,23.54985737800598,-0.000210374,-3.8068e-05,-2.1176434
16,25.023545026779175,-0.000210238,-3.366e-05,-2.121029
17,26.49553680419922,-0.000210207,-2.9336e-05,-2.1242154
18,27.966540098190308,-0.000210123,-2.5243e-05,-2.1272224
19,29.430699825286865,-0.000210395,-2.1159e-05,-2.1300552
20,30.907958984375,-0.000209976,-1.7956e-05,-2.1327493
21,32.37608814239502,-0.000210133,-1.3684e-05,-2.1353224
22,33.84806561470032,-0.000210186,-1.0595e-05,-2.1377996
23,35.31524991989136,-0.000210081,-7.486e-06,-2.1401891
24,36.789676666259766,-0.000210039,-4.293e-06,-2.142467
25,38.260791301727295,-0.000210406,-1.173e-06,-2.1446636
26,39.72834897041321,-0.000210364,2.042e-06,-2.1467517
27,41.20664191246033,-0.000210825,4.764e-06,-2.1487616
28,42.673240184783936,-0.000210574,7.517e-06,-2.1506682
29,44.146188497543335,-0.000210532,1.0198e-05,-2.1524956
30,45.61793351173401,-0.000211014,1.2794e-05,-2.1542447
31,47.093111753463745,-0.000211234,1.537e-05,-2.1559302
32,48.5555624961853,-0.000210615,1.7725e-05,-2.157549
33,50.02650547027588,-0.000211213,2.0018e-05,-2.1590999
34,51.49838733673096,-0.000211213,2.2395e-05,-2.1605831
35,52.97257685661316,-0.000211349,2.4196e-05,-2.1620214
36,54.44523072242737,-0.000211202,2.6488e-05,-2.1634107
37,55.917065143585205,-0.000211139,2.8677e-05,-2.1647437
38,57.38731813430786,-0.000211234,3.0561e-05,-2.1660161
39,58.85792112350464,-0.000211129,3.254e-05,-2.1672333
40,60.327083349227905,-0.000211443,3.4487e-05,-2.168439
41,61.80535268783569,-0.000211077,3.6581e-05,-2.1695832
42,63.276633501052856,-0.000211318,3.7995e-05,-2.1706627
43,64.74906945228577,-0.000211077,4.0015e-05,-2.1717183
44,66.22069358825684,-0.000210689,4.1418e-05,-2.1727435
45,67.68583369255066,-0.000210972,4.2947e-05,-2.1737678
46,69.16092228889465,-0.000211443,4.4591e-05,-2.1747712
47,70.6295063495636,-0.000210689,4.6214e-05,-2.175738
48,72.10584139823914,-0.000211129,4.7648e-05,-2.176684
49,73.57649350166321,-0.000211056,4.9156e-05,-2.1776134
50,75.04978609085083,-0.000211024,5.0684e-05,-2.1785208
51,76.51910996437073,-0.000210846,5.2171e-05,-2.1793813
52,77.98320722579956,-0.000211118,5.3856e-05,-2.1802407
53,79.45790719985962,-0.000210731,5.527e-05,-2.1810668
54,80.92804980278015,-0.000210553,5.6516e-05,-2.1818605
55,82.4016661643982,-0.00021093,5.7856e-05,-2.1826553
56,83.86940431594849,-0.000210951,5.8913e-05,-2.1834553
57,85.34748315811157,-0.000211181,6.0358e-05,-2.1842062
58,86.81246066093445,-0.000211464,6.1782e-05,-2.1849676
59,88.28306198120117,-0.00021116,6.2662e-05,-2.1857186
60,89.75104451179504,-0.000211276,6.4358e-05,-2.1864529
61,91.22590732574463,-0.000211244,6.5876e-05,-2.1871517
62,92.69623494148254,-0.000211297,6.6703e-05,-2.1878338
