,t,V1,V2,V3
0,1.6344287395477295,-0.000142468,-0.000310261,2.3096e-05
1,3.200672149658203,-0.000142352,-0.000310638,2.2576e-05
2,4.76136326789856,-0.000142855,-0.000310638,2.2066e-05
3,6.321250677108765,-0.000142468,-0.000310282,2.267e-05
4,7.885226488113403,-0.000142321,-0.000310303,2.294e-05
5,9.452093362808228,-0.000142835,-0.000310743,2.3138e-05
6,11.010125398635864,-0.000142562,-0.000310565,2.3419e-05
7,12.58240532875061,-0.000142426,-0.000310418,2.3221e-05
8,14.140021085739136,-0.000142803,-0.000310743,2.2597e-05
9,15.70906400680542,-0.000142541,-0.000310606,2.2066e-05
10,17.265827417373657,-0.000142698,-0.000310701,2.2586e-05
11,18.82785654067993,-0.000142814,-0.000310512,2.0952e-05
12,20.391029834747314,-0.00014273,-0.000310711,2.0911e-05
13,21.962360858917236,-0.000143495,-0.000310533,2.2139e-05
14,23.526496648788452,-0.000143076,-0.000311046,2.2285e-05
15,25.08631134033203,-0.000143317,-0.000310554,2.2795e-05
16,26.652955055236816,-0.000142499,-0.000310743,2.2462e-05
17,28.214251279830933,-0.000142562,-0.000310575,2.1931e-05
18,29.776073694229126,-0.000143097,-0.000311004,2.2732e-05
19,31.344745635986328,-0.000143023,-0.00031091,2.2576e-05
20,32.902348041534424,-0.000143201,-0.000311004,2.2004e-05
21,34.47088122367859,-0.00014382,-0.000311119,2.1327e-05
22,36.03277635574341,-0.000142772,-0.000311109,2.191e-05
23,37.59721517562866,-0.00014273,-0.000311036,2.1535e-05
24,39.159234046936035,-0.000143233,-0.000310627,2.1358e-05
25,40.71744084358215,-0.000143076,-0.000310816,2.1816e-05
26,42.287174463272095,-0.000142227,-0.000310879,2.1379e-05
27,43.84940552711487,-0.0001423,-0.000311214,2.1608e-05
28,45.40779423713684,-0.000142814,-0.000310491,2.1577e-05
29,46.97848701477051,-0.000142981,-0.000310627,2.165e-05
30,48.538586139678955,-0.000142709,-0.000311318,2.1494e-05
31,50.09664559364319,-0.000143065,-0.000311046,2.2076e-05
32,51.660887718200684,-0.000143264,-0.000311119,2.1244e-05
33,53.229812145233154,-0.000143296,-0.000310784,2.1327e-05
34,54.79182267189026,-0.000143432,-0.00031135,2.216e-05
35,56.3559136390686,-0.00014318,-0.0003109,2.1556e-05
36,57.92123007774353,-0.000142824,-0.000311507,2.1608e-05
37,59.47986388206482,-0.000142908,-0.000311318,2.1983e-05
38,61.04326105117798,-0.000143872,-0.000311591,2.2285e-05
39,62.60709738731384,-0.000143348,-0.000311371,2.1556e-05
40,64.16800117492676,-0.000143882,-0.00031157,2.1067e-05
41,65.73705196380615,-0.000143526,-0.000311653,2.1723e-05
42,67.29867458343506,-0.000143484,-0.000311591,2.0838e-05
43,68.86030554771423,-0.000143317,-0.00031179,2.1317e-05
44,70.42913794517517,-0.000143966,-0.000311517,2.1712e-05
45,71.99629807472229,-0.000144071,-0.000311842,2.1494e-05
46,73.550288438797,-0.000143736,-0.000311957,2.1285e-05
47,75.11537718772888,-0.000143715,-0.000312041,2.1556e-05
48,76.67977476119995,-0.000143662,-0.000311852,2.1983e-05
49,78.24386978149414,-0.000143872,-0.000312009,2.1285e-05
50,79.80451989173889,-0.00014382,-0.000312083,2.115e-05
51,81.37405562400818,-0.000144375,-0.000311926,2.1213e-05
52,82.93227982521057,-0.000144197,-0.00031203,2.0661e-05
53,84.50443935394287,-0.000144113,-0.000311936,2.0973e-05
54,86.06587600708008,-0.000144165,-0.000311999,2.1119e-05
55,87.62304759025574,-0.000144532,-0.000311884,2.1546e-05
56,89.1878559589386,-0.000144019,-0.000312166,2.1296e-05
57,90.75705409049988,-0.000144092,-0.000312585,2.1587e-05
58,92.3159339427948,-0.000144176,-0.00031225,2.1556e-05
59,93.88139343261719,-0.000144637,-0.000312166,2.0932e-05
60,95.44509863853455,-0.000144186,-0.000312313,2.1077e-05
61,97.00743317604065,-0.000144679,-0.000312355,2.1723e-05
62,98.57421064376831,-0.000144354,-0.000312344,2.1483e-05
63,100.13742589950562,-0.000144868,-0.00031247,2.1088e-05
