,t,V1,V2,V3
0,1.5202441215515137,-2.546e-06,0.000256478,-0.37926996
1,3.0406720638275146,9.725e-06,0.000228628,-0.20235331
2,4.559619903564453,1.8004e-05,0.000208851,-0.11590588
3,6.1004958152771,2.3369e-05,0.000196968,-0.072397514
4,7.645722150802612,2.4941e-05,0.000187597,-0.05059688
5,9.189369440078735,2.6178e-05,0.000180143,-0.03939272
6,10.72602105140686,2.536e-05,0.000174363,-0.033399126
7,12.268505334854126,2.492e-05,0.00016871,-0.030007236
8,13.817695379257202,2.4375e-05,0.000163737,-0.027940513
9,15.36159610748291,2.3432e-05,0.000159287,-0.026559969
10,16.904324531555176,2.2898e-05,0.000154848,-0.025553468
11,18.44402027130127,2.165e-05,0.000150754,-0.024757133
12,19.99512791633606,2.1064e-05,0.000146472,-0.024081766
13,21.530563592910767,1.9953e-05,0.000142378,-0.023488847
14,23.082897901535034,1.9062e-05,0.000138504,-0.022961074
15,24.62096071243286,1.8056e-05,0.000135123,-0.022481887
16,26.160056829452515,1.7637e-05,0.000131396,-0.022029981
17,27.7087721824646,1.6547e-05,0.000127595,-0.021609019
18,29.25369882583618,1.5981e-05,0.000124349,-0.021202202
19,30.798959970474243,1.5342e-05,0.000120444,-0.020810625
20,32.33587884902954,1.4587e-05,0.000116916,-0.020440665
21,33.88700532913208,1.3372e-05,0.000113712,-0.020097892
22,35.431957483291626,1.3477e-05,0.000110393,-0.01976744
23,36.971104860305786,1.2921e-05,0.000107294,-0.019458672
24,38.51350116729736,1.1978e-05,0.000104279,-0.019154337
25,40.05845236778259,1.1496e-05,0.000101054,-0.018855582
26,41.60020208358765,1.1244e-05,9.7746e-05,-0.018559492
27,43.147221088409424,1.0354e-05,9.4343e-05,-0.018279357
28,44.68879175186157,9.714e-06,9.1527e-05,-0.018008309
29,46.234304904937744,9.033e-06,8.8846e-05,-0.01774439
30,47.77928304672241,8.981e-06,8.5507e-05,-0.017495138
31,49.32614517211914,8.237e-06,8.246e-05,-0.017243574
32,50.869998931884766,7.744e-06,7.9162e-05,-0.016994353
33,52.41312503814697,7.86e-06,7.6796e-05,-0.01676318
34,53.956050395965576,7.147e-06,7.265e-05,-0.016535744
35,55.49695134162903,6.895e-06,6.886e-05,-0.016305394
36,57.04600262641907,6.497e-06,6.6137e-05,-0.016079518
37,58.58466410636902,5.764e-06,6.3332e-05,-0.015858743
38,60.13049507141113,5.565e-06,6.0253e-05,-0.015637572
39,61.66794753074646,5.187e-06,5.7479e-05,-0.015425093
40,63.21672463417053,4.611e-06,5.4998e-05,-0.01522756
41,64.76093602180481,3.993e-06,5.2485e-05,-0.015037209
42,66.30635833740234,4.349e-06,5.0276e-05,-0.014845921
43,67.84368920326233,3.605e-06,4.7794e-05,-0.014658974
44,69.39487075805664,3.259e-06,4.5282e-05,-0.014482145
45,70.93954420089722,2.84e-06,4.302e-05,-0.014302567
46,72.48263573646545,2.253e-06,4.0581e-05,-0.014127204
47,74.02408695220947,2.295e-06,3.7785e-05,-0.01395919
48,75.56662440299988,2.085e-06,3.5199e-05,-0.013795089
49,77.11316704750061,1.603e-06,3.2812e-05,-0.01363206
50,78.65295791625977,1.677e-06,3.0519e-05,-0.013473049
51,80.19372057914734,6.81e-07,2.8384e-05,-0.013317181
52,81.7444543838501,9.12e-07,2.607e-05,-0.013161397
53,83.28124785423279,1.26e-07,2.4164e-05,-0.013003135
54,84.83189845085144,-2.93e-07,2.1809e-05,-0.012844874
55,86.36953949928284,-5.87e-07,1.9662e-05,-0.012690484
56,87.92144227027893,-7.96e-07,1.7233e-05,-0.012535595
57,89.45756077766418,-1.299e-06,1.5213e-05,-0.012379654
58,91.00922441482544,-1.782e-06,1.3108e-05,-0.012232176
59,92.54870414733887,-2.358e-06,1.0836e-05,-0.012089704
60,94.09671998023987,-1.981e-06,8.543e-06,-0.011951292
61,95.63519740104675,-2.672e-06,6.439e-06,-0.011808112
62,97.1813759803772,-3.018e-06,4.104e-06,-0.011667712
63,98.72388219833374,-3.259e-06,2.293e-06,-0.011531912
64,100.2636706829071,-3.584e-06,-3.46e-07,-0.011396363
65,101.81472992897034,-3.961e-06,-2.502e-06,-0.011261604
66,103.35462594032288,-3.919e-06,-4.251e-06,-0.011130498
67,104.90270566940308,-4.475e-06,-6.512e-06,-0.010999944
68,106.44437003135681,-4.6e-06,-8.638e-06,-0.010869213
69,107.98387885093689,-5.292e-06,-1.0187e-05,-0.010741917
70,109.53167867660522,-5.533e-06,-1.2344e-05,-0.010613424
71,111.07048416137695,-5.051e-06,-1.4354e-05,-0.010481402
72,112.6171350479126,-5.91e-06,-1.6291e-05,-0.010356072
73,114.16306471824646,-6.508e-06,-1.8531e-05,-0.010233273
74,115.70441722869873,-6.529e-06,-2.0018e-05,-0.010115126
75,117.24940538406372,-6.508e-06,-2.2007e-05,-0.00999472
76,118.81103587150574,-6.906e-06,-2.3641e-05,-0.009874429
77,120.37664246559143,-7.514e-06,-2.5745e-05,-0.009758499
78,121.94046306610107,-8.122e-06,-2.8195e-05,-0.009646409
79,123.50534868240356,-8.247e-06,-3.0132e-05,-0.009536766
80,125.07202363014221,-7.985e-06,-3.1839e-05,-0.009423293
81,126.63619041442871,-8.038e-06,-3.3807e-05,-0.009307477
82,128.19842791557312,-8.677e-06,-3.5712e-05,-0.009195169
