,t,V1,V2,V3
0,1.471604585647583,-7.9644e-05,-0.000260833,-1.1109789
1,2.948209762573242,-7.0715e-05,-0.000274695,-1.2409098
2,4.421236276626587,-6.207e-05,-0.000283689,-1.3034759
3,5.8893723487854,-5.7322e-05,-0.000288693,-1.334132
4,7.364061117172241,-5.5206e-05,-0.000291729,-1.3494246
5,8.834948301315308,-5.2586e-05,-0.000293635,-1.3572505
6,10.306666135787964,-5.1391e-05,-0.000294546,-1.3613651
7,11.773516416549683,-5.0333e-05,-0.000295593,-1.363641
8,13.242835998535156,-4.939e-05,-0.000296284,-1.3649812
9,14.720378398895264,-4.8457e-05,-0.000297299,-1.365823
10,16.182769298553467,-4.7482e-05,-0.000297655,-1.366407
11,17.6600980758667,-4.6812e-05,-0.000298252,-1.3668368
12,19.133396863937378,-4.5994e-05,-0.000299142,-1.367181
13,20.601402044296265,-4.5282e-05,-0.00029976,-1.3674699
14,22.076123237609863,-4.46e-05,-0.000300723,-1.3677014
15,23.542768716812134,-4.393e-05,-0.000301131,-1.3679079
16,25.011780977249146,-4.3049e-05,-0.000301822,-1.3680852
17,26.486344814300537,-4.2662e-05,-0.000302126,-1.3682584
18,27.95863962173462,-4.2138e-05,-0.000303194,-1.3684107
19,29.430447101593018,-4.1373e-05,-0.000303801,-1.3685442
20,30.901990175247192,-4.1048e-05,-0.000304482,-1.3686881
21,32.37498331069946,-4.0356e-05,-0.000305215,-1.3688028
22,33.84587287902832,-4.043e-05,-0.000305937,-1.3689071
23,35.317312240600586,-3.9675e-05,-0.000306345,-1.3690125
24,36.78198957443237,-3.9057e-05,-0.00030712,-1.3691105
25,38.25529718399048,-3.8753e-05,-0.000307591,-1.3692013
26,39.726513624191284,-3.826e-05,-0.000308376,-1.3692889
27,41.19400119781494,-3.8281e-05,-0.0003089,-1.3693661
28,42.669421911239624,-3.7307e-05,-0.000309696,-1.3694432
29,44.137184619903564,-3.6888e-05,-0.000310156,-1.3695256
30,45.60873246192932,-3.673e-05,-0.000311004,-1.3696018
31,47.08695197105408,-3.6479e-05,-0.000311413,-1.3696884
32,48.55711817741394,-3.6133e-05,-0.000312062,-1.3697572
33,50.029332876205444,-3.5567e-05,-0.000312627,-1.3698271
34,51.49807810783386,-3.5253e-05,-0.000313465,-1.3699043
35,52.97397541999817,-3.454e-05,-0.000314166,-1.3699658
36,54.44512724876404,-3.4226e-05,-0.000314784,-1.3700294
37,55.918723821640015,-3.4718e-05,-0.000315161,-1.370093
38,57.38271737098694,-3.3597e-05,-0.000315381,-1.3701567
39,58.86174130439758,-3.345e-05,-0.00031648,-1.3702286
40,60.333754777908325,-3.3157e-05,-0.000316951,-1.3702891
41,61.80447721481323,-3.2434e-05,-0.000317422,-1.3703528
42,63.27228140830994,-3.2549e-05,-0.000317757,-1.3704174
43,64.73955130577087,-3.169e-05,-0.000318469,-1.3704883
44,66.20975637435913,-3.191e-05,-0.000319045,-1.3705447
45,67.68433856964111,-3.1092e-05,-0.000319579,-1.3705989
46,69.16159653663635,-3.0715e-05,-0.000320134,-1.3706511
47,70.62600016593933,-3.0453e-05,-0.000320626,-1.3706959
48,72.10105681419373,-3.0223e-05,-0.000320835,-1.3707272
