,t,V1,V2,V3
0,1.5285167694091797,-5.6505e-05,6.2798e-05,-0.2794859
1,3.044696569442749,-4.896e-05,5.3145e-05,-0.14850661
2,4.592451572418213,-4.218e-05,4.7365e-05,-0.08568466
3,6.1406214237213135,-3.8721e-05,4.3921e-05,-0.055458985
4,7.680429697036743,-3.6018e-05,4.1544e-05,-0.040463587
5,9.222884178161621,-3.5179e-05,3.9984e-05,-0.032669479
6,10.76578426361084,-3.497e-05,3.8592e-05,-0.028337523
7,12.313506126403809,-3.4425e-05,3.7283e-05,-0.025710001
8,13.855010986328125,-3.4844e-05,3.6079e-05,-0.023950392
9,15.394578456878662,-3.4299e-05,3.4456e-05,-0.022655439
10,16.943361282348633,-3.4687e-05,3.3241e-05,-0.021621988
11,18.491414546966553,-3.4781e-05,3.1807e-05,-0.020749943
12,20.03600263595581,-3.4802e-05,3.0289e-05,-0.019986968
13,21.57398247718811,-3.4729e-05,2.9012e-05,-0.019302565
14,23.11732769012451,-3.5127e-05,2.7431e-05,-0.018682812
15,24.663655757904053,-3.519e-05,2.6216e-05,-0.01811307
16,26.204683303833008,-3.5787e-05,2.4583e-05,-0.017588554
17,27.755646467208862,-3.5965e-05,2.3065e-05,-0.017098001
18,29.29593276977539,-3.5504e-05,2.1589e-05,-0.016639434
19,30.84085988998413,-3.5923e-05,1.9798e-05,-0.016204452
20,32.38466548919678,-3.6081e-05,1.8134e-05,-0.015794991
21,33.929484844207764,-3.6615e-05,1.6385e-05,-0.015406264
22,35.4700288772583,-3.6531e-05,1.4919e-05,-0.015034399
23,37.018778800964355,-3.6804e-05,1.338e-05,-0.014687004
24,38.558329582214355,-3.7171e-05,1.1433e-05,-0.014359605
25,40.109169721603394,-3.7359e-05,9.758e-06,-0.014044997
26,41.65179109573364,-3.7736e-05,8.25e-06,-0.013741048
27,43.1956148147583,-3.7736e-05,6.491e-06,-0.013449515
28,44.7395920753479,-3.8187e-05,4.931e-06,-0.013166622
29,46.2781867980957,-3.8386e-05,3.685e-06,-0.012893825
30,47.826019287109375,-3.8491e-05,2.063e-06,-0.012635996
31,49.36727690696716,-3.89e-05,-1e-08,-0.012385826
32,50.911492347717285,-3.9329e-05,-1.633e-06,-0.012147804
33,52.45694327354431,-3.9361e-05,-3.288e-06,-0.011919306
34,53.998557329177856,-3.9518e-05,-5.067e-06,-0.011702299
35,55.539939403533936,-4.0094e-05,-6.345e-06,-0.011490142
36,57.088006019592285,-4.0136e-05,-8.051e-06,-0.011285335
37,58.62780284881592,-4.0283e-05,-9.664e-06,-0.011084378
38,60.170961141586304,-4.0241e-05,-1.1213e-05,-0.01088951
39,61.71730089187622,-4.0293e-05,-1.2616e-05,-0.010698618
40,63.26477885246277,-4.0702e-05,-1.4145e-05,-0.010509984
