,t,V1,V2,V3
0,602.7751295566559,-5.6725e-05,-0.00031247,1.1003732
1,604.249648809433,-5.4189e-05,-0.000315569,1.1399032
2,605.7212309837341,-5.18e-05,-0.000317475,1.1587526
3,607.1866583824158,-4.9693e-05,-0.000318249,1.1679468
4,608.6594769954681,-4.8834e-05,-0.000319108,1.1725433
5,610.1312944889069,-4.7901e-05,-0.000319652,1.1749235
6,611.6050045490265,-4.7346e-05,-0.000319945,1.1762304
7,613.0677018165588,-4.6571e-05,-0.000320176,1.176998
8,614.5441882610321,-4.6319e-05,-0.000320584,1.1774934
9,616.0169434547424,-4.6592e-05,-0.00032094,1.1778533
10,617.4879648685455,-4.5282e-05,-0.000321191,1.1781265
11,618.9534568786621,-4.5261e-05,-0.000321369,1.1783518
12,620.4344854354858,-4.5051e-05,-0.000321411,1.178549
13,621.8984375,-4.4223e-05,-0.00032182,1.1787273
14,623.3759889602661,-4.3972e-05,-0.000322081,1.17889
15,624.8478915691376,-4.3511e-05,-0.000321966,1.1790454
16,626.3102111816406,-4.3479e-05,-0.000322291,1.1791925
17,627.7888875007629,-4.2693e-05,-0.000322374,1.1793364
18,629.2567143440247,-4.2473e-05,-0.000322322,1.1794679
19,630.7266666889191,-4.2232e-05,-0.000322552,1.1796034
20,632.1977219581604,-4.197e-05,-0.000322929,1.1797307
21,633.6683661937714,-4.1478e-05,-0.000322971,1.1798486
22,635.1456143856049,-4.1037e-05,-0.000322971,1.1799591
23,636.6113884449005,-4.1216e-05,-0.000323243,1.1800728
24,638.0894491672516,-4.1037e-05,-0.000323369,1.1801771
25,639.5597589015961,-4.0629e-05,-0.000323537,1.1802804
26,641.0242838859558,-4.021e-05,-0.000323432,1.1803836
27,642.494749546051,-3.9948e-05,-0.000323777,1.18049
28,643.9661486148834,-3.9497e-05,-0.000323955,1.180588
29,645.4421720504761,-3.9298e-05,-0.000323955,1.180685
30,646.9161353111267,-3.9078e-05,-0.00032429,1.1807716
31,648.3843665122986,-3.8575e-05,-0.000324385,1.1808603
32,649.8513174057007,-3.8732e-05,-0.000324259,1.1809489
