Distance_(pixels),Gray_Value
0,8.000
1,8.000
2,7.000
3,7.000
4,7.957
5,7.947
6,7.000
7,6.074
8,7.000
9,7.096
10,7.106
11,7.000
12,7.128
13,8.000
14,7.149
15,8.000
16,8.830
17,8.819
18,8.000
19,8.798
20,9.000
21,8.777
22,8.766
23,8.245
24,9.000
25,9.000
26,8.723
27,8.000
28,8.702
29,8.691
30,8.681
31,8.000
32,7.000
33,7.351
34,7.000
35,6.628
36,7.000
37,7.000
38,7.000
39,7.000
40,7.000
41,7.000
42,7.000
43,7.000
44,7.532
45,8.000
46,8.000
47,8.000
48,8.000
49,7.479
50,8.000
51,7.457
52,7.000
53,8.000
54,8.000
55,7.415
56,8.404
57,6.000
58,7.000
59,6.628
60,7.000
61,7.649
62,8.000
63,8.000
64,9.000
65,7.691
66,7.000
67,6.287
68,6.000
69,7.000
70,7.000
71,7.755
72,7.766
73,8.000
74,8.000
75,9.000
76,9.000
77,9.000
78,8.830
79,9.000
80,9.000
81,9.000
82,10.000
83,10.000
84,10.000
85,10.000
86,10.000
87,10.000
88,10.000
89,11.053
90,11.957
91,11.968
92,11.979
93,11.000
94,11.000
95,11.000
96,11.000
97,10.000
98,10.957
99,10.947
100,10.000
101,9.000
102,9.000
103,10.000
104,10.000
105,10.000
106,10.000
107,10.000
108,11.000
109,12.000
110,11.830
111,11.819
112,12.000
113,12.000
114,11.213
115,12.000
116,12.000
117,13.000
118,14.000
119,14.000
120,13.000
121,14.287
122,15.000
123,14.691
124,13.319
125,13.000
126,13.340
127,14.000
128,13.638
129,13.372
130,12.383
131,11.606
132,11.596
133,11.585
134,11.574
135,11.000
136,10.000
137,10.000
138,9.000
139,9.479
140,10.511
141,11.500
142,12.000
143,12.000
144,13.532
145,15.457
146,15.447
147,15.000
148,15.574
149,16.585
150,16.000
151,16.000
152,16.383
153,18.372
154,18.362
155,18.000
156,18.000
157,18.000
158,17.000
159,16.000
160,16.000
161,16.000
162,16.000
163,16.000
164,16.000
165,15.755
166,15.766
167,16.000
168,16.787
169,16.000
170,16.000
171,16.181
172,16.170
173,18.000
174,17.149
175,18.000
176,18.872
177,19.000
178,19.000
179,20.000
180,20.000
181,20.000
182,19.936
183,19.947
184,19.957
185,19.936
186,18.979
187,18.000
188,17.000
189,18.000
190,18.021
191,18.000
192,17.000
193,16.000
194,16.000
195,15.000
196,15.000
197,15.000
198,14.106
199,15.000
200,15.000
201,15.862
202,16.851
203,16.840
204,17.660
205,17.819
206,18.809
207,18.798
208,17.787
209,17.777
210,18.766
211,18.755
212,19.745
213,19.734
214,19.000
215,19.287
216,19.298
217,20.309
218,19.681
219,18.000
220,16.340
221,17.000
222,16.638
223,17.000
224,17.000
225,17.000
226,17.596
227,17.000
228,17.000
229,17.000
230,16.447
231,17.000
232,17.000
233,17.521
234,18.000
235,18.500
236,19.489
237,21.000
238,21.000
239,22.000
240,23.000
241,22.564
242,21.574
243,22.585
244,24.000
245,26.000
246,25.383
247,25.000
248,24.638
249,24.000
250,23.660
251,23.670
252,24.000
253,24.000
254,24.000
255,23.000
256,21.277
257,20.266
258,20.000
259,20.000
260,21.000
261,21.000
262,20.000
263,19.798
264,20.000
265,22.000
266,23.000
267,23.000
268,23.149
269,24.138
270,25.000
271,27.000
272,27.106
273,30.096
274,30.000
275,29.000
276,29.936
277,30.947
278,30.957
279,32.968
280,33.021
281,31.011
282,31.000
283,29.000
284,26.979
285,25.000
286,25.000
287,23.000
288,22.064
289,21.000
290,20.915
291,18.904
292,18.000
293,18.883
294,19.000
295,20.000
296,20.000
297,20.000
298,20.000
299,21.819
300,23.617
301,26.798
302,29.787
303,32.223
304,31.234
305,35.000
306,37.000
307,38.734
308,37.723
309,36.713
310,37.298
311,38.309
312,38.319
313,35.000
314,33.000
315,31.649
316,31.000
317,30.628
318,29.617
319,27.606
320,26.404
321,25.415
322,25.000
323,24.564
324,24.553
325,24.000
326,25.000
327,26.000
328,26.000
329,28.000
330,30.489
331,33.000
332,33.532
333,36.543
334,38.000
335,39.000
336,38.000
337,40.000
338,41.000
339,42.394
340,43.383
341,45.372
342,44.362
343,44.000
344,44.000
345,42.000
346,41.319
347,40.000
348,40.000
349,37.000
350,36.000
351,33.000
352,32.000
353,29.000
354,29.000
355,28.777
356,27.787
357,27.000
358,28.000
359,30.181
360,31.170
361,36.000
362,38.000
363,42.000
364,43.000
365,47.000
366,49.000
367,54.000
368,55.085
369,59.149
370,61.128
371,63.000
372,61.957
373,59.000
374,57.000
375,52.011
376,53.000
377,47.000
378,46.000
379,40.032
380,39.000
381,36.947
382,34.064
383,29.074
384,28.170
385,26.096
386,27.000
387,27.117
388,30.000
389,33.000
390,34.851
391,39.000
392,41.000
393,46.000
394,47.000
395,53.202
396,54.000
397,58.000
398,58.532
399,63.511
400,65.489
401,71.468
402,72.723
403,72.713
404,70.298
405,67.309
406,66.000
407,63.000
408,63.340
409,56.351
410,54.362
411,50.000
412,49.617
413,44.000
414,42.404
415,37.000
416,35.574
417,31.564
418,30.553
419,31.000
420,31.532
421,35.521
422,37.511
423,45.000
424,48.000
425,62.479
426,63.468
427,73.457
428,75.447
429,82.000
430,84.000
431,88.000
432,88.000
433,86.000
434,85.000
435,84.000
436,85.000
437,85.351
438,85.681
439,79.660
440,75.638
441,66.617
442,65.298
443,58.000
444,56.000
445,47.266
446,45.255
447,38.245
448,38.000
449,34.223
450,34.213
451,38.000
452,40.191
453,47.181
454,48.170
455,59.160
456,59.298
457,74.553
458,81.383
459,96.883
460,98.681
461,104.904
462,103.255
463,106.223
464,104.000
465,104.840
466,102.872
467,96.936
468,94.979
469,92.011
470,96.000
471,89.000
472,89.979
473,76.000
474,73.000
475,61.947
476,60.936
477,52.926
478,51.000
479,45.096
480,43.213
481,45.234
482,47.128
483,54.138
484,57.000
485,67.840
486,69.830
487,84.000
488,84.191
489,99.000
490,97.000
491,107.223
492,104.234
493,108.245
494,107.255
495,111.532
496,113.830
497,117.574
498,117.894
499,114.926
500,114.957
501,111.330
502,112.681
503,105.702
504,108.362
505,99.372
506,99.000
507,83.000
508,79.000
509,64.585
510,63.574
511,60.000
512,61.000
513,64.000
514,66.532
515,76.521
516,79.000
517,95.500
518,92.532
519,108.606
520,106.191
521,119.628
522,116.660
523,122.564
524,117.574
525,122.170
526,120.191
527,121.606
528,121.617
529,123.255
530,126.277
531,126.894
532,126.298
533,121.000
534,123.681
535,116.383
536,124.511
537,107.287
538,109.277
539,88.000
540,85.000
541,78.000
542,77.234
543,80.000
544,83.000
545,98.798
546,97.617
547,112.819
