Distance_(pixels)	Gray_Value
0	12.000
1	11.917
2	11.006
3	11.000
4	11.000
5	11.000
6	11.000
7	11.000
8	11.000
9	11.000
10	13.894
11	13.121
12	13.958
13	13.756
14	13.506
15	12.544
16	12.969
17	12.207
18	12.005
19	11.839
20	11.673
21	11.506
22	11.340
23	11.173
24	12.834
25	12.920
26	14.801
27	15.682
28	16.868
29	17.000
30	17.451
31	17.421
32	17.925
33	18.000
34	18.000
35	18.876
36	19.000
37	18.922
38	18.839
39	19.618
40	19.954
41	20.000
42	20.851
43	21.000
44	21.000
45	21.000
46	21.000
47	21.000
48	21.000
49	21.000
50	21.000
51	21.000
52	21.000
53	21.000
54	21.000
55	21.000
56	21.802
57	22.000
58	26.113
59	27.019
60	27.000
61	27.726
62	27.842
63	27.169
64	26.749
65	26.593
66	27.276
67	27.427
68	27.083
69	27.197
70	27.177
71	27.094
72	28.501
73	29.000
74	31.214
75	32.000
76	33.957
77	34.595
78	34.512
79	34.428
80	34.345
81	34.975
82	35.179
83	35.096
84	35.706
85	35.858
86	35.692
87	35.362
88	35.727
89	36.066
90	37.739
91	38.677
92	39.602
93	39.791
94	40.088
95	39.596
96	39.703
97	39.931
98	39.848
99	39.918
100	40.000
101	40.384
102	40.515
103	40.793
104	41.632
105	42.628
106	44.250
107	45.000
108	45.010
109	45.412
110	45.549
111	45.299
112	45.050
113	44.560
114	44.067
115	43.735
116	43.785
117	43.802
118	43.552
119	43.303
120	43.628
121	44.534
122	46.640
123	48.000
124	48.000
125	47.442
126	47.841
127	48.746
128	50.094
129	51.543
130	53.180
131	54.584
132	55.010
133	54.250
134	54.008
135	54.080
136	55.303
137	56.929
138	59.148
139	61.131
140	61.628
141	61.625
142	60.628
143	60.069
144	60.607
145	60.906
146	61.408
147	62.110
148	62.639
149	63.286
150	63.053
151	61.973
152	62.742
153	64.606
154	67.729
155	71.048
156	72.366
157	73.579
158	73.437
159	73.414
160	73.131
161	72.857
162	72.821
163	73.508
164	73.922
165	74.222
166	74.147
167	73.648
168	73.149
169	72.563
170	73.991
171	77.000
172	82.747
173	91.760
174	93.738
175	96.611
176	93.055
177	86.356
178	83.343
179	80.110
180	84.018
181	91.415
182	94.957
183	99.791
184	98.113
185	94.064
186	93.003
187	91.772
188	91.865
189	93.945
190	95.064
191	98.504
192	100.480
193	102.928
194	102.724
195	102.489
196	103.099
197	105.342
198	106.866
199	109.868
200	110.035
